question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,2.076476812362671e-05,3.425930865108967,0.00029281526803970337,,,,3.98055300116539,65,100,0,[],9,,,
Q003,0.0,7.162243127822876e-05,1.6088123098015785,1.3723969459533691e-05,,,,2.2798317298293114,0,0,0,[],15,,,
Q004,0.0,6.470829248428345e-05,1.4493179768323898,0.0004912465810775757,,,,1.9892998412251472,87,127,0,[],15,,,
Q006,0.0,0.0001628473401069641,1.7676782086491585,8.843839168548584e-06,,,,2.2718633264303207,0,0,0,[],15,,,
Q008,0.0,1.5623867511749268e-05,1.5306634157896042,0.0010435879230499268,,,,2.0670859292149544,107,165,3,"['23788646', '28155088', '35743652', '37546931', '38073491', '38554847']",15,,,
Q010,0.0,1.975148916244507e-05,1.3423121124505997,1.7814338207244873e-05,,,,1.9757585301995277,92,160,0,[],12,,,
Q011,0.0,4.337728023529053e-05,1.8330579176545143,4.700571298599243e-05,,,,2.374850630760193,125,210,0,[],15,,,
Q014,0.0,1.6845762729644775e-05,0.7364023178815842,8.262693881988525e-06,,,,1.224509283900261,0,0,0,[],6,,,
Q015,0.0,2.1010637283325195e-05,0.8239074498414993,0.00011372566223144531,,,,1.3282978981733322,48,61,0,[],3,,,
Q016,0.0,4.552304744720459e-05,0.7225163280963898,4.0397047996520996e-05,,,,1.223604328930378,40,65,0,[],4,,,
Q021,0.0,1.5988945960998535e-05,1.3542380034923553,7.964670658111572e-06,,,,1.8960003778338432,0,0,0,[],10,,,
Q025,0.0,1.5236437320709229e-05,0.7489795684814453,4.11495566368103e-05,,,,1.284069538116455,45,76,0,[],4,,,
Q028,0.0,1.8268823623657227e-05,1.1056098118424416,0.00029955804347991943,,,,1.742876447737217,97,166,0,[],9,,,
Q029,0.0,2.454221248626709e-05,1.3806989341974258,0.0011033415794372559,,,,1.926986999809742,45,89,2,"['40681353', '42065920']",7,,,
Q037,0.0,2.7902424335479736e-05,1.1455184891819954,0.0004398152232170105,,,,1.6398717612028122,60,105,3,"['25646384', '29052129', '30611768', '38064540']",11,,,
Q041,0.0,1.9848346710205078e-05,1.1945431381464005,1.0624527931213379e-05,,,,1.6965855956077576,75,176,0,[],10,,,
Q043,0.0,1.7181038856506348e-05,1.5269528031349182,1.4528632164001465e-05,,,,1.9962485879659653,0,0,0,[],15,,,
Q046,0.0,1.8090009689331055e-05,0.945963017642498,9.194016456604004e-06,,,,1.4681008160114288,0,0,0,[],7,,,
Q047,0.0,1.574307680130005e-05,0.5825161710381508,7.927417755126953e-06,,,,1.1672236248850822,0,0,0,[],1,,,
Q050,0.0,2.135336399078369e-05,0.8882038742303848,9.169429540634155e-05,,,,1.4139154627919197,63,92,0,[],5,,,
