answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
Q001-A,Q001,traditional_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q001-B,Q001,general_llm,1,3,3,1,2,2,1,4,4,1,2,2,1,3,3,1,2,2,1
Q001-C,Q001,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
Q003-A,Q003,traditional_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
Q003-B,Q003,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,4,4,1,5,5,1
Q003-C,Q003,general_llm,1,5,5,1,4,4,1,5,5,1,3,3,1,5,5,1,4,4,1
Q004-A,Q004,general_llm,1,4,4,1,4,4,1,5,5,1,2,2,1,4,4,1,3,3,1
Q004-B,Q004,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,4,4,1,4,4,1
Q004-C,Q004,traditional_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q006-A,Q006,general_llm,1,4,4,1,3,3,1,4,4,1,2,2,1,4,4,1,3,3,1
Q006-B,Q006,traditional_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
Q006-C,Q006,netmedex_hybrid_rag,1,4,4,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q008-A,Q008,netmedex_hybrid_rag,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1,3,3,1
Q008-B,Q008,general_llm,1,4,4,1,5,5,1,5,5,1,3,3,1,5,5,1,4,4,1
Q008-C,Q008,traditional_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q010-A,Q010,netmedex_hybrid_rag,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
Q010-B,Q010,traditional_rag,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
Q010-C,Q010,general_llm,1,3,3,1,2,2,1,4,4,1,1,1,1,3,3,1,2,2,1
Q011-A,Q011,traditional_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q011-B,Q011,general_llm,1,4,4,1,4,4,1,5,5,1,3,3,1,5,5,1,4,4,1
Q011-C,Q011,netmedex_hybrid_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q014-A,Q014,netmedex_hybrid_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q014-B,Q014,traditional_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,4,4,1
Q014-C,Q014,general_llm,1,4,4,1,3,3,1,5,5,1,2,2,1,5,5,1,3,3,1
Q015-A,Q015,netmedex_hybrid_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q015-B,Q015,general_llm,1,4,4,1,3,3,1,5,5,1,3,3,1,4,4,1,3,3,1
Q015-C,Q015,traditional_rag,1,5,5,1,5,5,1,5,5,1,4,4,1,5,5,1,5,5,1
Q016-A,Q016,netmedex_hybrid_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
Q016-B,Q016,general_llm,1,4,4,1,4,4,1,5,5,1,3,3,1,5,5,1,4,4,1
Q016-C,Q016,traditional_rag,1,4,4,1,4,4,1,5,5,1,4,4,1,4,4,1,4,4,1
