system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q010,1,28158288,0.37199336
netmedex_hybrid_rag,Q010,2,38795694,0.37141974
netmedex_hybrid_rag,Q010,3,40350835,0.36869829
netmedex_hybrid_rag,Q010,4,41961168,0.36009097
netmedex_hybrid_rag,Q010,5,31131457,0.35453840
netmedex_hybrid_rag,Q010,6,27492554,0.35251131
netmedex_hybrid_rag,Q010,7,40024453,0.35132082
netmedex_hybrid_rag,Q010,8,30827108,0.34564720
netmedex_hybrid_rag,Q010,9,40266676,0.34286515
netmedex_hybrid_rag,Q010,10,40358879,0.34132588
traditional_rag,Q010,1,28158288,0.37199336
traditional_rag,Q010,2,38795694,0.37141974
traditional_rag,Q010,3,40350835,0.36869829
traditional_rag,Q010,4,41961168,0.36009097
traditional_rag,Q010,5,31131457,0.35453840
traditional_rag,Q010,6,27492554,0.35251131
traditional_rag,Q010,7,40024453,0.35132082
traditional_rag,Q010,8,30827108,0.34564720
traditional_rag,Q010,9,40266676,0.34286515
traditional_rag,Q010,10,40358879,0.34132588
netmedex_hybrid_rag,Q041,1,40279256,0.36359398
netmedex_hybrid_rag,Q041,2,40429921,0.36320496
netmedex_hybrid_rag,Q041,3,36534320,0.35924061
netmedex_hybrid_rag,Q041,4,31936266,0.35552958
netmedex_hybrid_rag,Q041,5,36513134,0.35450528
netmedex_hybrid_rag,Q041,6,36768138,0.35433080
netmedex_hybrid_rag,Q041,7,38634653,0.34996441
netmedex_hybrid_rag,Q041,8,41285328,0.34145820
netmedex_hybrid_rag,Q041,9,39676197,0.34114871
netmedex_hybrid_rag,Q041,10,40829258,0.33505786
traditional_rag,Q041,1,40279256,0.36359398
traditional_rag,Q041,2,40429921,0.36320496
traditional_rag,Q041,3,36534320,0.35924061
traditional_rag,Q041,4,31936266,0.35552958
traditional_rag,Q041,5,36513134,0.35450528
traditional_rag,Q041,6,36768138,0.35433080
traditional_rag,Q041,7,38634653,0.34996441
traditional_rag,Q041,8,41285328,0.34145820
traditional_rag,Q041,9,39676197,0.34114871
traditional_rag,Q041,10,40829258,0.33505786
