question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,2.2351741790771484e-05,3.7382728531956673,3.6388635635375977e-05,34.082162633538246,,,38.52801143378019,65,90,1,['38045146'],9,4625,1200,5825
PP002,0.0,1.8835067749023438e-05,3.564561389386654,4.5709311962127686e-05,33.387843899428844,,,37.46154525130987,89,126,1,['15810876'],15,3661,1200,4861
PP003,0.0,0.00010357052087783813,1.5921585708856583,2.1159648895263672e-05,25.328431867063046,,,27.43531673401594,33,42,1,['33476985'],15,3361,907,4268
PP004,0.0,4.16487455368042e-05,2.1984968930482864,1.3694167137145996e-05,32.40392903983593,,,35.120903953909874,35,41,1,['27576555'],15,3172,1200,4372
PP005,0.0,3.188103437423706e-05,2.0871793404221535,1.2546777725219727e-05,27.348618887364864,,,29.94168746471405,123,208,1,['26277279'],15,3990,966,4956
PP006,0.0,2.65464186668396e-05,1.2784791514277458,0.0006633251905441284,28.62389077991247,,,30.57331968098879,65,90,1,['29500883'],9,4631,987,5618
PP007,0.0,8.166581392288208e-05,2.1421266943216324,7.572770118713379e-05,22.905899420380592,,,25.569060817360878,89,126,1,['30623450'],15,3808,792,4600
PP008,0.0,2.0250678062438965e-05,4.609585843980312,0.0003370121121406555,26.076764710247517,,,31.240186512470245,209,297,1,"['21320797', '38474387']",26,4002,897,4899
PP009,0.0,2.553313970565796e-05,1.8929746821522713,0.00020574778318405151,33.69718391448259,,,36.08629947155714,105,163,1,"['23788646', '28155088', '37546931']",15,4579,1200,5779
PP010,0.0,4.170835018157959e-05,1.824370227754116,0.00011321902275085449,33.6633425205946,,,35.95225436240435,105,163,1,"['37546931', '38554847']",15,4536,1200,5736
PP011,0.0,2.54213809967041e-05,1.71580421179533,0.00027658045291900635,32.89634105563164,,,35.219155207276344,59,126,1,"['20485626', '25646384', '29052129', '38064540']",11,3627,1200,4827
PP012,0.0,8.297711610794067e-05,1.9399169087409973,0.00021636486053466797,32.871003575623035,,,35.51358072459698,59,126,1,"['29052129', '30611768', '38064540']",11,3629,1200,4829
PP013,0.0,3.039836883544922e-05,1.5407657325267792,0.00021491199731826782,32.89598224312067,,,34.97699870914221,59,126,1,"['20485626', '29052129']",11,3621,1200,4821
PP014,0.0,7.238239049911499e-05,2.5480965673923492,0.0001358315348625183,30.3332052603364,,,33.40392944216728,166,267,1,"['29302038', '35430804']",26,4176,1074,5250
PP015,0.0,4.1015446186065674e-05,3.678030140697956,0.0001530870795249939,31.948773726820946,,,36.14032158255577,172,296,1,"['33201261', '36289287']",39,2748,1200,3948
PP016,0.0,3.1560659408569336e-05,3.6430468037724495,0.00029753148555755615,33.1226797029376,,,37.41651997715235,172,296,1,"['36600119', '37546931']",39,4139,1200,5339
PP017,0.0,0.00010505318641662598,1.781934067606926,0.00014973431825637817,30.06103251874447,,,32.33441513031721,60,104,1,"['39411648', '41997336']",15,3940,1076,5016
PP018,0.0,4.079192876815796e-05,3.888212151825428,0.00015854090452194214,33.10505219548941,,,37.519750006496906,223,452,1,"['24646638', '25918553']",42,3884,1200,5084
PP019,0.0,2.5391578674316406e-05,3.691682793200016,0.0002012401819229126,26.76475617289543,,,31.00053995847702,223,452,1,"['20599675', '22179898', '24976068', '25918553']",42,3341,966,4307
PP020,0.0,3.1732022762298584e-05,4.001855976879597,0.0002109631896018982,33.07778886705637,,,37.78583173453808,223,452,1,"['20599675', '22179898', '25918553']",42,3888,1200,5088
