question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,16.941318787634373,3.955052964389324,0.00021604448556900024,,,,27.360383473336697,65,90,0,[],9,12985,13209,26194
Q004,0.0,18.79209242761135,1.6292956992983818,6.081908941268921e-05,,,,28.4068001806736,89,126,0,[],15,19950,18740,38690
Q008,0.0,26.26735869795084,1.9093571305274963,0.00031056255102157593,,,,39.16338749974966,105,163,2,"['23788646', '28155088', '37546931', '38554847']",15,21513,21505,43018
Q010,0.0,18.27102628350258,1.750294528901577,2.4430453777313232e-05,,,,27.387165181338787,86,150,0,[],12,17424,14983,32407
Q011,0.0,31.678623408079147,1.8121959194540977,2.9511749744415283e-05,,,,43.70667005330324,123,208,0,[],15,22120,25972,48092
Q015,0.0,16.387271113693714,0.8826372101902962,5.504488945007324e-05,,,,22.984619580209255,50,67,0,[],3,5982,7026,13008
Q016,0.0,16.101535439491272,1.0723310187458992,2.170354127883911e-05,,,,23.088212065398693,42,62,0,[],4,5424,6188,11612
Q025,0.0,12.994556665420532,1.1297660395503044,2.2746622562408447e-05,,,,19.531618118286133,43,65,0,[],4,6003,7843,13846
Q028,0.0,25.149530589580536,1.4442446008324623,2.6032328605651855e-05,,,,34.88232731819153,102,189,0,[],9,14111,22601,36712
Q029,0.0,13.722006164491177,1.221923589706421,0.0003124549984931946,,,,20.23450780659914,41,76,0,[],7,8996,9063,18059
Q037,0.0,25.910107918083668,1.2521329447627068,0.0009098201990127563,,,,34.430322140455246,59,126,3,"['20485626', '25646384', '29052129', '30611768', '38064540']",11,17516,21764,39280
Q041,0.0,25.837099201977253,1.4094331935048103,2.590566873550415e-05,,,,35.012361615896225,81,181,0,[],10,16738,22691,39429
Q050,0.0,19.074772596359253,1.3474232479929924,9.590387344360352e-05,,,,27.664339438080788,72,101,0,[],5,7399,10786,18185
