system,arm,question_id,run_id,path_rank,path_id,path_signature,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,score,hop_count,path_text
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-oss:120b-F_adaptive,1,Q001-P01,726c66af94dc377a,icariin,ti,osteogenic differentiation,blocks,inhibits,forward,forward,29500883,0.6410,2,icariin ->[blocks] ti | ti ->[inhibits] osteogenic differentiation
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-oss:120b-F_adaptive,2,Q001-P02,90b8236c9fc91254,icariin,,osteogenic differentiation,promotes,,forward,undirected,38045146,1.0230,1,icariin ->[promotes] osteogenic differentiation
netmedex_hybrid_rag,F_adaptive,Q004,formal-v1-gpt-oss:120b-F_adaptive,1,Q004-P01,365a23ddd1189115,curcumin,p53,apoptosis,upregulates,increases,forward,forward,30623450,0.6210,2,curcumin ->[upregulates] p53 | p53 ->[increases] apoptosis
netmedex_hybrid_rag,F_adaptive,Q004,formal-v1-gpt-oss:120b-F_adaptive,2,Q004-P02,a48c9071e59e7e2d,curcumin,,apoptosis,induces,,forward,undirected,15810876,1.0290,1,curcumin ->[induces] apoptosis
netmedex_hybrid_rag,F_adaptive,Q004,formal-v1-gpt-oss:120b-F_adaptive,3,Q004-P03,f304e9bf2cf16017,curcumin,,apoptosis,induces,,forward,undirected,32519340,0.8490,1,curcumin ->[induces] apoptosis
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-oss:120b-F_adaptive,1,Q008-P01,08b1ba895a663928,cystic fibrosis transmembrane regulator protein,inflammation,intestinal inflammation,causes,associated_with,forward,undirected,23788646;28155088;37546931,0.5020,4,cystic fibrosis transmembrane regulator protein ->[causes] inflammation | inflammation --[associated_with] cf | cf ->[causes] cftr | cftr ->[induces] intestinal inflammation
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-oss:120b-F_adaptive,2,Q008-P02,3a03360fb323a847,cftr,dysbiosis,inflammation,induces,associated_with,forward,undirected,37546931;38554847,0.7340,2,cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-oss:120b-F_adaptive,3,Q008-P03,daf58598d61d93bf,cftr,,inflammation,induces,,forward,undirected,37546931,0.9380,1,cftr ->[induces] inflammation
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-oss:120b-F_adaptive,4,Q008-P04,26bbe024eeb0b798,cftr,,intestinal inflammation,induces,,forward,undirected,37546931,0.8390,1,cftr ->[induces] intestinal inflammation
netmedex_hybrid_rag,F_adaptive,Q011,formal-v1-gpt-oss:120b-F_adaptive,1,Q011-P01,6b5618526adbdfc6,metformin,,malignancy,associated_with,,undirected,undirected,26277279,0.8850,1,metformin --[associated_with] malignancy
netmedex_hybrid_rag,F_adaptive,Q011,formal-v1-gpt-oss:120b-F_adaptive,2,Q011-P02,ebe69cd754e63b85,metformin,,signaling,inhibits,,forward,undirected,24009772,0.7230,1,metformin ->[inhibits] signaling
netmedex_hybrid_rag,F_adaptive,Q037,formal-v1-gpt-oss:120b-F_adaptive,1,Q037-P01,499767e1e1703963,chronic hepatitis b virus (hbv) infection,liver fibrosis,hcc,leads_to,associated_with,forward,undirected,20485626;25646384;29052129;38064540,0.4740,4,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc
netmedex_hybrid_rag,F_adaptive,Q037,formal-v1-gpt-oss:120b-F_adaptive,2,Q037-P02,904d67f239f8cb5b,chronic hepatitis b virus (hbv) infection,liver fibrosis,hepatocellular carcinoma,leads_to,associated_with,forward,undirected,29052129;30611768;38064540,0.4860,4,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] hbv infection | hbv infection ->[causes] hepatocellular carcinoma
netmedex_hybrid_rag,F_adaptive,Q037,formal-v1-gpt-oss:120b-F_adaptive,3,Q037-P03,c37d8f7746362201,chronic hepatitis b virus (hbv) infection,chronic liver inflammation,hcc,causes,promotes,forward,forward,20485626;29052129,0.6730,2,chronic hepatitis b virus (hbv) infection ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc
netmedex_hybrid_rag,F_adaptive,Q037,formal-v1-gpt-oss:120b-F_adaptive,4,Q037-P04,e19ad74bac52fdf7,chronic hepatitis b virus (hbv) infection,,hcc,causes,,forward,undirected,32839523,0.8520,1,chronic hepatitis b virus (hbv) infection ->[causes] hcc
