question_id,run_id,claim_id,path_id,verdict,reasons
PP001,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP002,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP003,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP004,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP005,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP006,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP007,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP008,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP009,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP010,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP011,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP012,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP013,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP014,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP015,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP016,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP017,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP018,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP019,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP020,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
