candidate_id,question_id,pmid,in_formal_v1_qrels,formal_v1_relevance,netmedex_rank,traditional_rank,in_pubmed_corpus,has_title_abstract,requires_human_judgment
Q001-C001,Q001,35292240,0,,4,5,1,1,1
Q001-C002,Q001,29904399,1,2,1,2,1,1,1
Q001-C003,Q001,38045146,0,,2,3,1,1,1
Q001-C004,Q001,39588260,0,,8,9,1,1,1
Q001-C005,Q001,24956021,1,1,,,0,1,1
Q001-C006,Q001,34854397,1,1,,,0,1,1
Q001-C007,Q001,41484919,0,,3,4,1,1,1
Q001-C008,Q001,29500883,0,,5,6,1,1,1
Q001-C009,Q001,33339654,1,1,,,0,1,1
Q001-C010,Q001,32911026,0,,7,8,1,1,1
Q001-C011,Q001,33743412,0,,6,7,1,1,1
Q001-C012,Q001,27492554,0,,9,1,1,1,1
Q001-C013,Q001,35185286,1,1,,,0,1,1
Q002-C001,Q002,37215980,0,,9,,1,1,1
Q002-C002,Q002,33434305,0,,3,3,1,1,1
Q002-C003,Q002,40713676,1,2,,,0,1,1
Q002-C004,Q002,33426313,1,2,,,0,1,1
Q002-C005,Q002,25804101,1,1,,,0,1,1
Q002-C006,Q002,27904930,0,,,5,1,1,1
Q002-C007,Q002,20980664,1,2,,,0,1,1
Q002-C008,Q002,35285389,0,,8,10,1,1,1
Q002-C009,Q002,28240263,1,1,,,0,1,1
Q002-C010,Q002,33255179,0,,4,4,1,1,1
Q002-C011,Q002,36835184,0,,7,9,1,1,1
Q002-C012,Q002,34502371,0,,10,,1,1,1
Q002-C013,Q002,33953168,1,1,,,0,1,1
Q002-C014,Q002,34854397,1,2,,,0,1,1
Q002-C015,Q002,41369394,0,,6,8,1,1,1
Q002-C016,Q002,35909545,1,2,,,0,1,1
Q002-C017,Q002,36319624,0,,,,1,1,1
Q002-C018,Q002,23223004,0,,2,2,1,1,1
Q002-C019,Q002,39343927,0,,,,1,1,1
Q002-C020,Q002,34311172,0,,,6,1,1,1
Q002-C021,Q002,35831436,0,,5,7,1,1,1
Q002-C022,Q002,23605904,1,2,1,1,1,1,1
Q002-C023,Q002,38106447,0,,,,1,1,1
Q003-C001,Q003,32437299,0,,1,1,1,1,1
Q003-C002,Q003,34536157,0,,2,3,1,1,1
Q003-C003,Q003,18094066,0,,10,4,1,1,1
Q003-C004,Q003,24003928,0,,,5,1,1,1
Q003-C005,Q003,37895163,0,,,10,1,1,1
Q003-C006,Q003,39749338,0,,3,7,1,1,1
Q003-C007,Q003,33439300,0,,5,9,1,1,1
Q003-C008,Q003,17053832,0,,,6,1,1,1
Q003-C009,Q003,16823477,1,1,,,0,1,1
Q003-C010,Q003,29241747,0,,,,1,1,1
Q003-C011,Q003,39471690,0,,4,8,1,1,1
Q003-C012,Q003,31426593,0,,8,,1,1,1
Q003-C013,Q003,11238501,1,2,,,0,1,1
Q003-C014,Q003,11287357,1,2,,,0,1,1
Q003-C015,Q003,34847640,0,,6,,1,1,1
Q003-C016,Q003,39593091,0,,7,,1,1,1
Q003-C017,Q003,31577826,0,,,,1,1,1
Q003-C018,Q003,19794059,1,2,,,0,1,1
Q003-C019,Q003,25341798,1,2,,,0,1,1
Q003-C020,Q003,12172480,0,,9,2,1,1,1
Q003-C021,Q003,18489581,1,2,,,0,1,1
Q003-C022,Q003,33998291,1,2,,,0,1,1
Q004-C001,Q004,29693253,0,,7,7,1,1,1
Q004-C002,Q004,31590362,0,,4,4,1,1,1
Q004-C003,Q004,31223280,1,1,,,0,1,1
Q004-C004,Q004,38166505,0,,8,8,1,1,1
Q004-C005,Q004,35722665,0,,,,1,1,1
Q004-C006,Q004,30623450,1,2,2,2,1,1,1
Q004-C007,Q004,37776274,0,,,,1,1,1
Q004-C008,Q004,17916240,1,2,,,0,1,1
Q004-C009,Q004,39219410,0,,,,1,1,1
Q004-C010,Q004,41109942,0,,10,10,1,1,1
Q004-C011,Q004,15810876,0,,1,1,1,1,1
Q004-C012,Q004,18755156,1,2,,,0,1,1
Q004-C013,Q004,38269517,0,,,,1,1,1
Q004-C014,Q004,32519340,0,,6,6,1,1,1
Q004-C015,Q004,38699926,0,,3,3,1,1,1
Q004-C016,Q004,38031951,0,,5,5,1,1,1
Q004-C017,Q004,30725357,0,,9,9,1,1,1
Q004-C018,Q004,41252742,0,,,,1,1,1
Q005-C001,Q005,33476985,0,,4,6,1,1,1
Q005-C002,Q005,21547208,1,2,,,0,1,1
Q005-C003,Q005,18218341,1,2,,,0,1,1
Q005-C004,Q005,27809706,0,,,5,1,1,1
Q005-C005,Q005,40023293,0,,5,7,1,1,1
Q005-C006,Q005,32967303,0,,,10,1,1,1
Q005-C007,Q005,37956598,0,,,8,1,1,1
Q005-C008,Q005,22697066,0,,1,1,1,1,1
Q005-C009,Q005,37597424,0,,6,9,1,1,1
Q005-C010,Q005,35660451,0,,7,,1,1,1
Q005-C011,Q005,40902587,0,,10,,1,1,1
Q005-C012,Q005,40864415,0,,,4,1,1,1
Q005-C013,Q005,37227619,0,,9,,1,1,1
Q005-C014,Q005,35522844,0,,3,3,1,1,1
Q005-C015,Q005,27766447,0,,2,2,1,1,1
Q005-C016,Q005,9848093,1,2,,,0,1,1
Q005-C017,Q005,40931065,0,,,,1,1,1
Q005-C018,Q005,35269827,0,,8,,1,1,1
Q006-C001,Q006,15111011,0,,5,9,1,1,1
Q006-C002,Q006,18695354,0,,8,,1,1,1
Q006-C003,Q006,10569303,0,,7,,1,1,1
Q006-C004,Q006,39684569,0,,6,10,1,1,1
Q006-C005,Q006,22112351,0,,4,8,1,1,1
Q006-C006,Q006,22710021,1,2,,,0,1,1
Q006-C007,Q006,14664903,0,,,,1,1,1
Q006-C008,Q006,21890489,0,,,,1,1,1
Q006-C009,Q006,19075102,1,2,,,0,1,1
Q006-C010,Q006,15815580,0,,,3,1,1,1
Q006-C011,Q006,15320839,0,,9,,1,1,1
Q006-C012,Q006,17584107,1,2,,,0,1,1
Q006-C013,Q006,18808324,1,2,,,0,1,1
Q006-C014,Q006,28057795,0,,,6,1,1,1
Q006-C015,Q006,38385489,0,,10,1,1,1,1
Q006-C016,Q006,17430168,0,,2,4,1,1,1
Q006-C017,Q006,24928320,0,,3,7,1,1,1
Q006-C018,Q006,35970408,0,,,5,1,1,1
Q006-C019,Q006,15861315,0,,1,2,1,1,1
Q007-C001,Q007,30502718,0,,4,6,1,1,1
Q007-C002,Q007,27576555,0,,1,3,1,1,1
Q007-C003,Q007,30891627,1,2,6,8,1,1,1
Q007-C004,Q007,30133701,1,2,,,0,1,1
Q007-C005,Q007,35872102,0,,9,,1,1,1
Q007-C006,Q007,25130295,0,,,,1,1,1
Q007-C007,Q007,29922283,1,2,,,0,1,1
Q007-C008,Q007,22096355,1,2,,,0,1,1
Q007-C009,Q007,28148916,1,1,,,0,1,1
Q007-C010,Q007,31295952,0,,5,7,1,1,1
Q007-C011,Q007,31866067,0,,,,1,1,1
Q007-C012,Q007,25145755,0,,3,5,1,1,1
Q007-C013,Q007,25467639,0,,,,1,1,1
Q007-C014,Q007,31931372,1,2,,,0,1,1
Q007-C015,Q007,33072104,1,2,,,0,1,1
Q007-C016,Q007,34635393,0,,8,10,1,1,1
Q007-C017,Q007,27757507,0,,10,,1,1,1
Q007-C018,Q007,22324470,1,2,,,0,1,1
Q007-C019,Q007,37670700,0,,,1,1,1,1
Q007-C020,Q007,34875227,0,,7,9,1,1,1
Q007-C021,Q007,39875232,0,,,2,1,1,1
Q007-C022,Q007,37579542,0,,2,4,1,1,1
Q008-C001,Q008,35276841,1,1,,,0,1,1
Q008-C002,Q008,40247380,0,,,7,1,1,1
Q008-C003,Q008,40824057,0,,,5,1,1,1
Q008-C004,Q008,22649552,1,0,,,0,1,1
Q008-C005,Q008,27588407,1,2,3,4,1,1,1
Q008-C006,Q008,35743652,0,,7,10,1,1,1
Q008-C007,Q008,30546102,1,2,6,9,1,1,1
Q008-C008,Q008,28155088,0,,8,,1,1,1
Q008-C009,Q008,35160099,1,1,5,8,1,1,1
Q008-C010,Q008,37546931,0,,2,2,1,1,1
Q008-C011,Q008,35449374,1,2,,,0,1,1
Q008-C012,Q008,31636470,0,,,,1,1,1
Q008-C013,Q008,36600119,0,,9,,1,1,1
Q008-C014,Q008,38179971,1,2,,,1,1,1
Q008-C015,Q008,23788646,0,,1,1,1,1,1
Q008-C016,Q008,38554847,0,,,3,1,1,1
Q008-C017,Q008,38073491,0,,4,6,1,1,1
Q008-C018,Q008,32326161,0,,10,,1,1,1
Q008-C019,Q008,26549988,1,2,,,0,1,1
Q009-C001,Q009,18835816,1,2,,,0,1,1
