system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW010,1,38474387,0.48102379
netmedex_hybrid_rag,BW010,2,36608535,0.46353484
netmedex_hybrid_rag,BW010,3,40903540,0.46041258
netmedex_hybrid_rag,BW010,4,21320797,0.43180685
netmedex_hybrid_rag,BW010,5,36982891,0.40463407
netmedex_hybrid_rag,BW010,6,37904311,0.40237171
traditional_rag,BW010,1,38474387,0.48102379
traditional_rag,BW010,2,36608535,0.46353484
traditional_rag,BW010,3,40903540,0.46041258
traditional_rag,BW010,4,21320797,0.43180685
traditional_rag,BW010,5,36982891,0.40463407
traditional_rag,BW010,6,37904311,0.40237171
