question_id,domain,question,question_type,expected_concepts,gold_pmids,minimum_answer_criteria,curator_notes
Q003,metabolic disease,What evidence links insulin resistance to inflammatory cytokines in human studies?,direct_evidence,insulin resistance; inflammation; IL-6; TNF-alpha; CRP; adipose tissue; human,11238501;11287357;18489581;19794059;33998291;25341798;16823477,Prioritizes human observational or intervention evidence and identifies IL-6/TNF/CRP where supported.,Curated seed includes both primary human studies and a review. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q013,cardiometabolic,How does PCSK9 inhibition affect inflammatory markers and endothelial function?,direct_evidence,PCSK9; evolocumab; alirocumab; inflammation; endothelial function; CRP,39565386;38513436;36982171;35930089;36017088;36205734;29530884,Separates lipid-lowering outcomes from direct vascular inflammation evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q021,nephrology,What evidence links SGLT2 inhibitors to reduced kidney inflammation or fibrosis?,direct_evidence,SGLT2 inhibitor; empagliflozin; dapagliflozin; kidney; inflammation; fibrosis,36986825;39168099;33139635;35069210;31333586;28663934;41203232;36331190,Separates clinical renal outcomes from mechanistic inflammation/fibrosis evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q027,endocrinology,What evidence links vitamin D signaling to immune regulation in autoimmune thyroid disease?,direct_evidence,vitamin D; VDR; autoimmune thyroid disease; Hashimoto; T cells; cytokines,37241088;29026419;27186560;38284726;35399300;29765404;37513592,"Separates association, supplementation, and mechanistic immune evidence.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q033,hepatology,What evidence supports a link between ferroptosis and liver fibrosis?,direct_evidence,ferroptosis; liver fibrosis; hepatic stellate cell; iron; lipid peroxidation,33869196;34864819;36370962;38756248;36029649;36703745;35075250,Separates direct ferroptosis evidence from oxidative-stress-only evidence.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q046,method stress test,Find evidence for a direct causal link between caffeine and telomerase activation in human immune cells.,direct_evidence,caffeine; telomerase; immune cells; human,26384306;28603543;33720241,Should say when direct evidence is absent or weak rather than inventing a mechanism.,Negative-control style question; needs curator gold/irrelevance labels. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q016,rare disease,What pathways connect SMN deficiency to mitochondrial dysfunction in spinal muscular atrophy?,mechanism,SMN1; spinal muscular atrophy; mitochondria; oxidative stress; motor neuron,27488123;26586529;36142791;39901351;19437551;36849544;26643950;36604149;27111068,Distinguishes direct SMA evidence from general motor-neuron mitochondrial biology.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q022,cardiology,Which inflammatory pathways connect atrial fibrillation and fibrosis?,mechanism,atrial fibrillation; fibrosis; TGF-beta; IL-6; NLRP3; inflammation,35860690;40243956;39334820;37904680;38419608;33465490;40709209;38877789,"Identifies pathways and states whether evidence is human, animal, or in vitro.",Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q023,cancer biology,What is the evidence that hypoxia induces epithelial-mesenchymal transition through HIF-1alpha?,mechanism,hypoxia; HIF-1alpha; EMT; cancer; metastasis,26057751;28076840;24610352;23979441;19778933;38238426;26819207;32322559,Distinguishes HIF-1alpha-specific evidence from generic hypoxia signatures.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q029,vascular biology,What mechanisms connect endothelial senescence to atherosclerosis?,mechanism,endothelial senescence; atherosclerosis; oxidative stress; inflammation; SASP,11927518;34272458;19036896;35642067;38001470;37259606,Separates cellular senescence evidence from clinical plaque association.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q031,dermatology,What pathways connect atopic dermatitis to skin barrier dysfunction?,mechanism,atopic dermatitis; filaggrin; IL-4; IL-13; skin barrier; inflammation,16550169;16990802;31509236;19720210;32751111;29676067;29467325;39202657,Distinguishes genetic barrier evidence from cytokine-mediated barrier disruption.,Needs curator gold PMIDs before final scoring. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
Q002,osteoporosis,Which miRNAs are most frequently linked to osteoporosis-related osteogenesis in the retrieved literature?,retrieval,osteoporosis; osteogenesis; miRNA; miR-21; miR-23a; miR-153,23605904;33426313;28240263;35909545;25804101;40713676;33953168;20980664;34854397,Returns ranked miRNAs with supporting PMIDs and separates osteoblast vs osteoclast evidence.,Curated seed; frequency should be recomputed from NetMedEx retrieval rather than inferred from this list. || Formal benchmark v1 internally AI-adjudicated and frozen 2026-07-27; see qrels_adjudication_log.csv.
