question_id,run_id,claim_id,path_id,verdict,reasons
PP001,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP002,formal-v1-gpt-oss:120b-F_adaptive,HC-01,a48c9071e59e7e2d,supported,
PP003,formal-v1-gpt-oss:120b-F_adaptive,HC-01,31f26bea18c6474b,supported,
PP004,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP005,formal-v1-gpt-oss:120b-F_adaptive,HC-01,6b5618526adbdfc6,supported,
PP006,formal-v1-gpt-oss:120b-F_adaptive,HC-01,726c66af94dc377a,supported,
PP007,formal-v1-gpt-oss:120b-F_adaptive,HC-01,365a23ddd1189115,supported,
PP008,formal-v1-gpt-oss:120b-F_adaptive,HC-01,6c6fb0bc25292607,supported,
PP008,formal-v1-gpt-oss:120b-F_adaptive,HC-02,supply,unsupported,path_not_found
PP009,formal-v1-gpt-oss:120b-F_adaptive,HC-01,08b1ba895a663928,unsupported,hop_2_direction_mismatch;hop_2_pmid_missing
PP010,formal-v1-gpt-oss:120b-F_adaptive,HC-01,3a03360fb323a847,supported,
PP011,formal-v1-gpt-oss:120b-F_adaptive,HC-01,499767e1e1703963,unsupported,hop_2_direction_mismatch
PP012,formal-v1-gpt-oss:120b-F_adaptive,HC-01,904d67f239f8cb5b,unsupported,hop_2_direction_mismatch
PP013,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP014,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP015,formal-v1-gpt-oss:120b-F_adaptive,HC-01,9ed6292d75395474,supported,
PP016,formal-v1-gpt-oss:120b-F_adaptive,HC-01,57416f2f7b9449cc,supported,
PP017,formal-v1-gpt-oss:120b-F_adaptive,HC-01,7e9fef4360d43ca1,supported,
PP018,formal-v1-gpt-oss:120b-F_adaptive,HC-01,5724030babeb80f1,supported,
PP019,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-01,5392416d32ad795a,unsupported,hop_2_target_missing;hop_2_relation_mismatch;hop_3_source_missing;hop_3_target_missing;hop_3_relation_mismatch;hop_3_pmid_missing;hop_4_source_missing;hop_4_target_missing;hop_4_pmid_missing
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-02,5392416d32ad795a,unsupported,hop_1_source_missing;hop_1_relation_mismatch;hop_3_target_missing;hop_3_relation_mismatch;hop_3_pmid_missing;hop_4_source_missing;hop_4_target_missing;hop_4_relation_mismatch;hop_4_pmid_missing
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-03,5392416d32ad795a,unsupported,hop_1_source_missing;hop_1_target_missing;hop_1_relation_mismatch;hop_1_pmid_missing;hop_2_source_missing;hop_2_relation_mismatch;hop_2_pmid_missing;hop_4_target_missing;hop_4_pmid_missing
