question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.7076730728149414e-05,3.3068123161792755,1.973658800125122e-05,,32.414689518511295,,36.241759203374386,0,0,0,[],9,4590,1153,5743
PP002,0.0,4.622340202331543e-05,1.9235921204090118,1.1868774890899658e-05,,29.870561510324478,,32.29307197034359,0,0,0,[],15,3626,1098,4724
PP003,0.0,4.2304396629333496e-05,1.677070640027523,6.861984729766846e-06,,32.051214188337326,,34.23052839189768,0,0,0,[],15,3326,1200,4526
PP004,0.0,2.135336399078369e-05,1.9068366140127182,2.1219253540039062e-05,,31.98534657806158,,34.40606614202261,0,0,0,[],15,3137,1200,4337
PP005,0.0,5.0105154514312744e-05,1.9301989674568176,1.2643635272979736e-05,,29.805406838655472,,32.22771230340004,0,0,0,[],15,3955,1082,5037
PP006,0.0,5.742162466049194e-05,1.4490451738238335,1.563131809234619e-05,,25.303409591317177,,27.269976161420345,0,0,0,[],9,4596,874,5470
PP007,0.0,4.466623067855835e-05,1.9069401174783707,1.5847384929656982e-05,,23.039409890770912,,25.447362788021564,0,0,0,[],15,3773,809,4582
PP008,0.0,6.257742643356323e-05,2.4605553448200226,1.8149614334106445e-05,,29.94781180471182,,32.936804339289665,0,0,0,[],26,3967,1088,5055
PP009,0.0,4.9442052841186523e-05,1.8115654289722443,6.355345249176025e-06,,31.09686741232872,,33.40848518162966,0,0,0,[],15,4544,1110,5654
PP010,0.0,1.926720142364502e-05,1.8077185675501823,1.268833875656128e-05,,33.23027776181698,,35.67787016928196,0,0,0,[],15,4501,1200,5701
PP011,0.0,4.1112303733825684e-05,1.5711946189403534,1.4990568161010742e-05,,29.991513453423977,,32.09981910139322,0,0,0,[],11,3592,1103,4695
PP012,0.0,4.8726797103881836e-05,1.649014674127102,1.481175422668457e-05,,32.38040881603956,,34.57080339640379,0,0,0,[],11,3594,1200,4794
PP013,0.0,4.645437002182007e-05,1.8322832435369492,1.5892088413238525e-05,,28.281966753304005,,30.58378952741623,0,0,0,[],11,3586,1034,4620
PP014,0.0,4.480034112930298e-05,2.6460483968257904,1.884251832962036e-05,,24.550045661628246,,27.714806504547596,0,0,0,[],26,3880,866,4746
PP015,0.0,4.489719867706299e-05,3.1625515669584274,1.7911195755004883e-05,,29.79063705354929,,33.549205370247364,0,0,0,[],39,2713,1129,3842
PP016,0.0,4.439055919647217e-05,3.3678552135825157,2.421438694000244e-05,,98.14158285409212,,102.03829196840525,0,0,0,[],39,4104,1200,5304
PP017,0.0,4.6737492084503174e-05,1.8763891533017159,1.2964010238647461e-05,,31.800390504300594,,34.09887432307005,0,0,0,[],15,3905,1160,5065
PP018,0.0,1.8827617168426514e-05,3.1570678278803825,8.277595043182373e-06,,32.64654943346977,,36.3114677593112,0,0,0,[],42,3849,1200,5049
PP019,0.0,4.338473081588745e-05,3.4248694330453873,1.8455088138580322e-05,,26.496500596404076,,30.451639264822006,0,0,0,[],42,3306,968,4274
PP020,0.0,4.569441080093384e-05,3.5883592888712883,1.5810132026672363e-05,,32.61027929186821,,36.921494759619236,0,0,0,[],42,3853,1200,5053
