system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,MESH:C056599_Chemical;MESH:D014025_Chemical,29500883;38045146,icariin ->[blocks] ti | ti ->[inhibits] osteogenic differentiation;icariin ->[promotes] osteogenic differentiation,icariin|ti|osteogenic differentiation;icariin|osteogenic differentiation,6a3e78ef101baa89
netmedex_hybrid_rag,F_adaptive,Q003,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q004,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,two_hop_path,H_evidence_gated_four_hop,question_type=two_hop_path,True,4,False,False,True,R-HSA-109581_Pathway;MESH:D003474_Chemical,15810876;30623450;32519340,curcumin ->[upregulates] p53 | p53 ->[increases] apoptosis;curcumin ->[induces] apoptosis;curcumin ->[induces] apoptosis,curcumin|p53|apoptosis;curcumin|apoptosis;curcumin|apoptosis,96618f4bf20aa922
netmedex_hybrid_rag,F_adaptive,Q006,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,retrieval,A_text_only,question_type=retrieval,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,hypothesis,H_evidence_gated_four_hop,question_type=hypothesis,True,4,False,False,True,GO:0006954_BiologicalProcess;MESH:D007410_Disease;12638_Gene;MESH:D003550_Disease;HP:4000055_Phenotype,23788646;28155088;37546931;38554847,cystic fibrosis transmembrane regulator protein ->[causes] inflammation | inflammation --[associated_with] cf | cf ->[causes] cftr | cftr ->[induces] intestinal inflammation;cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation;cftr ->[induces] inflammation;cftr ->[induces] intestinal inflammation,cystic fibrosis transmembrane regulator protein|inflammation|cf|cftr|intestinal inflammation;cftr|dysbiosis|inflammation;cftr|inflammation;cftr|intestinal inflammation,898cf89b7ae622ff
netmedex_hybrid_rag,F_adaptive,Q010,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,multilingual_mechanism,H_evidence_gated_four_hop,question_type=multilingual_mechanism,True,4,False,False,True,GO:0001503_BiologicalProcess;HP:0000939_Phenotype;op_disease,,,,cdeec80ea79808c4
netmedex_hybrid_rag,F_adaptive,Q011,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,5563_Gene;56718_Gene;MESH:D008687_Chemical;GO:0023052_BiologicalProcess,24009772;26277279,metformin --[associated_with] malignancy;metformin ->[inhibits] signaling,metformin|malignancy;metformin|signaling,a976891bb77f263b
netmedex_hybrid_rag,F_adaptive,Q014,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,retrieval,A_text_only,question_type=retrieval,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q015,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,two_hop_path,H_evidence_gated_four_hop,question_type=two_hop_path,True,4,False,False,True,R-HSA-9694516_Pathway;GO:0050817_BiologicalProcess;MESH:D007239_Disease,,,,cdeec80ea79808c4
netmedex_hybrid_rag,F_adaptive,Q016,formal-v1-gpt-oss:120b-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,MESH:D001284_Disease;smn_disease;HP:0003287_Phenotype;HP:0007269_Phenotype;HP:0001427_Phenotype,,,,cdeec80ea79808c4
