system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW003,1,37546931,0.66386959
netmedex_hybrid_rag,BW003,2,24548777,0.65022555
netmedex_hybrid_rag,BW003,3,36600119,0.58470099
netmedex_hybrid_rag,BW003,4,38554847,0.57805405
netmedex_hybrid_rag,BW003,5,23788646,0.57620113
netmedex_hybrid_rag,BW003,6,38073491,0.57490706
netmedex_hybrid_rag,BW003,7,27588407,0.57391989
netmedex_hybrid_rag,BW003,8,36289287,0.57167418
netmedex_hybrid_rag,BW003,9,35160099,0.57125961
netmedex_hybrid_rag,BW003,10,33201261,0.56941966
traditional_rag,BW003,1,24548777,0.65022555
traditional_rag,BW003,2,37546931,0.59110706
traditional_rag,BW003,3,38554847,0.57805405
traditional_rag,BW003,4,23788646,0.57620113
traditional_rag,BW003,5,38073491,0.57490706
traditional_rag,BW003,6,27588407,0.57391989
traditional_rag,BW003,7,36289287,0.57167418
traditional_rag,BW003,8,35160099,0.57125961
traditional_rag,BW003,9,40824057,0.56858365
traditional_rag,BW003,10,36967909,0.56647349
