question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.1951626017689705,3.2623972967267036,16.064570546150208,9.262264713644981,14.048588499426842,46.55031684041023,24,33,4,"['29904399', '38045146']",9,9899,5320,15219
Q002,0.0,0.00242026150226593,1.8064286783337593,7.777071796357632,7.491154216229916,8.47981970757246,30.311429031193256,51,71,3,"['23605904', '34502371', '37215980']",15,7461,3096,10557
Q003,0.0,0.002256952226161957,1.8367937728762627,5.761293515563011,6.187553949654102,9.162595950067043,29.09738090634346,46,58,1,['33439300'],15,6878,2573,9451
Q004,0.0,0.002458542585372925,1.9389224126935005,6.567333646118641,7.993499659001827,6.347508423030376,28.147168144583702,40,51,2,"['32519340', '38269517']",15,7571,2659,10230
Q005,0.0,0.0018114596605300903,1.7741703987121582,9.830752775073051,5.122571744024754,4.933500781655312,26.015462145209312,33,42,2,"['33476985', '35522844']",15,6988,2247,9235
Q006,0.0,0.002261027693748474,2.0157237723469734,7.425397053360939,5.266495376825333,9.242723621428013,28.690796248614788,48,63,16,"['15861315', '17430168', '22112351', '24928320', '39684569']",15,8166,2600,10766
Q007,0.0,0.0019021928310394287,1.5755850672721863,8.147797361016273,5.4961071237921715,7.089681275188923,26.819492369890213,35,41,20,"['25145755', '27576555', '30502718', '30891627', '37670700', '39875232']",15,7381,2273,9654
Q008,0.0,0.0016475021839141846,1.8772603571414948,11.567602127790451,10.498187743127346,14.89880969375372,43.764185555279255,30,44,2,"['28155088', '30546102', '37546931']",15,9268,4216,13484
Q009,0.0,0.002285972237586975,1.6925629079341888,12.942666798830032,8.764127217233181,17.978006087243557,45.67525763064623,53,52,9,"['26972840', '29897957', '32885495']",15,9447,4941,14388
Q010,0.0,0.0011822432279586792,1.5855917856097221,19.301902517676353,22.69494428485632,30.381123259663582,77.76074965298176,37,41,0,[],12,10481,10544,21025
