question_id,domain,question_type,pubmed_search_query,candidate_pmids,relevance_grade,audit_flags_2nd_pass,curator_id,curation_status,notes
Q011,oncology,mechanism,metformin AMPK mTOR cancer apoptosis proliferation,20135346;29554968;25456211;24858012;31489252;34062070;34607979;29465545,2;2;2;1;1;2;1;0,-;-;-;-;-;^2;-;v0,codex-final-adjudication,final-ai-adjudicated,"Add 5-15 PMIDs; prioritize direct AMPK/mTOR cancer-cell or tumor evidence. || AI-DRAFTED (unreviewed): Strong direct cell-line/tumor-model evidence (breast, gastric, myeloma, cervical, endometrial) supports AMPK-mediated mTOR inhibition by metformin causing apoptosis; one review and one epidemiologic cohort study are included only for contrast against the mechanistic data per the curation note. || AUDIT (2nd pass): Most candidates solid; 2 of 8 grades warrant reconsideration (34062070 likely underrated -- exact-title-match review; 29465545 likely overrated -- purely epidemiologic, zero AMPK/mTOR content). || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q012,neuroinflammation,association,microglia Alzheimer's disease IL-1beta TNF-alpha IL-6 neuroinflammation,31822279;11755003;35264247;38098004;16055942;31001075;30087595;26207229;31580243,2;2;2;2;1;1;1;2;1,-;-;-;^2;-;-;-;^2;-,codex-final-adjudication,final-ai-adjudicated,"Separate human AD tissue, animal models, and in vitro microglia. || AI-DRAFTED (unreviewed): Evidence spans human postmortem AD-tissue culture, APP/PS1 and GFAP-IL6 mouse models, and rat/primary microglia in vitro work, consistently implicating IL-1beta, TNF-alpha and IL-6; two general reviews are retained for background, and human primary-tissue data are comparatively sparser than animal/in vitro data. || AUDIT (2nd pass): Two mechanistically on-topic papers (38098004, 26207229) appear underrated at 1 and arguably deserve 2. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q013,cardiometabolic,direct_evidence,PCSK9 inhibition inflammation endothelial function CRP evolocumab alirocumab,39565386;38513436;36982171;35930089;36017088;36205734;29530884;31479722,2;2;2;2;2;1;2;0,-;-;-;-;-;-;^2;v0,codex-final-adjudication,final-ai-adjudicated,"Separate direct endothelial/inflammatory endpoints from lipid-only outcomes. || AI-DRAFTED (unreviewed): Direct endothelial-function (FMD/VAR) and inflammatory-biomarker studies (human RCTs, in vitro endothelial cells, a sepsis model) show weak/inconsistent PCSK9-inhibitor anti-inflammatory effects distinct from robust LDL-lowering; FOURIER/EVOPACS and a review are included specifically as lipid-only-outcome contrasts. || AUDIT (2nd pass): 29530884 (FOURIER/hsCRP) looks underrated; 31479722 (EVOPACS, no inflammation/endothelial data at all) looks overrated. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q014,autoimmune disease,retrieval,rheumatoid arthritis JAK inhibitor tofacitinib baricitinib IL-6 interferon signaling,30002661;27931982;35631449;34630419;28199814;39867028;37014106;24453498,2;2;2;2;2;1;2;1,-;-;-;-;-;-;^2;-,codex-final-adjudication,final-ai-adjudicated,"Rank drug-specific clinical and mechanistic evidence. || AI-DRAFTED (unreviewed): Coverage separates drug-specific mechanistic human-cell evidence (baricitinib/tofacitinib blocking IL-6- and interferon-driven STAT1/3 signaling) from pivotal human clinical trials (RA-BEAM); three review-level sources are retained only for general background and cross-drug comparison. || AUDIT (2nd pass): 37014106 explicitly maps specific JAK inhibitors to IL-6 vs interferon selectivity -- underrated at 1, arguably deserves 2. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q015,infectious disease,two_hop_path,SARS-CoV-2 coagulation endothelial injury tissue factor complement cytokines,33684134;39945674;35420680;39599792;33077917;33323111;33063256;9437185,2;2;2;1;1;1;1;1,-;-;-;v1;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Favor PMIDs supporting mediated mechanisms; mark review-only evidence as 1 unless directly relevant. || AI-DRAFTED (unreviewed): Primary evidence supports two plausible mediated 2-hop gene paths -- SARS-CoV-2 suppression of complement regulators (CD55/CD59/CD46) and platelet-monocyte-driven tissue factor induction -- plus a network HLH-gene/NETs analysis and a human cohort NET-biomarker study; reviews graded 1; one non-COVID IL-6-tissue factor paper included only as generic mechanistic support. || AUDIT (2nd pass): 39599792 is a biomarker/cohort study lacking gene-pathway or tissue-factor/complement mechanistic detail -- looks overgraded at 2, probably belongs at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q016,rare disease,mechanism,SMN deficiency spinal muscular atrophy mitochondrial dysfunction oxidative stress motor neuron,27488123;26586529;36142791;39901351;19437551;36849544;26643950;36604149;27111068,2;2;2;2;2;2;1;1;1,-;-;-;-;-;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate SMA-specific mitochondrial studies from generic motor neuron literature. || AI-DRAFTED (unreviewed): Strong direct SMA-specific mitochondrial evidence from both mouse models and human iPSC-derived motor neurons; the three grade-1 hits are included as important contradictory/adjacent evidence rather than generic non-SMA biology. || AUDIT (2nd pass): All 9 grades independently confirmed defensible, no reconsideration needed. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q017,pharmacogenomics,retrieval,clopidogrel response resistance CYP2C19 ABCB1 PON1 platelet reactivity,19106084;19106083;20801494;21170047;23698643;31772608;26309584;27380588;21900914;28135763,2;2;2;2;2;2;2;2;1;2,-;-;-;-;-;-;^2;^2;-;^2,codex-final-adjudication,final-ai-adjudicated,"Prioritize pharmacogenomic clinical studies, CPIC-style evidence, and meta-analyses. || AI-DRAFTED (unreviewed): Strong, CPIC-level clinical support exists for CYP2C19 (6 grade-2 hits including two landmark NEJM trials and the CPIC guideline); PON1 and ABCB1 associations are real but less consistently replicated, reflected by grade-1 labeling and inclusion of a direct rebuttal on PON1. || AUDIT (2nd pass): 3 of 4 grade-1 papers (26309584, 27380588, 28135763) directly test the expected CYP2C19/ABCB1/PON1-clopidogrel relationship as strongly as papers graded 2 -- likely underrated. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q018,immuno-oncology,hypothesis,PD-1 blockade immune-related adverse events T cells autoimmunity cytokines mechanism,36605194;35047501;36776862;36351411;33257470;37872166;37304306;33912454,2;2;2;2;2;2;1;0,-;-;-;-;-;-;-;v0,codex-final-adjudication,final-ai-adjudicated,"Include mechanistic irAE and clinical immune checkpoint inhibitor evidence. || AI-DRAFTED (unreviewed): Good mechanistic coverage from mouse models (myocarditis, colitis) and human tissue/clinical studies directly linking PD-1 blockade to loss of T-cell tolerance and cytokine-driven autoimmunity, clearly separated from clinical-association-only evidence (irAE-efficacy meta-analysis, general review). || AUDIT (2nd pass): 33912454 is an outcomes/survival meta-analysis, not a mechanistic paper -- grade 1 looks too generous, arguably closer to 0. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q019,metabolism,association,obesity nonalcoholic fatty liver disease adiponectin leptin resistin inflammation,28758929;16989692;20041267;24044566;19788607;23401753;24843689;19753129;29416297;20498498,2;2;2;2;2;2;1;1;1;1,-;-;-;-;^2;^2;-;-;-;-,codex-final-adjudication,final-ai-adjudicated,"Separate human association studies from animal mechanisms. || AI-DRAFTED (unreviewed): Adiponectin has the most consistent human association evidence (protective, inversely related to hepatic inflammation) supported by adiponectin-knockout mouse mechanistic data; leptin/resistin show more mixed human associations; several reviews included only as background. || AUDIT (2nd pass): Two causal knockout-mouse studies (19788607, 23401753) provide direct mechanistic evidence comparable to the grade-2 human studies -- grade 1 looks too low. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
Q020,osteoporosis,retrieval,Wnt LRP5 sclerostin beta-catenin osteoblast osteoporosis,15778503;19419300;29963786;15221492;26117992;35982318;29080811;19072724;23926379,2;2;2;2;2;2;1;2;1,-;-;-;-;-;-;-;^2;-,codex-final-adjudication,final-ai-adjudicated,"Prioritize direct bone biology and osteoporosis evidence. || AI-DRAFTED (unreviewed): Direct bone-specific evidence is strong for both LRP5 (human candidate-gene/GWAS studies) and sclerostin (mouse mechanistic studies plus therapeutic reviews); generic Wnt-pathway reviews graded lower per the curation note. || AUDIT (2nd pass): 19072724 is a comprehensive LRP5/LRP6/sclerostin/Dkk1 review comparable to reviews graded 2 elsewhere in this set -- underrated at 1. || FINAL ADJUDICATION: PMID metadata and disputed grades were checked against PubMed abstracts; second-pass recommendations were accepted and frozen on 2026-07-27. This is an internal AI adjudication, not a claim of human expert review."
