system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,29904399,0.95
netmedex_hybrid_rag,Q001,2,24956021,0.90
netmedex_hybrid_rag,Q001,3,34854397,0.72
netmedex_hybrid_rag,Q001,4,35185286,0.65
traditional_rag,Q001,1,29904399,0.82
traditional_rag,Q001,2,24956021,0.70
general_llm,Q001,1,29904399,0.60
netmedex_hybrid_rag,Q002,1,33426313,0.94
netmedex_hybrid_rag,Q002,2,34854397,0.88
netmedex_hybrid_rag,Q002,3,35909545,0.84
netmedex_hybrid_rag,Q002,4,20980664,0.78
netmedex_hybrid_rag,Q002,5,23605904,0.70
traditional_rag,Q002,1,23605904,0.76
traditional_rag,Q002,2,35909545,0.72
general_llm,Q002,1,23605904,0.55
netmedex_hybrid_rag,Q003,1,11287357,0.96
netmedex_hybrid_rag,Q003,2,19794059,0.91
netmedex_hybrid_rag,Q003,3,33998291,0.88
netmedex_hybrid_rag,Q003,4,11238501,0.82
traditional_rag,Q003,1,18489581,0.78
traditional_rag,Q003,2,16823477,0.70
general_llm,Q003,1,16823477,0.60
netmedex_hybrid_rag,Q004,1,17916240,0.95
netmedex_hybrid_rag,Q004,2,18755156,0.89
netmedex_hybrid_rag,Q004,3,30623450,0.84
traditional_rag,Q004,1,18755156,0.80
traditional_rag,Q004,2,30623450,0.72
general_llm,Q004,1,30623450,0.58
netmedex_hybrid_rag,Q005,1,9848093,0.93
netmedex_hybrid_rag,Q005,2,18218341,0.89
netmedex_hybrid_rag,Q005,3,21547208,0.66
traditional_rag,Q005,1,18218341,0.79
general_llm,Q005,1,18218341,0.58
netmedex_hybrid_rag,Q006,1,19075102,0.95
netmedex_hybrid_rag,Q006,2,22710021,0.88
netmedex_hybrid_rag,Q006,3,17584107,0.82
traditional_rag,Q006,1,17584107,0.80
traditional_rag,Q006,2,22710021,0.74
general_llm,Q006,1,17584107,0.58
netmedex_hybrid_rag,Q007,1,30891627,0.93
netmedex_hybrid_rag,Q007,2,30133701,0.88
netmedex_hybrid_rag,Q007,3,29922283,0.85
netmedex_hybrid_rag,Q007,4,22324470,0.80
traditional_rag,Q007,1,22324470,0.79
traditional_rag,Q007,2,22096355,0.68
general_llm,Q007,1,30891627,0.56
netmedex_hybrid_rag,Q008,1,26549988,0.95
netmedex_hybrid_rag,Q008,2,27588407,0.90
netmedex_hybrid_rag,Q008,3,30546102,0.86
netmedex_hybrid_rag,Q008,4,38179971,0.80
traditional_rag,Q008,1,35160099,0.74
traditional_rag,Q008,2,30546102,0.72
general_llm,Q008,1,35276841,0.55
netmedex_hybrid_rag,Q009,1,18835816,0.92
netmedex_hybrid_rag,Q009,2,40391687,0.90
netmedex_hybrid_rag,Q009,3,36588738,0.86
netmedex_hybrid_rag,Q009,4,39713478,0.82
traditional_rag,Q009,1,31114509,0.79
traditional_rag,Q009,2,24058805,0.68
general_llm,Q009,1,31114509,0.55
netmedex_hybrid_rag,Q010,1,29904399,0.96
netmedex_hybrid_rag,Q010,2,24956021,0.91
netmedex_hybrid_rag,Q010,3,33426313,0.86
netmedex_hybrid_rag,Q010,4,35909545,0.80
traditional_rag,Q010,1,29904399,0.80
traditional_rag,Q010,2,23605904,0.72
general_llm,Q010,1,29904399,0.58
