question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.21705249696969986,3.361836075782776,12.351349487900734,10.176561459898949,13.461313471198082,42.780448108911514,24,33,0,"['29500883', '29904399', '32911026', '33743412', '35292240', '38045146', '39588260', '41484919']",9,9055,4967,14022
Q002,0.0,0.002791360020637512,1.9697672501206398,6.801674224436283,6.407804921269417,11.329336874186993,30.7918883562088,51,71,0,"['23223004', '23605904', '27904930', '33255179', '33434305', '34502371', '35285389', '35831436', '36319624', '36835184', '37215980', '38106447', '39343927', '41369394']",15,6851,2943,9794
Q003,0.0,0.002589017152786255,1.776294305920601,6.801552779972553,6.8640648275613785,9.996263094246387,29.375399887561798,46,58,0,"['12172480', '17053832', '18094066', '24003928', '29241747', '31426593', '31577826', '32437299', '33439300', '34536157', '34847640', '37895163', '39471690', '39593091', '39749338']",15,6543,2871,9414
Q004,0.0,0.0021443217992782593,1.936037078499794,6.068120636045933,6.8429239094257355,8.173681691288948,26.831731155514717,40,51,0,"['15810876', '29693253', '30623450', '30725357', '31590362', '32519340', '35722665', '37776274', '38031951', '38166505', '38269517', '38699926', '39219410', '41109942', '41252742']",15,7323,2770,10093
Q005,0.0,0.004676364362239838,1.710646279156208,5.961765542626381,5.444217875599861,5.026278614997864,21.580517411231995,33,42,0,"['22697066', '27766447', '27809706', '32967303', '33476985', '35269827', '35522844', '35660451', '37227619', '37597424', '37956598', '40023293', '40864415', '40902587', '40931065']",15,6533,1775,8308
Q006,0.0,0.0030542686581611633,1.9098614379763603,5.886509269475937,5.010455131530762,10.750368900597095,27.571438752114773,48,63,0,"['10569303', '15320839', '15815580', '15861315', '17430168', '18695354', '22112351', '24928320', '35970408', '39684569']",15,7006,2630,9636
Q007,0.0,0.0029551684856414795,2.107340544462204,5.041833229362965,4.9768040999770164,7.24498338252306,23.365245006978512,35,41,0,"['25130295', '25145755', '25467639', '27576555', '30502718', '30891627', '31295952', '31866067', '34635393', '34875227', '35872102', '37579542', '37670700', '39875232']",15,6151,2221,8372
Q008,0.0,0.0018886104226112366,1.9735740646719933,9.28781072050333,8.88555159419775,14.847562789916992,38.255335338413715,30,44,0,"['23788646', '27588407', '28155088', '30546102', '31636470', '32326161', '35160099', '35743652', '36600119', '37546931', '38073491', '38179971', '38554847', '40247380', '40824057']",15,8809,4078,12887
Q009,0.0,0.002490408718585968,1.7464796751737595,6.921344809234142,10.23670170456171,22.236979961395264,45.795205026865005,53,52,0,"['26972840', '29897957', '31114509', '32885495', '33601387', '39122555', '40617409']",15,8200,5401,13601
Q010,0.0,0.00170125812292099,1.6057311818003654,20.418329924345016,16.95204970240593,27.676458597183228,70.13381418585777,37,41,0,[],12,10481,10366,20847
