question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,2.8505921363830566e-05,3.1481903418898582,0.00015234947204589844,0.0,,,3.6532967537641525,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,1.9744038581848145e-05,1.502771481871605,4.8860907554626465e-05,0.0,,,1.9679676443338394,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,1.659989356994629e-05,1.3893036767840385,1.3865530490875244e-05,0.0,,,1.877308264374733,33,42,1,['33476985'],15,,,
PP004,0.0,1.6592442989349365e-05,1.453113541007042,2.1398067474365234e-05,0.0,,,1.9724714383482933,35,41,1,['27576555'],15,,,
PP005,0.0,2.847611904144287e-05,1.3419376462697983,1.1958181858062744e-05,0.0,,,1.8639543652534485,123,208,1,['26277279'],15,,,
PP006,0.0,1.6227364540100098e-05,1.261300802230835,3.150850534439087e-05,0.0,,,1.7433103919029236,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,1.6987323760986328e-05,1.7466984689235687,4.242360591888428e-05,0.0,,,2.4388539120554924,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,1.788884401321411e-05,1.747784435749054,0.00023514777421951294,0.0,,,2.419081538915634,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,2.386420965194702e-05,1.6323911547660828,0.0001995861530303955,0.0,,,2.1665558516979218,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,4.018843173980713e-05,1.5198758691549301,0.00017458200454711914,0.0,,,2.1210429668426514,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,2.2083520889282227e-05,1.5193788707256317,0.0003412887454032898,0.0,,,2.175209991633892,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,4.3451786041259766e-05,1.4899445697665215,0.00020271539688110352,0.0,,,1.989810436964035,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,4.228949546813965e-05,1.1926649361848831,0.0002146214246749878,0.0,,,1.6820212751626968,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.5556812286376953e-05,2.0307566449046135,6.793694265186787,24.9661263525486,,,34.3001594170928,166,267,1,"['29302038', '35430804']",26,3841,873,4714
PP015,0.0,6.258487701416016e-05,3.046628437936306,0.00017607957124710083,0.0,,,3.8121626302599907,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,5.9410929679870605e-05,2.334156818687916,0.00017616897821426392,0.0,,,3.0198233872652054,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,2.1204352378845215e-05,1.7087461277842522,0.0001122206449508667,0.0,,,2.206121563911438,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,1.718848943710327e-05,2.680093988776207,6.638146355748177,33.97559216618538,,,43.988368168473244,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,1256,5101
PP019,0.0,6.969273090362549e-05,3.4557207077741623,6.394291572272778,29.62809830158949,,,40.042083099484444,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,1086,4760
PP020,0.0,3.0413269996643066e-05,3.35141122341156,6.73328760266304,28.756371691823006,,,39.37120293825865,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,1043,4892
