answer_id,question_id,system
Q001-A,Q001,kg_expansion_reranking_path_answer
Q001-B,Q001,traditional_text_rag
Q001-C,Q001,closed_book_llm
Q001-D,Q001,text_rag_kg_reranking
Q003-A,Q003,traditional_text_rag
Q003-B,Q003,text_rag_kg_reranking
Q003-C,Q003,closed_book_llm
Q003-D,Q003,kg_expansion_reranking_path_answer
Q004-A,Q004,traditional_text_rag
Q004-B,Q004,closed_book_llm
Q004-C,Q004,kg_expansion_reranking_path_answer
Q004-D,Q004,text_rag_kg_reranking
Q006-A,Q006,text_rag_kg_reranking
Q006-B,Q006,closed_book_llm
Q006-C,Q006,kg_expansion_reranking_path_answer
Q006-D,Q006,traditional_text_rag
Q008-A,Q008,text_rag_kg_reranking
Q008-B,Q008,traditional_text_rag
Q008-C,Q008,kg_expansion_reranking_path_answer
Q008-D,Q008,closed_book_llm
Q010-A,Q010,closed_book_llm
Q010-B,Q010,kg_expansion_reranking_path_answer
Q010-C,Q010,traditional_text_rag
Q010-D,Q010,text_rag_kg_reranking
Q011-A,Q011,closed_book_llm
Q011-B,Q011,kg_expansion_reranking_path_answer
Q011-C,Q011,traditional_text_rag
Q011-D,Q011,text_rag_kg_reranking
Q014-A,Q014,closed_book_llm
Q014-B,Q014,kg_expansion_reranking_path_answer
Q014-C,Q014,text_rag_kg_reranking
Q014-D,Q014,traditional_text_rag
Q015-A,Q015,kg_expansion_reranking_path_answer
Q015-B,Q015,text_rag_kg_reranking
Q015-C,Q015,traditional_text_rag
Q015-D,Q015,closed_book_llm
Q016-A,Q016,traditional_text_rag
Q016-B,Q016,closed_book_llm
Q016-C,Q016,text_rag_kg_reranking
Q016-D,Q016,kg_expansion_reranking_path_answer
Q021-A,Q021,text_rag_kg_reranking
Q021-B,Q021,closed_book_llm
Q021-C,Q021,kg_expansion_reranking_path_answer
Q021-D,Q021,traditional_text_rag
Q025-A,Q025,traditional_text_rag
Q025-B,Q025,kg_expansion_reranking_path_answer
Q025-C,Q025,closed_book_llm
Q025-D,Q025,text_rag_kg_reranking
Q028-A,Q028,closed_book_llm
Q028-B,Q028,traditional_text_rag
Q028-C,Q028,kg_expansion_reranking_path_answer
Q028-D,Q028,text_rag_kg_reranking
Q029-A,Q029,kg_expansion_reranking_path_answer
Q029-B,Q029,traditional_text_rag
Q029-C,Q029,text_rag_kg_reranking
Q029-D,Q029,closed_book_llm
Q037-A,Q037,closed_book_llm
Q037-B,Q037,traditional_text_rag
Q037-C,Q037,text_rag_kg_reranking
Q037-D,Q037,kg_expansion_reranking_path_answer
Q041-A,Q041,text_rag_kg_reranking
Q041-B,Q041,traditional_text_rag
Q041-C,Q041,closed_book_llm
Q041-D,Q041,kg_expansion_reranking_path_answer
Q043-A,Q043,traditional_text_rag
Q043-B,Q043,closed_book_llm
Q043-C,Q043,kg_expansion_reranking_path_answer
Q043-D,Q043,text_rag_kg_reranking
Q046-A,Q046,closed_book_llm
Q046-B,Q046,text_rag_kg_reranking
Q046-C,Q046,kg_expansion_reranking_path_answer
Q046-D,Q046,traditional_text_rag
Q047-A,Q047,text_rag_kg_reranking
Q047-B,Q047,traditional_text_rag
Q047-C,Q047,closed_book_llm
Q047-D,Q047,kg_expansion_reranking_path_answer
Q050-A,Q050,closed_book_llm
Q050-B,Q050,traditional_text_rag
Q050-C,Q050,kg_expansion_reranking_path_answer
Q050-D,Q050,text_rag_kg_reranking
