question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.693516969680786e-05,3.426718071103096,0.0001931414008140564,0.0,,,3.916507840156555,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,6.911158561706543e-05,1.3316500410437584,5.340576171875e-05,0.0,,,1.813039317727089,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,2.6129186153411865e-05,1.406516246497631,6.057322025299072e-05,0.0,,,2.033939741551876,33,42,1,['33476985'],15,,,
PP004,0.0,8.308142423629761e-05,1.5000902935862541,1.3232231140136719e-05,0.0,,,2.037320591509342,35,41,1,['27576555'],15,,,
PP005,0.0,1.7836689949035645e-05,1.6615190207958221,1.687556505203247e-05,0.0,,,2.3504408299922943,123,208,1,['26277279'],15,,,
PP006,0.0,2.520531415939331e-05,1.476919673383236,6.537139415740967e-05,0.0,,,1.9943488389253616,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,4.2088329792022705e-05,1.6631791070103645,0.0001587122678756714,0.0,,,2.2344324812293053,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,0.00012895464897155762,2.3232693150639534,0.0002070888876914978,0.0,,,2.9080847278237343,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,6.171315908432007e-05,1.5346723273396492,0.00016111880540847778,0.0,,,2.0239583030343056,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.6614794731140137e-05,1.4013051688671112,0.00012376904487609863,0.0,,,1.8999969214200974,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,4.64022159576416e-05,1.4285672679543495,0.0001544654369354248,0.0,,,1.9213998094201088,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,1.8425285816192627e-05,1.1879275813698769,0.00017270445823669434,0.0,,,1.6949400454759598,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,2.820044755935669e-05,1.3334186226129532,0.0003041699528694153,0.0,,,1.8280346915125847,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,5.361437797546387e-05,2.1925758719444275,7.173152223229408,30.18926651775837,,,40.250888392329216,166,267,1,"['29302038', '35430804']",26,3841,1089,4930
PP015,0.0,6.76959753036499e-05,3.2435309886932373,0.00017400085926055908,0.0,,,4.004917047917843,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,6.333738565444946e-05,2.922618754208088,0.00015662610530853271,0.0,,,3.463277965784073,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,5.988031625747681e-05,1.1889402717351913,0.000179290771484375,0.0,,,1.6464150175452232,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,4.904717206954956e-05,3.1675543934106827,7.197978302836418,32.59198109060526,,,43.65731044113636,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,1200,5045
PP019,0.0,8.036196231842041e-05,3.4068029820919037,6.395417779684067,27.73814669251442,,,38.08365227282047,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,1008,4682
PP020,0.0,7.87004828453064e-05,3.506760910153389,6.60109344124794,31.96469321101904,,,42.62354952096939,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,1174,5023
