question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.825392246246338e-05,3.2336728423833847,0.00035224854946136475,0.0,,,3.7323573529720306,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,0.0002268776297569275,1.3885456174612045,7.830560207366943e-05,0.0,,,2.105600856244564,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,2.6971101760864258e-05,1.4245342761278152,1.3008713722229004e-05,0.0,,,1.8976222574710846,33,42,1,['33476985'],15,,,
PP004,0.0,1.8946826457977295e-05,1.900123842060566,2.9809772968292236e-05,0.0,,,2.4117634296417236,35,41,1,['27576555'],15,,,
PP005,0.0,5.194544792175293e-05,1.469775952398777,1.2472271919250488e-05,0.0,,,1.9871366396546364,123,208,1,['26277279'],15,,,
PP006,0.0,2.2940337657928467e-05,1.1606865525245667,6.680935621261597e-05,0.0,,,1.6546546518802643,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,3.820657730102539e-05,1.490806706249714,7.856637239456177e-05,0.0,,,1.9643041342496872,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,4.505366086959839e-05,2.4989279210567474,0.00020381808280944824,0.0,,,3.0522414818406105,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,3.19555401802063e-05,1.5116318240761757,0.0001997053623199463,0.0,,,2.0062395855784416,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.76355242729187e-05,1.4939864724874496,0.0001261010766029358,0.0,,,1.9750075936317444,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,4.921853542327881e-05,1.2239435017108917,0.000171564519405365,0.0,,,1.9096347242593765,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,1.814216375350952e-05,1.1940992251038551,0.0004099905490875244,0.0,,,1.849589817225933,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,9.450316429138184e-05,1.372669905424118,0.00026123225688934326,0.0,,,1.8547514528036118,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,5.350261926651001e-05,2.066298082470894,6.399582549929619,29.40007097274065,,,41.427548974752426,166,267,1,"['29302038', '35430804']",26,4110,1142,5252
PP015,0.0,7.462501525878906e-05,3.110622815787792,0.00017236173152923584,0.0,,,3.98369150608778,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,6.0401856899261475e-05,2.888261668384075,0.0001664683222770691,0.0,,,3.418561816215515,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,6.108731031417847e-05,1.740790881216526,0.0003013908863067627,0.0,,,2.426099680364132,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,8.747726678848267e-05,3.425078868865967,6.740478448569775,32.52082262188196,,,92.59873902797699,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4428,1693,6121
PP019,0.0,8.877366781234741e-05,3.3967156782746315,7.5834048464894295,32.323967568576336,,,58.20481189340353,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4261,1768,6029
PP020,0.0,9.131431579589844e-05,3.346837654709816,7.41567787528038,32.546569764614105,,,59.48882237076759,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,4436,1823,6259
