question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,0.19416741281747818,3.30182147026062,13.400973044335842,8.778036661446095,14.4401775598526,43.26421382278204,24,33,1,['29904399'],9,9389,4765,14154
Q002,0.0,0.0026862025260925293,1.7973323464393616,11.790290296077728,7.723191760480404,8.41695100069046,34.74883293360472,51,71,1,['37215980'],15,7158,3678,10836
Q003,0.0,0.0022339671850204468,1.6490214988589287,6.232727006077766,6.2819735407829285,13.607492454349995,33.13251303881407,46,58,0,[],15,6543,3221,9764
Q004,0.0,0.0014138594269752502,1.8210685402154922,7.891495272517204,8.57170782983303,7.949697472155094,30.981951497495174,40,51,2,"['32519340', '38269517']",15,7571,3177,10748
Q005,0.0,0.0018065869808197021,1.8420721590518951,7.103454865515232,4.896270930767059,5.1879807114601135,23.71757160872221,33,42,1,['33476985'],15,6836,1893,8729
Q006,0.0,0.004928067326545715,1.7346096262335777,7.121734164655209,5.938785672187805,14.357408553361893,33.45407807081938,48,63,14,"['15861315', '17430168', '22112351', '24928320', '39684569']",15,8166,3411,11577
Q007,0.0,0.00179232656955719,2.087961867451668,11.545198321342468,7.393490895628929,7.3481686264276505,32.37015390396118,35,41,14,"['25145755', '27576555', '30502718', '30891627', '37670700', '39875232']",15,7381,3092,10473
Q008,0.0,0.0016158968210220337,2.0877608209848404,8.132483720779419,9.275776639580727,14.391681522130966,38.48774453997612,30,44,0,[],15,8809,3911,12720
Q009,0.0,0.003039151430130005,2.04871329665184,8.125813491642475,9.946779809892178,22.767653092741966,47.326447650790215,53,52,7,"['26972840', '29897957']",15,9113,5412,14525
Q010,0.0,0.0008561611175537109,1.4561189636588097,19.144531548023224,18.773063480854034,29.900549843907356,73.08192204684019,37,41,0,[],12,10481,11421,21902
