system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW009,1,32665641,0.36863844
netmedex_hybrid_rag,BW009,2,27028833,0.36270803
netmedex_hybrid_rag,BW009,3,36607775,0.35981529
netmedex_hybrid_rag,BW009,4,38160540,0.35751241
netmedex_hybrid_rag,BW009,5,38179304,0.35339206
netmedex_hybrid_rag,BW009,6,38277989,0.35146988
netmedex_hybrid_rag,BW009,7,38776437,0.34703805
netmedex_hybrid_rag,BW009,8,40486517,0.34592409
netmedex_hybrid_rag,BW009,9,37179821,0.34341835
netmedex_hybrid_rag,BW009,10,26024384,0.34298913
traditional_rag,BW009,1,32665641,0.36863844
traditional_rag,BW009,2,27028833,0.36270803
traditional_rag,BW009,3,36607775,0.35981529
traditional_rag,BW009,4,38160540,0.35751241
traditional_rag,BW009,5,38179304,0.35339206
traditional_rag,BW009,6,38277989,0.35146988
traditional_rag,BW009,7,38776437,0.34703805
traditional_rag,BW009,8,40486517,0.34592409
traditional_rag,BW009,9,37179821,0.34341835
traditional_rag,BW009,10,26024384,0.34298913
