candidate_id,question_id,pmid,rater_1_relevance,rater_2_relevance,rater_3_relevance,final_relevance,method,notes
Q001-C001,Q001,35292240,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C002,Q001,29904399,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C003,Q001,38045146,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C004,Q001,39588260,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C005,Q001,24956021,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q001-C006,Q001,34854397,0,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/1/1.
Q001-C007,Q001,41484919,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q001-C008,Q001,29500883,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C009,Q001,33339654,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q001-C010,Q001,32911026,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q001-C011,Q001,33743412,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C012,Q001,27492554,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q001-C013,Q001,35185286,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q002-C001,Q002,37215980,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C002,Q002,33434305,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C003,Q002,40713676,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C004,Q002,33426313,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q002-C005,Q002,25804101,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q002-C006,Q002,27904930,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q002-C007,Q002,20980664,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q002-C008,Q002,35285389,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C009,Q002,28240263,1,1,2,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/2.
Q002-C010,Q002,33255179,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q002-C011,Q002,36835184,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q002-C012,Q002,34502371,0,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/1/1.
Q002-C013,Q002,33953168,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C014,Q002,34854397,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C015,Q002,41369394,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q002-C016,Q002,35909545,2,2,1,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/1.
Q002-C017,Q002,36319624,0,0,0,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/0.
Q002-C018,Q002,23223004,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C019,Q002,39343927,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C020,Q002,34311172,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q002-C021,Q002,35831436,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q002-C022,Q002,23605904,2,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/1/1.
Q002-C023,Q002,38106447,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C001,Q003,32437299,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C002,Q003,34536157,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C003,Q003,18094066,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C004,Q003,24003928,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C005,Q003,37895163,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C006,Q003,39749338,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C007,Q003,33439300,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C008,Q003,17053832,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q003-C009,Q003,16823477,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C010,Q003,29241747,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q003-C011,Q003,39471690,1,0,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/0/1.
Q003-C012,Q003,31426593,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
Q003-C013,Q003,11238501,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C014,Q003,11287357,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C015,Q003,34847640,0,0,1,0,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=0/0/1.
Q003-C016,Q003,39593091,2,2,2,2,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=2/2/2.
Q003-C017,Q003,31577826,1,1,1,1,internal-ai-majority-r1-r2-r3,AI majority vote r1/r2/r3=1/1/1.
