question_id,domain,question,edge_id,source,target,relation_type,supporting_titles,pmids,min_hop_count,max_path_score,rater_id,biologically_meaningful,relation_type_correct,notes
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E01,icariin,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,29904399;38045146,1,0.817,gpt-5.6-sol,1,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The first title connects icariin and RUNX2 through miR-153, but it only says icariin 'regulates' this pathway and does not establish that icariin upregulates RUNX2."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E02,icariin,osteoporosis,ameliorates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,29904399;35292240,1,0.817,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The titles report osteoblast or stem-cell osteogenic differentiation, not osteoporosis or its amelioration."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E03,icariin,0409,associated_with,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,29904399;38045146,1,0.749,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] No entity named '0409' appears in the titles; it appears to be a malformed extraction from mmu_circ_0000349."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E04,icariin,mir335,regulates,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.624,gpt-5.6-sol,1,1,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states that icariin regulates abnormal miRNA-335 expression."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E05,icariin,kdm6b,upregulates,Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,38045146,1,0.624,gpt-5.6-sol,1,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] Jumonji domain-containing protein-3 (KDM6B) is part of the stated icariin-responsive axis, but the title does not explicitly say icariin upregulates KDM6B."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E06,icariin,mitf,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.624,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The supporting title discusses osteoclast-derived exosomes and osteoclast–osteoblast communication but does not mention MITF."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E07,icariin,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,1,0.624,gpt-5.6-sol,1,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title identifies miR-153 as mediating icariin's effects, but it does not specify that icariin upregulates miR-153."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E08,icariin,mmp3,downregulates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,41484919,1,0.624,gpt-5.6-sol,1,1,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title says icariin's effect is mediated by miR-376c-3p targeting Mmp3, which supports indirect downregulation of MMP3."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E09,icariin,pten,inhibits,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,35292240,1,0.624,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title reports upregulation of miR-335-5p by icariin but does not mention PTEN or PTEN inhibition."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E10,icariin,rab27a,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.624,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] RAB27A is not mentioned in the exosome and bone-defect repair title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E11,icariin,vegfa,decreases,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.624,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title mentions miRNA-335 and protection of bone microvascular endothelial cells but does not mention VEGFA or a decrease in VEGFA."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E12,icariin,bone diseases,ameliorates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.624,gpt-5.6-sol,1,1,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title states that icariin-enhanced exosomes promote repair of infected bone defects, supporting amelioration of at least this type of bone disorder."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E13,icariin,osteoporotic fractures,ameliorates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,41484919,1,0.624,gpt-5.6-sol,0,0,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title reports an anti-osteoclastogenic mechanism but does not mention osteoporotic fractures or their amelioration."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E14,icariin,onfh,prevents,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.624,gpt-5.6-sol,1,1,"[AI-GENERATED RATING -- GPT-5.6-sol. Blinded graph-edge quality pass, not a human expert review.] The title explicitly describes icariin as indicating prevention of steroid-induced osteonecrosis of the femoral head (ONFH)."
