question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,1.9147992134094238e-05,3.7124776169657707,0.0005072131752967834,,,,4.295802757143974,65,100,0,[],9,,,
Q003,0.0,0.00010645389556884766,1.7362207919359207,1.2189149856567383e-05,,,,2.26053898781538,0,0,0,[],15,,,
Q004,0.0,7.347762584686279e-05,1.9579395949840546,0.00014237314462661743,,,,2.474024184048176,87,127,0,[],15,,,
Q006,0.0,3.512948751449585e-05,1.4399032965302467,7.703900337219238e-06,,,,1.9333488941192627,0,0,0,[],15,,,
Q008,0.0,1.519918441772461e-05,1.8038254380226135,5.877401597797871,,,,8.410381756722927,107,165,3,"['23788646', '28155088', '35743652', '37546931', '38073491', '38554847']",15,,,
Q010,0.0,7.61672854423523e-05,1.7658090069890022,3.405660390853882e-05,,,,2.427650734782219,92,160,0,[],12,,,
Q011,0.0,2.469867467880249e-05,1.6876918375492096,7.484853267669678e-05,,,,2.199968099594116,125,210,0,[],15,,,
Q014,0.0,4.187971353530884e-05,0.8743042200803757,1.058727502822876e-05,,,,1.4040603041648865,0,0,0,[],6,,,
Q015,0.0,2.025812864303589e-05,0.6321505755186081,0.00010403245687484741,,,,1.115340568125248,48,61,0,[],3,,,
Q016,0.0,2.3968517780303955e-05,0.716923214495182,6.444752216339111e-05,,,,1.16391921043396,40,65,0,[],4,,,
Q021,0.0,7.37309455871582e-05,1.1281535923480988,7.718801498413086e-06,,,,1.6242098063230515,0,0,0,[],10,,,
Q025,0.0,1.537799835205078e-05,0.7081193774938583,6.697326898574829e-05,,,,1.181243933737278,45,76,0,[],4,,,
Q028,0.0,2.078711986541748e-05,1.2903138622641563,6.496306270360947,,,,8.307388722896576,97,166,0,[],9,,,
Q029,0.0,7.092207670211792e-05,1.2951199263334274,4.669238671660423,,,,6.637898847460747,45,89,2,"['40681353', '42065920']",7,,,
Q037,0.0,5.819648504257202e-05,1.3444374576210976,5.444291420280933,,,,7.425851069390774,60,105,3,"['25646384', '29052129', '30611768', '38064540']",11,,,
Q041,0.0,4.781782627105713e-05,1.1259260848164558,2.0869076251983643e-05,,,,1.6748216077685356,75,176,0,[],10,,,
Q043,0.0,4.509091377258301e-05,1.5726461708545685,1.2777745723724365e-05,,,,2.048772856593132,0,0,0,[],15,,,
Q046,0.0,1.633167266845703e-05,0.9873522520065308,1.150369644165039e-05,,,,1.6344963610172272,0,0,0,[],7,,,
Q047,0.0,1.677870750427246e-05,0.5674502328038216,1.2628734111785889e-05,,,,1.0528208315372467,0,0,0,[],1,,,
Q050,0.0,3.5136938095092773e-05,0.6530275270342827,9.452551603317261e-05,,,,1.1453167796134949,63,92,0,[],5,,,
