question_id,domain,question,question_type,expected_concepts,gold_pmids,minimum_answer_criteria,curator_notes
PP001,osteoporosis,"What evidence supports the claim that icariin promotes osteogenic differentiation, and what are the important study-context limitations?",mechanism,icariin; osteogenic differentiation,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP002,cancer,"What evidence supports the claim that curcumin induces apoptosis, and what are the important study-context limitations?",mechanism,curcumin; apoptosis,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP003,neurodegeneration,"What evidence supports the claim that amyloid-beta related_to mitochondrial toxicity, and what are the important study-context limitations?",mechanism,amyloid-beta; mitochondrial toxicity,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP004,immunology,"What evidence supports the claim that il-17 promotes autoimmune disease, and what are the important study-context limitations?",mechanism,il-17; autoimmune disease,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP005,oncology,"What evidence supports the claim that metformin associated_with malignancy, and what are the important study-context limitations?",mechanism,metformin; malignancy,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP006,osteoporosis,What evidence supports a mechanistic path from icariin to osteogenic differentiation through ti? Distinguish evidence for each hop from overall inference.,mechanism,icariin; ti; osteogenic differentiation,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP007,cancer,What evidence supports a mechanistic path from curcumin to apoptosis through p53? Distinguish evidence for each hop from overall inference.,mechanism,curcumin; p53; apoptosis,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP008,hypothesis generation,What evidence supports a mechanistic path from dysbiosis to bone diseases through serotonin? Distinguish evidence for each hop from overall inference.,mechanism,dysbiosis; serotonin; bone diseases,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP009,rare disease,"What evidence supports a mechanistic path from cystic fibrosis transmembrane regulator protein to intestinal inflammation through inflammation, cf, cftr? Distinguish evidence for each hop from overall inference.",mechanism,cystic fibrosis transmembrane regulator protein; inflammation; cf; cftr; intestinal inflammation,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP010,rare disease,What evidence supports a mechanistic path from cftr to inflammation through dysbiosis? Distinguish evidence for each hop from overall inference.,mechanism,cftr; dysbiosis; inflammation,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP011,infectious disease,"What evidence supports a mechanistic path from chronic hepatitis b virus (hbv) infection to hcc through liver fibrosis, hbv, chronic liver inflammation? Distinguish evidence for each hop from overall inference.",mechanism,chronic hepatitis b virus (hbv) infection; liver fibrosis; hbv; chronic liver inflammation; hcc,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP012,infectious disease,"What evidence supports a mechanistic path from chronic hepatitis b virus (hbv) infection to hepatocellular carcinoma through liver fibrosis, hbv, hbv infection? Distinguish evidence for each hop from overall inference.",mechanism,chronic hepatitis b virus (hbv) infection; liver fibrosis; hbv; hbv infection; hepatocellular carcinoma,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
PP013,infectious disease,What evidence supports a mechanistic path from chronic hepatitis b virus (hbv) infection to hcc through chronic liver inflammation? Distinguish evidence for each hop from overall inference.,mechanism,chronic hepatitis b virus (hbv) infection; chronic liver inflammation; hcc,,Cite evidence for each hop and label the endpoint conclusion as inference when no direct edge is shown.,Path-enriched efficacy item; excluded from representative ITT claims.
