answer_id,question_id,system
PP001-A,PP001,text_rag_kg_reranking
PP001-B,PP001,closed_book_llm
PP001-C,PP001,kg_expansion_reranking_path_answer
PP001-D,PP001,traditional_text_rag
PP002-A,PP002,kg_expansion_reranking_path_answer
PP002-B,PP002,text_rag_kg_reranking
PP002-C,PP002,closed_book_llm
PP002-D,PP002,traditional_text_rag
PP003-A,PP003,text_rag_kg_reranking
PP003-B,PP003,traditional_text_rag
PP003-C,PP003,kg_expansion_reranking_path_answer
PP003-D,PP003,closed_book_llm
PP004-A,PP004,kg_expansion_reranking_path_answer
PP004-B,PP004,traditional_text_rag
PP004-C,PP004,closed_book_llm
PP004-D,PP004,text_rag_kg_reranking
PP005-A,PP005,traditional_text_rag
PP005-B,PP005,closed_book_llm
PP005-C,PP005,text_rag_kg_reranking
PP005-D,PP005,kg_expansion_reranking_path_answer
PP006-A,PP006,closed_book_llm
PP006-B,PP006,text_rag_kg_reranking
PP006-C,PP006,traditional_text_rag
PP006-D,PP006,kg_expansion_reranking_path_answer
PP007-A,PP007,traditional_text_rag
PP007-B,PP007,kg_expansion_reranking_path_answer
PP007-C,PP007,text_rag_kg_reranking
PP007-D,PP007,closed_book_llm
PP008-A,PP008,kg_expansion_reranking_path_answer
PP008-B,PP008,text_rag_kg_reranking
PP008-C,PP008,closed_book_llm
PP008-D,PP008,traditional_text_rag
PP009-A,PP009,closed_book_llm
PP009-B,PP009,text_rag_kg_reranking
PP009-C,PP009,kg_expansion_reranking_path_answer
PP009-D,PP009,traditional_text_rag
PP010-A,PP010,traditional_text_rag
PP010-B,PP010,text_rag_kg_reranking
PP010-C,PP010,kg_expansion_reranking_path_answer
PP010-D,PP010,closed_book_llm
PP011-A,PP011,text_rag_kg_reranking
PP011-B,PP011,closed_book_llm
PP011-C,PP011,kg_expansion_reranking_path_answer
PP011-D,PP011,traditional_text_rag
PP012-A,PP012,traditional_text_rag
PP012-B,PP012,text_rag_kg_reranking
PP012-C,PP012,closed_book_llm
PP012-D,PP012,kg_expansion_reranking_path_answer
PP013-A,PP013,text_rag_kg_reranking
PP013-B,PP013,closed_book_llm
PP013-C,PP013,traditional_text_rag
PP013-D,PP013,kg_expansion_reranking_path_answer
PP014-A,PP014,text_rag_kg_reranking
PP014-B,PP014,kg_expansion_reranking_path_answer
PP014-C,PP014,traditional_text_rag
PP014-D,PP014,closed_book_llm
PP015-A,PP015,traditional_text_rag
PP015-B,PP015,kg_expansion_reranking_path_answer
PP015-C,PP015,text_rag_kg_reranking
PP015-D,PP015,closed_book_llm
PP016-A,PP016,text_rag_kg_reranking
PP016-B,PP016,traditional_text_rag
PP016-C,PP016,closed_book_llm
PP016-D,PP016,kg_expansion_reranking_path_answer
PP017-A,PP017,closed_book_llm
PP017-B,PP017,text_rag_kg_reranking
PP017-C,PP017,kg_expansion_reranking_path_answer
PP017-D,PP017,traditional_text_rag
PP018-A,PP018,text_rag_kg_reranking
PP018-B,PP018,closed_book_llm
PP018-C,PP018,traditional_text_rag
PP018-D,PP018,kg_expansion_reranking_path_answer
PP019-A,PP019,text_rag_kg_reranking
PP019-B,PP019,closed_book_llm
PP019-C,PP019,kg_expansion_reranking_path_answer
PP019-D,PP019,traditional_text_rag
PP020-A,PP020,kg_expansion_reranking_path_answer
PP020-B,PP020,closed_book_llm
PP020-C,PP020,text_rag_kg_reranking
PP020-D,PP020,traditional_text_rag
