edge_id,question_id,system,judge_count,entity_valid,entity_valid_mean,entity_valid_unanimous,relation_exists,relation_exists_mean,relation_exists_unanimous,relation_type_correct,relation_type_correct_mean,relation_type_correct_unanimous,direction_correct,direction_correct_mean,direction_correct_unanimous,evidence_support,evidence_support_mean,evidence_support_unanimous,confidence,confidence_mean,confidence_unanimous
Q001-E01,Q001,netmedex_hybrid_rag,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E02,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E03,Q001,netmedex_hybrid_rag,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,3,1
Q001-E04,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E05,Q001,netmedex_hybrid_rag,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E06,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E07,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E08,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E09,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E10,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E11,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E12,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E13,Q001,netmedex_hybrid_rag,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,3,3,1
Q001-E14,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E15,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E16,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q001-E17,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,3,3,1
Q001-E18,Q001,netmedex_hybrid_rag,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,3,3,1
Q001-E19,Q001,netmedex_hybrid_rag,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,3,1
Q001-E20,Q001,netmedex_hybrid_rag,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,3,3,1
Q004-E15,Q004,netmedex_hybrid_rag,2,1,1,1,1,1,1,0,0.5,0,1,1,1,0,0.5,0,2,2,0
Q008-E03,Q008,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q008-E05,Q008,netmedex_hybrid_rag,2,1,1,1,1,1,1,0,0.5,0,1,1,1,1,1,1,2,2,1
Q011-E07,Q011,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q011-E08,Q011,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q015-E01,Q015,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q015-E03,Q015,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q016-E02,Q016,netmedex_hybrid_rag,2,0,0.5,0,0,0,1,0,0,1,0,0,1,0,0,1,3,3,1
Q016-E03,Q016,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q018-E01,Q018,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,0
Q018-E02,Q018,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,0
Q023-E02,Q023,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q023-E07,Q023,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2.5,0
Q025-E04,Q025,netmedex_hybrid_rag,2,1,1,1,1,1,1,0,0.5,0,1,1,1,1,1,1,2,2.5,0
Q025-E05,Q025,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q029-E07,Q029,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1
Q029-E17,Q029,netmedex_hybrid_rag,2,1,1,1,0,0.5,0,0,0.5,0,0,0,1,0,0.5,0,2,2.5,0
Q037-E03,Q037,netmedex_hybrid_rag,2,1,1,1,1,1,1,0,0.5,0,1,1,1,0,0.5,0,2,2,1
Q037-E05,Q037,netmedex_hybrid_rag,2,0,0.5,0,1,1,1,0,0,1,0,0,1,0,0,1,2,2.5,0
Q048-E01,Q048,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2.5,0
Q048-E05,Q048,netmedex_hybrid_rag,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0.5,0,2,2.5,0
