question_id,domain,question,edge_id,source,target,relation_type,supporting_titles,pmids,min_hop_count,max_path_score,rater_id,biologically_meaningful,relation_type_correct,notes
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E01,icariin,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,29904399;38045146,1,0.817,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states icariin regulates osteoblast differentiation through miR-153 by targeting Runx2. Since Runx2 is a key driver of osteoblast differentiation, it is implied that icariin ultimately upregulates or positively regulates Runx2 activity."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E02,icariin,osteoporosis,ameliorates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,29904399;35292240,1,0.817,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Osteoporosis is not mentioned in the provided supporting titles, making this edge unsupported by the text."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E03,icariin,0409,associated_with,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,29904399;38045146,1,0.749,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The target '0409' is a meaningless extraction artifact (likely a parsing error from mmu_circ_0000349) and is not a valid biological entity."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E04,icariin,mir335,regulates,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.624,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states that icariin works by 'regulating abnormal expression of miRNA-335'."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E05,icariin,kdm6b,upregulates,Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,38045146,1,0.624,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Jumonji domain-containing protein-3 is KDM6B. The title states icariin promotes osteogenic differentiation through this axis, implying it upregulates or positively mediates KDM6B."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E06,icariin,mitf,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.624,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] MITF is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E07,icariin,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,1,0.624,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] While icariin regulates miR-153, 'upregulates' is likely incorrect. Since miR-153 targets Runx2 (which is needed for osteoblast differentiation), icariin would need to downregulate miR-153 to promote differentiation."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E08,icariin,mmp3,downregulates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,41484919,1,0.624,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states that icariin's effect is mediated by targeting (which typically means inhibiting/downregulating) Mmp3."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E09,icariin,pten,inhibits,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,35292240,1,0.624,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PTEN is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E10,icariin,rab27a,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.624,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Rab27a is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E11,icariin,vegfa,decreases,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.624,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] VEGFA is not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E12,icariin,bone diseases,ameliorates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.624,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions promoting repair of 'Infected Bone Defects', which supports the relation that it ameliorates bone diseases."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E13,icariin,osteoporotic fractures,ameliorates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,41484919,1,0.624,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Osteoporotic fractures are not mentioned in the supporting title."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E14,icariin,onfh,prevents,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.624,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] ONFH stands for osteonecrosis of the femoral head, and the title explicitly mentions 'prevention of steroid-induced osteonecrosis of femoral head'."
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E15,icariin,oc,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.572,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] OC likely refers to osteoclast in this context, and the title explicitly mentions 'Regulating Osteoclast and Osteoblast Communication'."
