system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,29904399,0.74238177
netmedex_hybrid_rag,Q001,2,29500883,0.70363570
netmedex_hybrid_rag,Q001,3,33743412,0.69299232
netmedex_hybrid_rag,Q001,4,27492554,0.69073327
netmedex_hybrid_rag,Q001,5,32911026,0.66967769
netmedex_hybrid_rag,Q001,6,38045146,0.66512030
netmedex_hybrid_rag,Q001,7,41484919,0.66333930
netmedex_hybrid_rag,Q001,8,35292240,0.64761818
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
