question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.852959394454956e-05,3.070722907781601,2.699345350265503e-05,34.50973358750343,,,38.07864737510681,65,90,1,['38045146'],9,4937,1200,6137
PP002,0.0,2.6687979698181152e-05,3.9575450494885445,7.186084985733032e-05,30.30198122560978,,,34.892789237201214,89,126,1,['15810876'],15,3962,1052,5014
PP003,0.0,0.00010193139314651489,1.8245625868439674,3.536790609359741e-05,29.492213986814022,,,31.81807029247284,33,42,1,['33476985'],15,3668,1061,4729
PP004,0.0,8.646398782730103e-05,2.1101019755005836,3.6269426345825195e-05,29.344022259116173,,,31.955376833677292,35,41,1,['27576555'],15,3487,1066,4553
PP005,0.0,8.597970008850098e-05,1.6382519006729126,1.1928379535675049e-05,25.397752918303013,,,27.53347110003233,123,208,1,['26277279'],15,4288,873,5161
PP006,0.0,2.765655517578125e-05,1.639212504029274,0.0006483942270278931,22.97711008787155,,,25.153371050953865,65,90,1,['29500883'],9,4970,753,5723
PP007,0.0,6.871670484542847e-05,1.8763253688812256,8.232146501541138e-05,26.23099398612976,,,28.604022808372974,89,126,1,['30623450'],15,4162,906,5068
PP008,0.0,1.802295446395874e-05,4.816166527569294,6.719195336103439,27.791623897850513,,,39.830382101237774,209,297,1,"['21320797', '38474387']",26,3852,962,4814
PP009,0.0,8.663535118103027e-05,1.9910149648785591,6.989678964018822,30.557655796408653,,,40.14048995822668,105,163,1,"['23788646', '28155088', '37546931']",15,4590,1070,5660
PP010,0.0,7.355213165283203e-05,1.8999214172363281,4.044335901737213,26.187375001609325,,,32.65107923746109,105,163,1,"['37546931', '38554847']",15,4679,886,5565
PP011,0.0,7.001310586929321e-05,1.5161700770258904,5.266303181648254,33.29626017808914,,,40.649766623973846,59,126,1,"['20485626', '25646384', '29052129', '38064540']",11,4031,1200,5231
PP012,0.0,8.209049701690674e-05,1.4261485412716866,5.130499415099621,28.481656700372696,,,35.50573596358299,59,126,1,"['29052129', '30611768', '38064540']",11,3916,1009,4925
PP013,0.0,8.083879947662354e-05,1.4064856097102165,4.977494493126869,25.540526382625103,,,32.39234608411789,59,126,1,"['20485626', '29052129']",11,3919,890,4809
PP014,0.0,8.681416511535645e-05,2.5479637905955315,6.88394745439291,24.032746620476246,,,34.17025961726904,166,267,1,"['29302038', '35430804']",26,4197,816,5013
PP015,0.0,2.621859312057495e-05,3.261750914156437,6.1833499521017075,22.72749526798725,,,32.88726908713579,172,296,1,"['33201261', '36289287']",39,3204,804,4008
PP016,0.0,1.8455088138580322e-05,3.311918154358864,5.643167190253735,27.034547559916973,,,36.59714014083147,172,296,1,"['36600119', '37546931']",39,4513,946,5459
PP017,0.0,9.147077798843384e-05,1.8290567323565483,4.880030103027821,26.8479592949152,,,34.057508669793606,60,104,1,"['39411648', '41997336']",15,3966,944,4910
PP018,0.0,8.71121883392334e-05,3.4582338333129883,7.148301780223846,18.33916785567999,,,29.617615073919296,223,452,1,"['24646638', '25918553']",42,4226,589,4815
PP019,0.0,2.6367604732513428e-05,3.9302751049399376,6.649570643901825,33.4358796775341,,,44.56368005275726,223,452,1,"['20599675', '22179898', '24976068', '25918553']",42,4161,1200,5361
PP020,0.0,8.112192153930664e-05,3.7330420836806297,7.24725117534399,33.63256236165762,,,45.293747037649155,223,452,1,"['20599675', '22179898', '25918553']",42,4322,1200,5522
