question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,59.36384189873934,3.452959753572941,,,,66.29392163455486,24,33,0,"['29500883', '29904399', '32911026', '33743412', '35292240', '38045146', '39588260', '41484919']",9,22865,28339,51204
Q002,0.0,68.81619983166456,1.6528331562876701,,,,75.39857758581638,51,71,0,"['23223004', '23605904', '27904930', '33255179', '33434305', '34502371', '35285389', '35831436', '36319624', '36835184', '37215980', '38106447', '39343927', '41369394']",15,33417,44408,77825
Q003,0.0,91.74929371476173,1.8187797293066978,,,,98.90353570878506,46,58,0,"['12172480', '17053832', '18094066', '24003928', '29241747', '31426593', '31577826', '32437299', '33439300', '34536157', '34847640', '37895163', '39471690', '39593091', '39749338']",15,37350,58074,95424
Q004,0.0,95.67262878268957,2.0778276547789574,,,,102.07391127198935,40,51,0,"['15810876', '29693253', '30623450', '30725357', '31590362', '32519340', '35722665', '37776274', '38031951', '38166505', '38269517', '38699926', '39219410', '41109942', '41252742']",15,34716,51157,85873
Q005,0.0,96.62756016105413,1.9725583717226982,,,,102.34870129078627,33,42,0,"['22697066', '27766447', '27809706', '32967303', '33476985', '35269827', '35522844', '35660451', '37227619', '37597424', '37956598', '40023293', '40864415', '40902587', '40931065']",15,35651,51915,87566
Q006,0.0,84.05274057388306,1.6657779514789581,,,,90.27945001423359,48,63,0,"['10569303', '15320839', '15815580', '15861315', '17430168', '18695354', '22112351', '24928320', '35970408', '39684569']",15,33245,44225,77470
Q007,0.0,76.80025771260262,1.72807227820158,,,,81.69053308665752,35,41,0,"['25130295', '25145755', '25467639', '27576555', '30502718', '30891627', '31295952', '31866067', '34635393', '34875227', '35872102', '37579542', '37670700', '39875232']",15,34040,49789,83829
Q008,0.0,83.8396176546812,1.8970936983823776,,,,89.47704065591097,30,44,0,"['23788646', '27588407', '28155088', '30546102', '31636470', '32326161', '35160099', '35743652', '36600119', '37546931', '38073491', '38179971', '38554847', '40247380', '40824057']",15,37851,53510,91361
Q009,0.0,81.17378769814968,1.468050204217434,,,,86.79877850413322,53,52,0,"['26972840', '29897957', '31114509', '32885495', '33601387', '39122555', '40617409']",15,35971,52205,88176
Q010,0.0,66.84114174544811,1.8673448860645294,,,,72.76069320738316,37,41,0,[],12,30708,36146,66854
