system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,38045146,0.78232820
netmedex_hybrid_rag,Q001,2,27492554,0.69073327
netmedex_hybrid_rag,Q001,3,29904399,0.68604888
netmedex_hybrid_rag,Q001,4,41484919,0.66333930
netmedex_hybrid_rag,Q001,5,35292240,0.64761818
netmedex_hybrid_rag,Q001,6,29500883,0.64474723
netmedex_hybrid_rag,Q001,7,33743412,0.60898819
netmedex_hybrid_rag,Q001,8,32911026,0.57527336
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q004,1,15810876,0.75844455
netmedex_hybrid_rag,Q004,2,32519340,0.66644688
netmedex_hybrid_rag,Q004,3,30623450,0.59891994
netmedex_hybrid_rag,Q004,4,38699926,0.59209347
netmedex_hybrid_rag,Q004,5,31590362,0.58895066
netmedex_hybrid_rag,Q004,6,38031951,0.58784730
netmedex_hybrid_rag,Q004,7,29693253,0.56290285
netmedex_hybrid_rag,Q004,8,38166505,0.53399877
netmedex_hybrid_rag,Q004,9,30725357,0.52555235
netmedex_hybrid_rag,Q004,10,41109942,0.52416253
traditional_rag,Q004,1,15810876,0.62837622
traditional_rag,Q004,2,30623450,0.59891994
traditional_rag,Q004,3,38699926,0.59209347
traditional_rag,Q004,4,31590362,0.58895066
traditional_rag,Q004,5,38031951,0.58784730
traditional_rag,Q004,6,32519340,0.56814905
traditional_rag,Q004,7,29693253,0.56290285
traditional_rag,Q004,8,38166505,0.53399877
traditional_rag,Q004,9,30725357,0.52555235
traditional_rag,Q004,10,41109942,0.52416253
netmedex_hybrid_rag,Q008,1,37546931,0.70947640
netmedex_hybrid_rag,Q008,2,38554847,0.63481493
netmedex_hybrid_rag,Q008,3,23788646,0.59245753
netmedex_hybrid_rag,Q008,4,27588407,0.57849676
netmedex_hybrid_rag,Q008,5,40824057,0.57558749
netmedex_hybrid_rag,Q008,6,38073491,0.56892411
netmedex_hybrid_rag,Q008,7,40247380,0.56547436
netmedex_hybrid_rag,Q008,8,35160099,0.55841486
netmedex_hybrid_rag,Q008,9,30546102,0.54929949
netmedex_hybrid_rag,Q008,10,35743652,0.54242391
traditional_rag,Q008,1,23788646,0.59245753
traditional_rag,Q008,2,37546931,0.58642523
traditional_rag,Q008,3,38554847,0.58140759
traditional_rag,Q008,4,27588407,0.57849676
traditional_rag,Q008,5,40824057,0.57558749
traditional_rag,Q008,6,38073491,0.56892411
traditional_rag,Q008,7,40247380,0.56547436
traditional_rag,Q008,8,35160099,0.55841486
traditional_rag,Q008,9,30546102,0.54929949
traditional_rag,Q008,10,35743652,0.54242391
netmedex_hybrid_rag,Q010,1,28158288,0.37199336
netmedex_hybrid_rag,Q010,2,38795694,0.37141974
netmedex_hybrid_rag,Q010,3,40350835,0.36869829
netmedex_hybrid_rag,Q010,4,41961168,0.36009097
netmedex_hybrid_rag,Q010,5,31131457,0.35453840
netmedex_hybrid_rag,Q010,6,27492554,0.35251131
netmedex_hybrid_rag,Q010,7,40024453,0.35132082
netmedex_hybrid_rag,Q010,8,30827108,0.34564720
netmedex_hybrid_rag,Q010,9,40266676,0.34286515
