question_id,candidate_count,rater_1_status,rater_2_status,adjudication_status,reviewer_assignment,notes
Q001,13,complete,complete,complete,,
Q002,23,complete,complete,complete,,
Q003,22,complete,complete,complete,,
Q004,18,complete,complete,complete,,
Q005,18,complete,complete,complete,,
Q006,19,complete,complete,complete,,
Q007,22,complete,complete,complete,,
Q008,19,complete,complete,complete,,
Q009,23,complete,complete,complete,,
Q010,20,complete,complete,complete,,
Q011,22,complete,complete,complete,,
Q012,24,complete,complete,complete,,
Q013,9,complete,complete,complete,,
Q014,12,complete,complete,complete,,
Q015,11,complete,complete,complete,,
Q016,11,complete,complete,complete,,
Q017,22,complete,complete,complete,,
Q018,22,complete,complete,complete,,
Q019,23,complete,complete,complete,,
Q020,20,complete,complete,complete,,
Q021,18,complete,complete,complete,,
Q022,9,complete,complete,complete,,
Q023,21,complete,complete,complete,,
Q024,22,complete,complete,complete,,
Q025,10,complete,complete,complete,,
Q026,23,complete,complete,complete,,
Q027,22,complete,complete,complete,,
Q028,16,complete,complete,complete,,
Q029,13,complete,complete,complete,,
Q030,21,complete,complete,complete,,
Q031,22,complete,complete,complete,,
Q032,12,complete,complete,complete,,
Q033,19,complete,complete,complete,,
Q034,21,complete,complete,complete,,
Q035,11,complete,complete,complete,,
Q036,21,complete,complete,complete,,
Q037,20,complete,complete,complete,,
Q038,19,complete,complete,complete,,
Q039,25,complete,complete,complete,,
Q040,10,complete,complete,complete,,
Q041,17,complete,complete,complete,,
Q042,11,complete,complete,complete,,
Q043,21,complete,complete,complete,,
Q044,12,complete,complete,complete,,
Q045,19,complete,complete,complete,,
Q046,11,complete,complete,complete,,
Q047,3,complete,complete,complete,,
Q048,19,complete,complete,complete,,
Q049,23,complete,complete,complete,,
Q050,13,complete,complete,complete,,
