system,arm,question_id,run_id,path_rank,path_id,path_signature,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,score,hop_count,path_text
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,1,Q001-P01,397f0951824c83bf,icariin,,runx2,upregulates,,forward,undirected,29500883;29904399;38045146,1.0030,1,icariin ->[upregulates] runx2
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,2,Q001-P02,8729a64a7f9c0541,icariin,,osteoporosis,treats,,forward,undirected,29904399;35292240,0.8830,1,icariin ->[treats] osteoporosis
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,3,Q001-P03,d80a6df3b7a1cb8f,icariin,,mir215,upregulates,,forward,undirected,29500883,0.7750,1,icariin ->[upregulates] mir215
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,4,Q001-P04,a74c8c801331bc9e,icariin,,mir335,regulates,,forward,undirected,32911026,0.7660,1,icariin ->[regulates] mir335
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,5,Q001-P05,df2390d76f1863b5,icariin,,mir153,upregulates,,forward,undirected,29904399,0.7640,1,icariin ->[upregulates] mir153
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,6,Q001-P06,23863a4208321d75,icariin,,cebpa,downregulates,,forward,undirected,33743412,0.7630,1,icariin ->[downregulates] cebpa
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,7,Q001-P07,03f954b037a315a2,icariin,,alp,upregulates,,forward,undirected,29500883,0.7630,1,icariin ->[upregulates] alp
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,8,Q001-P08,d9195ee37b28ded3,icariin,,bglap2,upregulates,,forward,undirected,29500883,0.7630,1,icariin ->[upregulates] bglap2
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,9,Q001-P09,f62473198acaceb9,icariin,,bmp2,upregulates,,forward,undirected,29500883,0.7630,1,icariin ->[upregulates] bmp2
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,10,Q001-P10,088239628a74013b,icariin,,kdm6b,regulates,,forward,undirected,38045146,0.7630,1,icariin ->[regulates] kdm6b
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,11,Q001-P11,4d481bc08ef77ede,icariin,,ibsp,upregulates,,forward,undirected,33743412,0.7630,1,icariin ->[upregulates] ibsp
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,12,Q001-P12,fc012bb6b3c01611,icariin,,pparg,downregulates,,forward,undirected,33743412,0.7630,1,icariin ->[downregulates] pparg
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,13,Q001-P13,96ef361bee4561b4,icariin,,runx2,upregulates,,forward,undirected,33743412,0.7630,1,icariin ->[upregulates] runx2
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,14,Q001-P14,53d87299b55fd2f5,icariin,,onfh,prevents,,forward,undirected,32911026,0.7630,1,icariin ->[prevents] onfh
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,15,Q001-P15,378060a6b66c80aa,icariin,,ctnnb1,activates,,forward,undirected,33743412,0.7580,1,icariin ->[activates] ctnnb1
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,16,Q001-P16,51e6bb9f3a4a5d50,icariin,,mitf,regulates,,forward,undirected,39588260,0.7580,1,icariin ->[regulates] mitf
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,17,Q001-P17,6db281f13beda6ad,icariin,,lrp5,upregulates,,forward,undirected,33743412,0.7580,1,icariin ->[upregulates] lrp5
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,18,Q001-P18,c7eba57ba5cfb60a,icariin,,mmp3,downregulates,,forward,undirected,41484919,0.7580,1,icariin ->[downregulates] mmp3
netmedex_hybrid_rag,F_adaptive,Q001,formal-v1-gpt-4.1-F_adaptive,19,Q001-P19,1d682bdf3d028e21,icariin,,rab27a,regulates,,forward,undirected,39588260,0.7580,1,icariin ->[regulates] rab27a
