system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q003,1,32437299,0.61231515
netmedex_hybrid_rag,Q003,2,12172480,0.60254379
netmedex_hybrid_rag,Q003,3,34536157,0.57038370
netmedex_hybrid_rag,Q003,4,18094066,0.55007588
netmedex_hybrid_rag,Q003,5,24003928,0.52391532
netmedex_hybrid_rag,Q003,6,17053832,0.52330605
netmedex_hybrid_rag,Q003,7,39749338,0.51462186
netmedex_hybrid_rag,Q003,8,39471690,0.50733982
netmedex_hybrid_rag,Q003,9,33439300,0.50693875
netmedex_hybrid_rag,Q003,10,37895163,0.50559572
traditional_rag,Q003,1,32437299,0.61231515
traditional_rag,Q003,2,12172480,0.60254379
traditional_rag,Q003,3,34536157,0.57038370
traditional_rag,Q003,4,18094066,0.55007588
traditional_rag,Q003,5,24003928,0.52391532
traditional_rag,Q003,6,17053832,0.52330605
traditional_rag,Q003,7,39749338,0.51462186
traditional_rag,Q003,8,39471690,0.50733982
traditional_rag,Q003,9,33439300,0.50693875
traditional_rag,Q003,10,37895163,0.50559572
netmedex_hybrid_rag,Q013,1,41760861,0.58442804
traditional_rag,Q013,1,41760861,0.58442804
netmedex_hybrid_rag,Q021,1,36534320,0.62084490
netmedex_hybrid_rag,Q021,2,40279256,0.60182259
netmedex_hybrid_rag,Q021,3,36513134,0.60040936
netmedex_hybrid_rag,Q021,4,41285328,0.57906020
netmedex_hybrid_rag,Q021,5,40429921,0.55768463
netmedex_hybrid_rag,Q021,6,36768138,0.55236177
netmedex_hybrid_rag,Q021,7,39676197,0.54908279
netmedex_hybrid_rag,Q021,8,31936266,0.53267001
netmedex_hybrid_rag,Q021,9,38634653,0.50280845
netmedex_hybrid_rag,Q021,10,40829258,0.46066435
traditional_rag,Q021,1,36534320,0.62084490
traditional_rag,Q021,2,40279256,0.60182259
traditional_rag,Q021,3,36513134,0.60040936
traditional_rag,Q021,4,41285328,0.57906020
traditional_rag,Q021,5,40429921,0.55768463
traditional_rag,Q021,6,36768138,0.55236177
traditional_rag,Q021,7,39676197,0.54908279
traditional_rag,Q021,8,31936266,0.53267001
traditional_rag,Q021,9,38634653,0.50280845
traditional_rag,Q021,10,40829258,0.46066435
netmedex_hybrid_rag,Q027,1,32666762,0.73269914
netmedex_hybrid_rag,Q027,2,21278761,0.70477532
netmedex_hybrid_rag,Q027,3,41226614,0.68565344
netmedex_hybrid_rag,Q027,4,23894780,0.67084943
netmedex_hybrid_rag,Q027,5,24563883,0.66210880
netmedex_hybrid_rag,Q027,6,40822954,0.65885383
netmedex_hybrid_rag,Q027,7,27043843,0.65159498
netmedex_hybrid_rag,Q027,8,36916543,0.64987669
netmedex_hybrid_rag,Q027,9,28092021,0.63669419
netmedex_hybrid_rag,Q027,10,34015387,0.62798226
traditional_rag,Q027,1,32666762,0.73269914
traditional_rag,Q027,2,21278761,0.70477532
traditional_rag,Q027,3,41226614,0.68565344
traditional_rag,Q027,4,23894780,0.67084943
traditional_rag,Q027,5,24563883,0.66210880
traditional_rag,Q027,6,40822954,0.65885383
traditional_rag,Q027,7,27043843,0.65159498
traditional_rag,Q027,8,36916543,0.64987669
traditional_rag,Q027,9,28092021,0.63669419
traditional_rag,Q027,10,34015387,0.62798226
netmedex_hybrid_rag,Q033,1,34522161,0.64792396
netmedex_hybrid_rag,Q033,2,36703745,0.60329236
netmedex_hybrid_rag,Q033,3,29957462,0.58478652
netmedex_hybrid_rag,Q033,4,38871948,0.54706445
netmedex_hybrid_rag,Q033,5,36370962,0.54549155
netmedex_hybrid_rag,Q033,6,38351696,0.54359359
netmedex_hybrid_rag,Q033,7,30081711,0.53842566
netmedex_hybrid_rag,Q033,8,35785548,0.52378621
netmedex_hybrid_rag,Q033,9,42173841,0.52236361
netmedex_hybrid_rag,Q033,10,33869196,0.51782862
traditional_rag,Q033,1,34522161,0.64792396
traditional_rag,Q033,2,36703745,0.60329236
traditional_rag,Q033,3,29957462,0.58478652
traditional_rag,Q033,4,38871948,0.54706445
traditional_rag,Q033,5,36370962,0.54549155
traditional_rag,Q033,6,38351696,0.54359359
traditional_rag,Q033,7,30081711,0.53842566
traditional_rag,Q033,8,35785548,0.52378621
traditional_rag,Q033,9,42173841,0.52236361
traditional_rag,Q033,10,33869196,0.51782862
netmedex_hybrid_rag,Q046,1,16425280,0.46714774
netmedex_hybrid_rag,Q046,2,12446774,0.45145237
netmedex_hybrid_rag,Q046,3,15075340,0.44554727
netmedex_hybrid_rag,Q046,4,29570984,0.44192644
netmedex_hybrid_rag,Q046,5,40363725,0.44097211
netmedex_hybrid_rag,Q046,6,12429935,0.44020416
netmedex_hybrid_rag,Q046,7,29923368,0.38978445
traditional_rag,Q046,1,16425280,0.46714774
traditional_rag,Q046,2,12446774,0.45145237
traditional_rag,Q046,3,15075340,0.44554727
traditional_rag,Q046,4,29570984,0.44192644
traditional_rag,Q046,5,40363725,0.44097211
traditional_rag,Q046,6,12429935,0.44020416
traditional_rag,Q046,7,29923368,0.38978445
netmedex_hybrid_rag,Q016,1,36142791,0.69129486
netmedex_hybrid_rag,Q016,2,33353564,0.63415332
netmedex_hybrid_rag,Q016,3,39264856,0.62607878
netmedex_hybrid_rag,Q016,4,19437551,0.58408032
traditional_rag,Q016,1,36142791,0.69129486
traditional_rag,Q016,2,33353564,0.63415332
traditional_rag,Q016,3,39264856,0.62607878
traditional_rag,Q016,4,19437551,0.58408032
netmedex_hybrid_rag,Q022,1,41154680,0.49579846
traditional_rag,Q022,1,41154680,0.49579846
netmedex_hybrid_rag,Q023,1,32322559,0.65535997
netmedex_hybrid_rag,Q023,2,26861406,0.64764745
netmedex_hybrid_rag,Q023,3,34905218,0.58774188
netmedex_hybrid_rag,Q023,4,39386828,0.56501053
netmedex_hybrid_rag,Q023,5,26057751,0.55278234
netmedex_hybrid_rag,Q023,6,38904007,0.51992186
netmedex_hybrid_rag,Q023,7,30737895,0.49897865
netmedex_hybrid_rag,Q023,8,41129727,0.48851650
netmedex_hybrid_rag,Q023,9,31933745,0.48645514
netmedex_hybrid_rag,Q023,10,38476024,0.47929436
traditional_rag,Q023,1,32322559,0.65535997
traditional_rag,Q023,2,34905218,0.58774188
traditional_rag,Q023,3,39386828,0.56501053
traditional_rag,Q023,4,26057751,0.55278234
traditional_rag,Q023,5,26861406,0.54784224
traditional_rag,Q023,6,38904007,0.51992186
traditional_rag,Q023,7,30737895,0.49897865
traditional_rag,Q023,8,41129727,0.48851650
traditional_rag,Q023,9,31933745,0.48645514
traditional_rag,Q023,10,38476024,0.47929436
netmedex_hybrid_rag,Q029,1,40681353,0.66258264
netmedex_hybrid_rag,Q029,2,42065920,0.64005030
netmedex_hybrid_rag,Q029,3,40418230,0.62184210
netmedex_hybrid_rag,Q029,4,39119148,0.60860810
netmedex_hybrid_rag,Q029,5,41587514,0.60009170
netmedex_hybrid_rag,Q029,6,37107335,0.56021119
netmedex_hybrid_rag,Q029,7,40113668,0.56004313
traditional_rag,Q029,1,40681353,0.66258264
traditional_rag,Q029,2,42065920,0.64005030
traditional_rag,Q029,3,40418230,0.62184210
traditional_rag,Q029,4,39119148,0.60860810
traditional_rag,Q029,5,41587514,0.60009170
traditional_rag,Q029,6,37107335,0.56021119
traditional_rag,Q029,7,40113668,0.56004313
