system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW003,1,31992345,0.50741521
netmedex_hybrid_rag,BW003,2,39298837,0.49180314
netmedex_hybrid_rag,BW003,3,37891968,0.48944691
netmedex_hybrid_rag,BW003,4,41897439,0.48307442
netmedex_hybrid_rag,BW003,5,35081328,0.47000306
netmedex_hybrid_rag,BW003,6,19358684,0.42345722
traditional_rag,BW003,1,31992345,0.50741521
traditional_rag,BW003,2,39298837,0.49180314
traditional_rag,BW003,3,37891968,0.48944691
traditional_rag,BW003,4,41897439,0.48307442
traditional_rag,BW003,5,35081328,0.47000306
traditional_rag,BW003,6,19358684,0.42345722
netmedex_hybrid_rag,BW006,1,32508664,0.48196090
netmedex_hybrid_rag,BW006,2,34078746,0.48139222
netmedex_hybrid_rag,BW006,3,41124255,0.47730942
netmedex_hybrid_rag,BW006,4,29894670,0.47319877
netmedex_hybrid_rag,BW006,5,35149132,0.46890258
netmedex_hybrid_rag,BW006,6,37364421,0.44226573
netmedex_hybrid_rag,BW006,7,40948348,0.43316999
netmedex_hybrid_rag,BW006,8,41235339,0.41559568
netmedex_hybrid_rag,BW006,9,37284446,0.41322339
netmedex_hybrid_rag,BW006,10,40244022,0.40630028
traditional_rag,BW006,1,32508664,0.48196090
traditional_rag,BW006,2,34078746,0.48139222
traditional_rag,BW006,3,41124255,0.47730942
traditional_rag,BW006,4,29894670,0.47319877
traditional_rag,BW006,5,35149132,0.46890258
traditional_rag,BW006,6,37364421,0.44226573
traditional_rag,BW006,7,40948348,0.43316999
traditional_rag,BW006,8,41235339,0.41559568
traditional_rag,BW006,9,37284446,0.41322339
traditional_rag,BW006,10,40244022,0.40630028
