question_id,run_id,claim_id,path_id,verdict,reasons
Q001,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q003,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q004,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q006,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q008,formal-v1-gpt-4.1-F_adaptive,HC-01,d1a5f55509b6227d,supported,
Q008,formal-v1-gpt-4.1-F_adaptive,HC-02,07dbf05c2cfd2b0a,unsupported,hop_3_direction_mismatch
Q008,formal-v1-gpt-4.1-F_adaptive,HC-03,ff9a01d63a89fcf1,unsupported,hop_3_direction_mismatch
Q010,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q011,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q014,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q015,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q016,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q021,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q025,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q028,formal-v1-gpt-4.1-F_adaptive,HC-01,between,unsupported,path_not_found
Q029,formal-v1-gpt-4.1-F_adaptive,HC-01,78e01aa832141f75,unsupported,hop_4_direction_mismatch
Q029,formal-v1-gpt-4.1-F_adaptive,HC-02,0c3d385c26f28a3a,unsupported,hop_4_direction_mismatch
Q037,formal-v1-gpt-4.1-F_adaptive,HC-01,ca5c4a1c62f38065,unsupported,hop_2_direction_mismatch
Q037,formal-v1-gpt-4.1-F_adaptive,HC-02,0f882b023cabebc7,unsupported,hop_2_direction_mismatch
Q037,formal-v1-gpt-4.1-F_adaptive,HC-03,11efe6af13f2e56f,unsupported,hop_2_direction_mismatch
Q041,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q043,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q046,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q047,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
Q050,formal-v1-gpt-4.1-F_adaptive,,,no_path_citation,no_path_citations_detected
