question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q005,0.0,24.483443461358547,3.9243926107883453,6.911810837686062,5.467919662594795,,47.19674564898014,80,147,0,[],15,31103,20738,51841
Q008,0.0,21.41273755580187,1.803000345826149,7.63128000497818,12.009650588035583,,49.34347069263458,73,120,20,"['23788646', '27588407', '28155088', '30546102', '31636470', '32326161', '35743652', '36600119', '37546931', '38073491', '38179971', '38554847']",15,30498,18118,48616
Q010,0.0,25.971894405782223,1.5262232199311256,12.372455894947052,14.39674237370491,,59.823019094765186,68,100,0,[],12,37503,16631,54134
Q011,0.0,28.18196079134941,2.0697630047798157,6.696187123656273,5.4351698607206345,,49.93252886086702,99,152,20,"['24009772', '24750786', '26277279', '29167573', '29662316', '30445633', '31205529', '33886150', '34062070', '34576192', '35072253', '35731713', '37371530', '40140842']",15,28503,21636,50139
Q012,0.0,48.91000563651323,1.6945555806159973,5.382688671350479,7.505933009088039,,72.85223222523928,132,281,2,"['32087283', '40640358']",15,33835,34342,68177
Q018,0.0,30.7150165066123,1.7422784715890884,7.470690838992596,15.634050510823727,,62.35867100208998,89,200,0,[],15,34101,25860,59961
Q019,0.0,40.853155605494976,1.6340809687972069,7.541869200766087,8.404466062784195,,63.64522622525692,55,132,20,"['19355912', '19664840', '20498498', '23108307', '24249635', '26464753', '26654761', '29416297', '30005625', '33671547', '36009862', '36753306', '37801761']",15,28953,26213,55166
Q026,0.0,35.64785806834698,1.777834877371788,6.734325163066387,10.923764623701572,,62.37705008685589,93,181,0,[],15,34987,22971,57958
Q037,0.0,15.544341392815113,1.3886102512478828,7.71425574272871,24.28513254970312,,53.56177919358015,38,63,20,"['20413301', '20485626', '25646384', '29052129', '30611768', '32839523', '39290403']",11,21280,12754,34034
Q041,0.0,36.382227413356304,1.4302931800484657,7.85542120039463,13.360907524824142,,64.10185368359089,64,136,0,[],10,31758,24192,55950
