question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,1.8380582332611084e-05,3.4628803357481956,0.0006085187196731567,,,,3.9512895345687866,65,100,0,[],9,,,
Q003,0.0,0.00021606683731079102,1.3831249848008156,8.635222911834717e-06,,,,1.8735274374485016,0,0,0,[],15,,,
Q004,0.0,1.4573335647583008e-05,1.4853381887078285,0.00010402500629425049,,,,1.98756492882967,87,127,0,[],15,,,
Q006,0.0,2.1867454051971436e-05,1.422695979475975,8.955597877502441e-06,,,,1.900704339146614,0,0,0,[],15,,,
Q008,0.0,1.5027821063995361e-05,1.4414033219218254,5.863115794956684,,,,7.823290631175041,107,165,3,"['23788646', '28155088', '35743652', '37546931', '38073491', '38554847']",15,,,
Q010,0.0,6.237626075744629e-05,1.6261619329452515,2.1763145923614502e-05,,,,2.144726514816284,92,160,0,[],12,,,
Q011,0.0,0.0015689581632614136,1.7282495573163033,4.372745752334595e-05,,,,2.2210956811904907,125,210,0,[],15,,,
Q014,0.0,2.4557113647460938e-05,1.2459163516759872,7.91996717453003e-06,,,,1.756615899503231,0,0,0,[],6,,,
Q015,0.0,1.617521047592163e-05,0.7558307200670242,0.00010922551155090332,,,,1.2731443122029305,48,61,0,[],3,,,
Q016,0.0,1.8998980522155762e-05,0.8451069742441177,5.292147397994995e-05,,,,1.3140112534165382,40,65,0,[],4,,,
Q021,0.0,3.765523433685303e-05,1.134908750653267,9.149312973022461e-06,,,,1.619811274111271,0,0,0,[],10,,,
Q025,0.0,2.4683773517608643e-05,0.7002679333090782,3.79905104637146e-05,,,,1.2178715020418167,45,76,0,[],4,,,
Q028,0.0,1.8693506717681885e-05,1.0525350645184517,4.829838782548904,,,,6.358652338385582,97,166,0,[],9,,,
Q029,0.0,4.168599843978882e-05,0.9178037717938423,4.656078465282917,,,,6.076664090156555,45,89,2,"['40681353', '42065920']",7,,,
Q037,0.0,5.264580249786377e-05,1.182924047112465,5.724112458527088,,,,7.437708459794521,60,105,3,"['25646384', '29052129', '30611768', '38064540']",11,,,
Q041,0.0,8.939951658248901e-05,1.4398995488882065,2.171844244003296e-05,,,,2.0274136438965797,75,176,0,[],10,,,
Q043,0.0,4.184246063232422e-05,1.548367291688919,1.6361474990844727e-05,,,,2.034672737121582,0,0,0,[],15,,,
Q046,0.0,2.327561378479004e-05,0.9477643594145775,1.0870397090911865e-05,,,,1.5776038318872452,0,0,0,[],7,,,
Q047,0.0,2.7589499950408936e-05,0.6455579847097397,1.103430986404419e-05,,,,1.1764776855707169,0,0,0,[],1,,,
Q050,0.0,2.46390700340271e-05,0.9420740604400635,8.177012205123901e-05,,,,1.4194183051586151,63,92,0,[],5,,,
