question_id,run_id,claim_id,path_id,verdict,reasons
Q001,formal-v1-gpt-5.6-luna-D_two_hop,HC-01,contains,unsupported,path_not_found
Q002,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
Q003,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
Q004,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
Q005,formal-v1-gpt-5.6-luna-D_two_hop,HC-01,31f26bea18c6474b,unsupported,hop_1_relation_mismatch
Q006,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
Q007,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
Q008,formal-v1-gpt-5.6-luna-D_two_hop,HC-01,b2b748d71e9ab1a9,supported,
Q008,formal-v1-gpt-5.6-luna-D_two_hop,HC-02,487e3bf1827a9d69,supported,
Q009,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
Q010,formal-v1-gpt-5.6-luna-D_two_hop,,,no_path_citation,no_path_citations_detected
