system,question_id,rank,pmid,score
netmedex_hybrid_rag,Q001,1,29904399,0.79593177
netmedex_hybrid_rag,Q001,2,27492554,0.69073327
netmedex_hybrid_rag,Q001,3,38045146,0.66512030
netmedex_hybrid_rag,Q001,4,41484919,0.66333930
netmedex_hybrid_rag,Q001,5,35292240,0.64761818
netmedex_hybrid_rag,Q001,6,29500883,0.64474723
netmedex_hybrid_rag,Q001,7,33743412,0.60898819
netmedex_hybrid_rag,Q001,8,32911026,0.57527336
netmedex_hybrid_rag,Q001,9,39588260,0.56608060
traditional_rag,Q001,1,27492554,0.69073327
traditional_rag,Q001,2,29904399,0.68604888
traditional_rag,Q001,3,38045146,0.66512030
traditional_rag,Q001,4,41484919,0.66333930
traditional_rag,Q001,5,35292240,0.64761818
traditional_rag,Q001,6,29500883,0.64474723
traditional_rag,Q001,7,33743412,0.60898819
traditional_rag,Q001,8,32911026,0.57527336
traditional_rag,Q001,9,39588260,0.56608060
netmedex_hybrid_rag,Q002,1,23605904,0.68781920
netmedex_hybrid_rag,Q002,2,23223004,0.67344396
netmedex_hybrid_rag,Q002,3,33434305,0.67283238
netmedex_hybrid_rag,Q002,4,33255179,0.66968979
netmedex_hybrid_rag,Q002,5,27904930,0.65499980
netmedex_hybrid_rag,Q002,6,34311172,0.65211147
netmedex_hybrid_rag,Q002,7,35831436,0.64787427
netmedex_hybrid_rag,Q002,8,41369394,0.64462186
netmedex_hybrid_rag,Q002,9,36835184,0.63653947
netmedex_hybrid_rag,Q002,10,35285389,0.63339694
traditional_rag,Q002,1,23605904,0.68781920
traditional_rag,Q002,2,23223004,0.67344396
traditional_rag,Q002,3,33434305,0.67283238
traditional_rag,Q002,4,33255179,0.66968979
traditional_rag,Q002,5,27904930,0.65499980
traditional_rag,Q002,6,34311172,0.65211147
traditional_rag,Q002,7,35831436,0.64787427
traditional_rag,Q002,8,41369394,0.64462186
traditional_rag,Q002,9,36835184,0.63653947
traditional_rag,Q002,10,35285389,0.63339694
netmedex_hybrid_rag,Q003,1,32437299,0.61231515
netmedex_hybrid_rag,Q003,2,12172480,0.60254379
netmedex_hybrid_rag,Q003,3,34536157,0.57038370
netmedex_hybrid_rag,Q003,4,18094066,0.55007588
netmedex_hybrid_rag,Q003,5,24003928,0.52391532
netmedex_hybrid_rag,Q003,6,17053832,0.52330605
netmedex_hybrid_rag,Q003,7,39749338,0.51462186
netmedex_hybrid_rag,Q003,8,39471690,0.50733982
netmedex_hybrid_rag,Q003,9,33439300,0.50693875
netmedex_hybrid_rag,Q003,10,37895163,0.50559572
traditional_rag,Q003,1,32437299,0.61231515
traditional_rag,Q003,2,12172480,0.60254379
traditional_rag,Q003,3,34536157,0.57038370
traditional_rag,Q003,4,18094066,0.55007588
traditional_rag,Q003,5,24003928,0.52391532
traditional_rag,Q003,6,17053832,0.52330605
traditional_rag,Q003,7,39749338,0.51462186
traditional_rag,Q003,8,39471690,0.50733982
traditional_rag,Q003,9,33439300,0.50693875
traditional_rag,Q003,10,37895163,0.50559572
netmedex_hybrid_rag,Q004,1,32519340,0.71929688
netmedex_hybrid_rag,Q004,2,38269517,0.66710747
netmedex_hybrid_rag,Q004,3,15810876,0.62837622
netmedex_hybrid_rag,Q004,4,30623450,0.59891994
netmedex_hybrid_rag,Q004,5,38699926,0.59209347
netmedex_hybrid_rag,Q004,6,31590362,0.58895066
netmedex_hybrid_rag,Q004,7,38031951,0.58784730
netmedex_hybrid_rag,Q004,8,29693253,0.56290285
netmedex_hybrid_rag,Q004,9,38166505,0.53399877
netmedex_hybrid_rag,Q004,10,30725357,0.52555235
traditional_rag,Q004,1,15810876,0.62837622
traditional_rag,Q004,2,30623450,0.59891994
