system,question_id,rank,pmid,score
netmedex_hybrid_rag,PP014,1,29302038,0.57990808
netmedex_hybrid_rag,PP014,2,35602023,0.52411054
netmedex_hybrid_rag,PP014,3,42051461,0.51779517
netmedex_hybrid_rag,PP014,4,33670115,0.48133444
netmedex_hybrid_rag,PP014,5,38218095,0.47320953
netmedex_hybrid_rag,PP014,6,30446387,0.47172549
netmedex_hybrid_rag,PP014,7,38321650,0.45789860
netmedex_hybrid_rag,PP014,8,33651651,0.45320300
netmedex_hybrid_rag,PP014,9,37224131,0.44719449
netmedex_hybrid_rag,PP014,10,36421397,0.44128799
traditional_rag,PP014,1,29302038,0.49155089
traditional_rag,PP014,2,33670115,0.48133444
traditional_rag,PP014,3,38218095,0.47320953
traditional_rag,PP014,4,30446387,0.47172549
traditional_rag,PP014,5,38321650,0.45789860
traditional_rag,PP014,6,33651651,0.45320300
traditional_rag,PP014,7,37224131,0.44719449
traditional_rag,PP014,8,36421397,0.44128799
traditional_rag,PP014,9,33074224,0.43091435
traditional_rag,PP014,10,12748652,0.42682102
netmedex_hybrid_rag,PP015,1,24548777,0.62208047
netmedex_hybrid_rag,PP015,2,23788646,0.61615052
netmedex_hybrid_rag,PP015,3,34934215,0.61195852
netmedex_hybrid_rag,PP015,4,23142604,0.59513896
netmedex_hybrid_rag,PP015,5,33201261,0.59361178
netmedex_hybrid_rag,PP015,6,35160099,0.59356222
netmedex_hybrid_rag,PP015,7,38233247,0.57236402
netmedex_hybrid_rag,PP015,8,36289287,0.57098847
netmedex_hybrid_rag,PP015,9,37003609,0.56532604
netmedex_hybrid_rag,PP015,10,34339302,0.55905746
traditional_rag,PP015,1,24548777,0.62208047
traditional_rag,PP015,2,23788646,0.61615052
traditional_rag,PP015,3,23142604,0.59513896
traditional_rag,PP015,4,33201261,0.59361178
traditional_rag,PP015,5,35160099,0.59356222
traditional_rag,PP015,6,38233247,0.57236402
traditional_rag,PP015,7,36289287,0.57098847
traditional_rag,PP015,8,37003609,0.56532604
traditional_rag,PP015,9,34339302,0.55905746
traditional_rag,PP015,10,36967909,0.55543986
netmedex_hybrid_rag,PP016,1,37546931,0.62110207
netmedex_hybrid_rag,PP016,2,36289287,0.56371481
netmedex_hybrid_rag,PP016,3,24548777,0.56210572
netmedex_hybrid_rag,PP016,4,36600119,0.54754277
netmedex_hybrid_rag,PP016,5,38554847,0.54283557
netmedex_hybrid_rag,PP016,6,35160099,0.53666470
netmedex_hybrid_rag,PP016,7,40824057,0.52693865
netmedex_hybrid_rag,PP016,8,38073491,0.52321415
netmedex_hybrid_rag,PP016,9,34339302,0.51990816
netmedex_hybrid_rag,PP016,10,30546102,0.51648033
traditional_rag,PP016,1,36289287,0.56371481
traditional_rag,PP016,2,24548777,0.56210572
traditional_rag,PP016,3,36600119,0.54754277
traditional_rag,PP016,4,38554847,0.54283557
traditional_rag,PP016,5,35160099,0.53666470
traditional_rag,PP016,6,40824057,0.52693865
traditional_rag,PP016,7,37546931,0.52531088
traditional_rag,PP016,8,38073491,0.52321415
traditional_rag,PP016,9,34339302,0.51990816
traditional_rag,PP016,10,30546102,0.51648033
netmedex_hybrid_rag,PP018,1,24646638,0.70456262
netmedex_hybrid_rag,PP018,2,25918553,0.64725488
netmedex_hybrid_rag,PP018,3,25574929,0.60904352
netmedex_hybrid_rag,PP018,4,24269668,0.58665418
netmedex_hybrid_rag,PP018,5,35883424,0.58064151
netmedex_hybrid_rag,PP018,6,26252398,0.57690196
netmedex_hybrid_rag,PP018,7,26707036,0.56524357
netmedex_hybrid_rag,PP018,8,25447398,0.55892292
netmedex_hybrid_rag,PP018,9,24976068,0.53058750
netmedex_hybrid_rag,PP018,10,25946408,0.52858082
traditional_rag,PP018,1,24646638,0.62948096
traditional_rag,PP018,2,25574929,0.60904352
traditional_rag,PP018,3,24269668,0.58665418
traditional_rag,PP018,4,26252398,0.57690196
traditional_rag,PP018,5,26707036,0.56524357
traditional_rag,PP018,6,25447398,0.55892292
traditional_rag,PP018,7,25918553,0.54131521
traditional_rag,PP018,8,24976068,0.53058750
traditional_rag,PP018,9,25946408,0.52858082
traditional_rag,PP018,10,23134607,0.52264718
