question_id,path_id,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,relevance,path_type,is_negative_control,evidence_level_1,evidence_level_2,bridge_valid,direction_verified,notes
Q001,Q001-P01,icariin,,osteogenic differentiation,promotes,,forward,undirected,29904399,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q001,Q001-P02,icariin,runt-related transcription factor 2,osteogenic differentiation,upregulates,regulates,forward,forward,29904399;38045146,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q001,Q001-P03,icariin,jmjd3,osteogenic differentiation,upregulates,correlates_with,forward,undirected,38045146,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q001,Q001-P04,icariin,mir-153,osteogenic differentiation,increases,regulates,forward,forward,29904399,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q002,Q002-P01,osteoporosis,,bone formation,associated_with,,undirected,undirected,37215980,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q002,Q002-P01,osteoporosis,osteoporosis,bone formation,associated_with,associated_with,undirected,undirected,23605904;34502371,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q002,Q002-P03,osteoporosis,osteoporosis,osteogenesis,associated_with,related_to,undirected,undirected,23605904;34502371,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q003,Q003-P01,insulin resistance,pcos,inflammation,associated_with,associated_with,undirected,undirected,33439300,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q004,Q004-P01,curcumin,,apoptosis,induces,,forward,undirected,32519340,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q005,Q005-P01,amyloid-beta,,mitochondrial toxicity,related_to,,undirected,undirected,33476985,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q005,Q005-P02,amyloid-beta,ad,mitochondrial dysfunction,causes,associated_with,forward,undirected,33476985;35522844,,two_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q006,Q006-P01,endothelial dysfunction,,atherosclerosis,associated_with,,undirected,undirected,15861315,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q006,Q006-P02,endothelial dysfunction,,inflammation,promotes,,forward,undirected,24928320,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
Q006,Q006-P04,endothelial dysfunction,,atherosclerosis,promotes,,forward,undirected,24928320,,one_hop,,,,,,Candidate surfaced by replay; adjudicate against frozen corpus before scoring.
