system,edge_id,source,target,relation_type,pmids,rater_id,biologically_meaningful,relation_type_correct,notes
netmedex_hybrid_rag,Q001-E01,icariin,runx2,upregulates,29904399;38045146,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states that icariin regulates differentiation through miR-153 targeting RUNX2, establishing a relationship, but it does not explicitly state that icariin 'upregulates' RUNX2."
netmedex_hybrid_rag,Q001-E02,icariin,osteoporosis,ameliorates,29904399;35292240,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Osteoporosis is not mentioned in the supporting titles."
netmedex_hybrid_rag,Q001-E03,icariin,mir335,regulates,32911026,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states that icariin regulates the abnormal expression of miRNA-335."
netmedex_hybrid_rag,Q001-E04,icariin,mir153,upregulates,29904399,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions icariin acts 'through microRNA-153' but does not specify that it 'upregulates' it."
netmedex_hybrid_rag,Q001-E05,icariin,kdm6b,regulates,38045146,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Jumonji domain-containing protein-3 is an alias for KDM6B, and the title states icariin acts through this axis, implying regulation."
netmedex_hybrid_rag,Q001-E06,icariin,mitf,regulates,39588260,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] MITF is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E07,icariin,mmp3,downregulates,41484919,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states icariin's effect is mediated by miR-376c-3p targeting (which typically means downregulating) Mmp3."
netmedex_hybrid_rag,Q001-E08,icariin,pten,inhibits,35292240,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PTEN is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E09,icariin,rab27a,regulates,39588260,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] RAB27A is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E10,icariin,vegfa,decreases,32911026,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] VEGFA is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E11,icariin,onfh,prevents,32911026,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly mentions icariin indicating 'prevention of steroid-induced osteonecrosis of femoral head' (ONFH)."
netmedex_hybrid_rag,Q001-E12,icariin,flavonoids,associated_with,33743412,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Flavonoids are not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E13,mir335,steroids,induces,32911026,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title mentions steroid-induced osteonecrosis and abnormal miRNA-335 expression, but does not imply miR-335 induces steroids."
netmedex_hybrid_rag,Q001-E14,runx2,mir153,upregulates,29904399,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states miR-153 targets RUNX2, not that RUNX2 upregulates miR-153."
netmedex_hybrid_rag,Q001-E15,mir153,runx2,upregulates,29904399,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states miR-153 targets RUNX2. MicroRNA targeting typically results in downregulation, making 'upregulates' incorrect."
netmedex_hybrid_rag,Q001-E16,vegfa,steroids,increases,32911026,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] VEGFA is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E17,onfh,steroids,causes,32911026,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title says 'steroid-induced osteonecrosis of femoral head', meaning steroids cause ONFH, not the reverse."
netmedex_hybrid_rag,Q001-E18,mir335,onfh,associated_with,32911026,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title associates abnormal expression of miRNA-335 with steroid-induced osteonecrosis of the femoral head (ONFH)."
netmedex_hybrid_rag,Q001-E19,onfh,mir335,associated_with,32911026,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title associates steroid-induced osteonecrosis of the femoral head (ONFH) with abnormal expression of miRNA-335."
netmedex_hybrid_rag,Q001-E20,pten,osteoporosis,associated_with,35292240,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Neither PTEN nor osteoporosis is mentioned in the supporting title."
netmedex_hybrid_rag,Q004-E01,curcumin,neoplasms,treats,15810876;29693253;30623450,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The titles explicitly mention curcumin in the context of cancer therapy and treatment, supporting the 'treats' relationship with neoplasms."
netmedex_hybrid_rag,Q004-E02,curcumin,neoplasm metastasis,inhibits,29693253;30725357;38166505,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] None of the provided titles mention metastasis, so there is no support for this specific relationship."
netmedex_hybrid_rag,Q004-E03,curcumin,inflammation,ameliorates,29693253;31590362;32519340,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] None of the provided titles mention inflammation."
