system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW003,1,26202676,0.51657231
netmedex_hybrid_rag,BW003,2,37414422,0.50576173
netmedex_hybrid_rag,BW003,3,33653893,0.50140485
netmedex_hybrid_rag,BW003,4,33634990,0.49316364
netmedex_hybrid_rag,BW003,5,21148790,0.46239940
netmedex_hybrid_rag,BW003,6,34799298,0.42504833
traditional_rag,BW003,1,26202676,0.51657231
traditional_rag,BW003,2,37414422,0.50576173
traditional_rag,BW003,3,33653893,0.50140485
traditional_rag,BW003,4,33634990,0.49316364
traditional_rag,BW003,5,21148790,0.46239940
traditional_rag,BW003,6,34799298,0.42504833
netmedex_hybrid_rag,BW005,1,41038207,0.51446842
netmedex_hybrid_rag,BW005,2,38774604,0.49747827
netmedex_hybrid_rag,BW005,3,39214097,0.49625338
netmedex_hybrid_rag,BW005,4,37359545,0.49565711
netmedex_hybrid_rag,BW005,5,34239137,0.49549532
netmedex_hybrid_rag,BW005,6,36356191,0.49377418
netmedex_hybrid_rag,BW005,7,36422998,0.45338707
traditional_rag,BW005,1,41038207,0.51446842
traditional_rag,BW005,2,38774604,0.49747827
traditional_rag,BW005,3,39214097,0.49625338
traditional_rag,BW005,4,37359545,0.49565711
traditional_rag,BW005,5,34239137,0.49549532
traditional_rag,BW005,6,36356191,0.49377418
traditional_rag,BW005,7,36422998,0.45338707
netmedex_hybrid_rag,BW007,1,40418230,0.60701417
netmedex_hybrid_rag,BW007,2,40660002,0.59450134
netmedex_hybrid_rag,BW007,3,39180980,0.58631868
netmedex_hybrid_rag,BW007,4,41296931,0.58270162
netmedex_hybrid_rag,BW007,5,39088352,0.57971855
netmedex_hybrid_rag,BW007,6,32246301,0.55714406
netmedex_hybrid_rag,BW007,7,40049100,0.55584444
netmedex_hybrid_rag,BW007,8,38583577,0.53355899
netmedex_hybrid_rag,BW007,9,17581829,0.53106436
netmedex_hybrid_rag,BW007,10,36978029,0.52796608
traditional_rag,BW007,1,40418230,0.60701417
traditional_rag,BW007,2,40660002,0.59450134
traditional_rag,BW007,3,39180980,0.58631868
traditional_rag,BW007,4,41296931,0.58270162
traditional_rag,BW007,5,39088352,0.57971855
traditional_rag,BW007,6,32246301,0.55714406
traditional_rag,BW007,7,40049100,0.55584444
traditional_rag,BW007,8,38583577,0.53355899
traditional_rag,BW007,9,17581829,0.53106436
traditional_rag,BW007,10,36978029,0.52796608
netmedex_hybrid_rag,BW009,1,34195526,0.36771590
netmedex_hybrid_rag,BW009,2,35962863,0.36456211
netmedex_hybrid_rag,BW009,3,41122918,0.35058307
netmedex_hybrid_rag,BW009,4,37273240,0.34864619
netmedex_hybrid_rag,BW009,5,25812364,0.34862733
netmedex_hybrid_rag,BW009,6,38453269,0.34668332
netmedex_hybrid_rag,BW009,7,40578033,0.34610027
netmedex_hybrid_rag,BW009,8,30401006,0.34141362
netmedex_hybrid_rag,BW009,9,40767292,0.33534655
netmedex_hybrid_rag,BW009,10,38757723,0.33525294
traditional_rag,BW009,1,34195526,0.36771590
traditional_rag,BW009,2,35962863,0.36456211
traditional_rag,BW009,3,41122918,0.35058307
traditional_rag,BW009,4,37273240,0.34864619
traditional_rag,BW009,5,25812364,0.34862733
traditional_rag,BW009,6,38453269,0.34668332
traditional_rag,BW009,7,40578033,0.34610027
traditional_rag,BW009,8,30401006,0.34141362
traditional_rag,BW009,9,40767292,0.33534655
traditional_rag,BW009,10,38757723,0.33525294
netmedex_hybrid_rag,BW010,1,28847904,0.70578560
netmedex_hybrid_rag,BW010,2,40275534,0.64811839
netmedex_hybrid_rag,BW010,3,30446387,0.57598106
netmedex_hybrid_rag,BW010,4,29302038,0.56644060
netmedex_hybrid_rag,BW010,5,36196151,0.53711921
netmedex_hybrid_rag,BW010,6,34886561,0.51335882
netmedex_hybrid_rag,BW010,7,34140089,0.50828246
netmedex_hybrid_rag,BW010,8,38321650,0.50622727
netmedex_hybrid_rag,BW010,9,35430804,0.47793668
netmedex_hybrid_rag,BW010,10,35950704,0.47503135
traditional_rag,BW010,1,28847904,0.70578560
traditional_rag,BW010,2,40275534,0.64811839
traditional_rag,BW010,3,30446387,0.57598106
traditional_rag,BW010,4,29302038,0.56644060
traditional_rag,BW010,5,36196151,0.53711921
traditional_rag,BW010,6,34886561,0.51335882
traditional_rag,BW010,7,34140089,0.50828246
traditional_rag,BW010,8,38321650,0.50622727
traditional_rag,BW010,9,35430804,0.47793668
traditional_rag,BW010,10,35950704,0.47503135
