question_id,run_id,claim_id,path_id,verdict,reasons
PP001,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP002,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP003,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP004,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP005,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP006,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP007,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP008,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP009,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP010,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP011,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP012,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP013,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP014,formal-v1-gpt-oss:120b-F_adaptive,HC-01,fa3452511ed7b713,supported,
PP015,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP016,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP017,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
PP018,formal-v1-gpt-oss:120b-F_adaptive,HC-01,5392416d32ad795a,supported,
PP018,formal-v1-gpt-oss:120b-F_adaptive,HC-02,5724030babeb80f1,supported,
PP018,formal-v1-gpt-oss:120b-F_adaptive,HC-03,67837b72691d2015,supported,
PP018,formal-v1-gpt-oss:120b-F_adaptive,HC-04,c4ebea7d11d6a3b9,supported,
PP019,formal-v1-gpt-oss:120b-F_adaptive,HC-01,67837b72691d2015,supported,
PP019,formal-v1-gpt-oss:120b-F_adaptive,HC-02,5392416d32ad795a,supported,
PP019,formal-v1-gpt-oss:120b-F_adaptive,HC-03,c4ebea7d11d6a3b9,supported,
PP019,formal-v1-gpt-oss:120b-F_adaptive,HC-04,5724030babeb80f1,supported,
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-01,5392416d32ad795a,supported,
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-02,67837b72691d2015,supported,
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-03,c4ebea7d11d6a3b9,supported,
PP020,formal-v1-gpt-oss:120b-F_adaptive,HC-04,5724030babeb80f1,supported,
