system,edge_id,source,target,relation_type,pmids,rater_id,biologically_meaningful,relation_type_correct,notes
netmedex_hybrid_rag,Q001-E01,icariin,runx2,upregulates,29904399;38045146,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states icariin regulates osteoblast differentiation through miR-153 by targeting Runx2. Since Runx2 is a key driver of osteoblast differentiation, it is implied that icariin ultimately upregulates or positively regulates Runx2 activity."
netmedex_hybrid_rag,Q001-E02,icariin,osteoporosis,ameliorates,29904399;35292240,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Osteoporosis is not mentioned in the provided supporting titles, making this edge unsupported by the text."
netmedex_hybrid_rag,Q001-E03,icariin,0409,associated_with,29904399;38045146,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The target '0409' is a meaningless extraction artifact (likely a parsing error from mmu_circ_0000349) and is not a valid biological entity."
netmedex_hybrid_rag,Q001-E04,icariin,mir335,regulates,32911026,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title explicitly states that icariin works by 'regulating abnormal expression of miRNA-335'."
netmedex_hybrid_rag,Q001-E05,icariin,kdm6b,upregulates,38045146,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Jumonji domain-containing protein-3 is KDM6B. The title states icariin promotes osteogenic differentiation through this axis, implying it upregulates or positively mediates KDM6B."
netmedex_hybrid_rag,Q001-E06,icariin,mitf,regulates,39588260,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] MITF is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E07,icariin,mir153,upregulates,29904399,gemini-3.1-pro-preview,1,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] While icariin regulates miR-153, 'upregulates' is likely incorrect. Since miR-153 targets Runx2 (which is needed for osteoblast differentiation), icariin would need to downregulate miR-153 to promote differentiation."
netmedex_hybrid_rag,Q001-E08,icariin,mmp3,downregulates,41484919,gemini-3.1-pro-preview,1,1,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] The title states that icariin's effect is mediated by targeting (which typically means inhibiting/downregulating) Mmp3."
netmedex_hybrid_rag,Q001-E09,icariin,pten,inhibits,35292240,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] PTEN is not mentioned in the supporting title."
netmedex_hybrid_rag,Q001-E10,icariin,rab27a,regulates,39588260,gemini-3.1-pro-preview,0,0,"[AI-GENERATED RATING -- Gemini 3.1 Pro. Blinded graph-edge quality pass, not a human expert review.] Rab27a is not mentioned in the supporting title."
