question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.6994774341583252e-05,3.439552053809166,2.0459294319152832e-05,,33.98995091766119,,37.94963240623474,0,0,0,[],9,4590,1200,5790
PP002,0.0,4.22745943069458e-05,1.8869897276163101,1.245737075805664e-05,,28.74304011464119,,31.130230218172073,0,0,0,[],15,3626,1035,4661
PP003,0.0,3.512948751449585e-05,1.7575248703360558,7.487833499908447e-06,,30.40400379151106,,32.655529633164406,0,0,0,[],15,3326,1115,4441
PP004,0.0,2.2172927856445312e-05,1.7184543311595917,2.33575701713562e-05,,27.601603515446186,,29.790246807038784,0,0,0,[],15,3137,1009,4146
PP005,0.0,5.093961954116821e-05,1.5644735023379326,7.361173629760742e-06,,29.703490398824215,,31.780509993433952,0,0,0,[],15,3955,1070,5025
PP006,0.0,2.2485852241516113e-05,1.3324916809797287,1.3597309589385986e-05,,27.878486074507236,,29.708613209426403,0,0,0,[],9,4596,965,5561
PP007,0.0,3.428757190704346e-05,1.7775747552514076,1.8209218978881836e-05,,25.704732552170753,,27.95706706494093,0,0,0,[],15,3773,908,4681
PP008,0.0,5.523860454559326e-05,2.3619370982050896,1.6391277313232422e-05,,29.77886823564768,,32.66241353005171,0,0,0,[],26,3967,1065,5032
PP009,0.0,2.7276575565338135e-05,1.9704443141818047,8.903443813323975e-06,,33.5645866766572,,36.11845776438713,0,0,0,[],15,4544,1193,5737
PP010,0.0,2.180039882659912e-05,2.059558391571045,1.786649227142334e-05,,33.64695133268833,,36.230453595519066,0,0,0,[],15,4501,1200,5701
PP011,0.0,4.26173210144043e-05,1.5677390396595001,1.0982155799865723e-05,,32.81813579797745,,34.88461787998676,0,0,0,[],11,3592,1200,4792
PP012,0.0,3.387033939361572e-05,1.525427483022213,6.102025508880615e-06,,32.89282389730215,,34.90430460870266,0,0,0,[],11,3594,1200,4794
PP013,0.0,2.8289854526519775e-05,1.6168222650885582,1.6868114471435547e-05,,35.50994247198105,,37.616873890161514,0,0,0,[],11,3586,1200,4786
PP014,0.0,4.3198466300964355e-05,2.382836490869522,1.1868774890899658e-05,,33.12490164488554,,36.04885143041611,0,0,0,[],26,3880,1200,5080
PP015,0.0,3.2357871532440186e-05,3.62243215739727,8.784234523773193e-06,,30.306228443980217,,34.602576695382595,0,0,0,[],39,2713,1133,3846
PP016,0.0,1.9848346710205078e-05,3.6452919468283653,1.5266239643096924e-05,,33.219541162252426,,37.567743085324764,0,0,0,[],39,4104,1200,5304
PP017,0.0,4.035234451293945e-05,2.0109340995550156,1.1280179023742676e-05,,33.187059462070465,,35.89527905732393,0,0,0,[],15,3905,1200,5105
PP018,0.0,1.9215047359466553e-05,3.127047397196293,1.57281756401062e-05,,33.02150900661945,,36.84231621026993,0,0,0,[],42,3849,1200,5049
PP019,0.0,4.79966402053833e-05,3.418238691985607,1.911073923110962e-05,,31.80128175765276,,35.76825239509344,0,0,0,[],42,3306,1171,4477
PP020,0.0,3.09869647026062e-05,3.869850367307663,3.451108932495117e-05,,33.04119514673948,,37.59160193055868,0,0,0,[],42,3853,1200,5053
