question_id,domain,question,edge_id,source,target,relation_type,supporting_titles,pmids,min_hop_count,max_path_score,rater_id,biologically_meaningful,relation_type_correct,notes
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E01,icariin,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,29904399;38045146,1,0.8,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E02,icariin,osteoporosis,ameliorates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,29904399;35292240,1,0.8,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E03,icariin,mir335,regulates,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.615,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E04,icariin,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,1,0.613,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E05,icariin,kdm6b,regulates,Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,38045146,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E06,icariin,mitf,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E07,icariin,mmp3,downregulates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,41484919,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E08,icariin,pten,inhibits,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,35292240,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E09,icariin,rab27a,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,39588260,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E10,icariin,vegfa,decreases,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E11,icariin,onfh,prevents,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,1,0.607,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E12,icariin,flavonoids,associated_with,Icariin stimulates osteogenesis and suppresses adipogenesis of human bone mesenchymal stem cells via miR-23a-mediated activation of the Wnt/beta-catenin signaling pathway.,33743412,1,0.512,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E13,mir335,steroids,induces,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.492,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E14,runx2,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,2,0.49,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E15,mir153,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,29904399,2,0.49,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E16,vegfa,steroids,increases,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.474,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E17,onfh,steroids,causes,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.458,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E18,mir335,onfh,associated_with,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.454,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E19,onfh,mir335,associated_with,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,32911026,2,0.454,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E20,pten,osteoporosis,associated_with,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,35292240,2,0.442,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E01,curcumin,neoplasms,treats,Induction of apoptosis by curcumin and its implications for cancer therapy.; The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.; Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,15810876;29693253;30623450,1,0.872,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E02,curcumin,neoplasm metastasis,inhibits,The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.; Curcumin and Gastric Cancer: a Review on Mechanisms of Action.; Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,29693253;30725357;38166505,1,0.739,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E03,curcumin,inflammation,ameliorates,The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.; Curcumin and Cancer.; Versatile role of curcumin and its derivatives in lung cancer therapy.,29693253;31590362;32519340,1,0.666,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E04,curcumin,nfkb1,inhibits,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.; Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,30623450;41109942,1,0.593,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E05,curcumin,polyphenols,associated_with,Curcumin and Cancer.; Curcumin and its anti-colorectal cancer potential: From mechanisms of action to autophagy.; Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,31590362;38699926;41109942,1,0.562,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E06,curcumin,nfe2l2,regulates,Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,38166505,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E07,curcumin,akt1,regulates,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E08,curcumin,mtor,regulates,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E09,curcumin,cox2,inhibits,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,30623450,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E10,curcumin,pik3cb,regulates,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E11,curcumin,gpx4,regulates,Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,38166505,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E12,curcumin,tp53,upregulates,Mechanisms of apoptosis modulation by curcumin: Implications for cancer therapy.,30623450,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E13,curcumin,breast neoplasms,treats,Targeting STAT3 signaling pathway by curcumin and its analogues for breast cancer: A narrative review.,39219410,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E14,curcumin,lung neoplasms,treats,Versatile role of curcumin and its derivatives in lung cancer therapy.,32519340,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E15,curcumin,prostatic neoplasms,treats,Curcumin in prostate cancer: a systematic review of molecular mechanisms and nanoformulated therapeutic strategies.,41109942,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E16,curcumin,osteosarcoma,treats,Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,38166505,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E17,curcumin,stomach neoplasms,treats,Curcumin and Gastric Cancer: a Review on Mechanisms of Action.,30725357,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E18,curcumin,carcinogenesis,inhibits,The versatile role of curcumin in cancer prevention and treatment: A focus on PI3K/AKT pathway.,29693253,1,0.519,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E19,curcumin,liproxstatin-1,blocks,Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,38166505,1,0.476,,,,
Q004,cancer,Which genes mediate a possible 2-hop path between curcumin and apoptosis?,Q004-E20,curcumin,bardoxolone methyl,blocks,Curcumin induces ferroptosis and apoptosis in osteosarcoma cells by regulating Nrf2/GPX4 signaling pathway.,38166505,1,0.476,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E01,inflammation,cystic fibrosis,associated_with,"The cystic fibrosis intestine.; Defective CFTR- beta-catenin interaction promotes NF-kappaB nuclear translocation and intestinal inflammation in cystic fibrosis.; The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.",23788646;27588407;28155088,1,0.796,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E02,cftr,cystic fibrosis,causes,Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Fecal dysbiosis and inflammation in intestinal-specific Cftr knockout mice on regimens preventing intestinal obstruction.; Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,37546931;38073491;38554847,1,0.608,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E03,inflammation,dysbiosis,associated_with,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.",28155088;37546931;38554847,1,0.587,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E04,cftr,inflammation,causes,Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,37546931;38554847,1,0.555,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E05,cftr,dysbiosis,causes,Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,37546931;38554847,1,0.555,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E06,inflammation,cftr,causes,"Intestinal Inflammation and Alterations in the Gut Microbiota in Cystic Fibrosis: A Review of the Current Evidence, Pathophysiology and Future Directions.; Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.",35160099;37546931;38554847,1,0.555,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E07,cftr,bicarbonates,regulates,Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,38554847,1,0.502,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E08,cftr,chlorine,regulates,Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,38554847,1,0.502,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E09,cftr,neoplasms,suppresses,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.",28155088,1,0.502,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E10,cftr,cholangiopathy,causes,Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,38554847,1,0.502,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E11,inflammation,lipopolysaccharides,induces,Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.,38554847,1,0.481,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E12,inflammation,gastrointestinal neoplasms,contributes_to,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.",28155088,1,0.457,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E13,cystic fibrosis,cftr,causes,"The cystic fibrosis intestine.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.; Cystic Fibrosis, CFTR, and Colorectal Cancer.; Fecal Dysbiosis and Inflammation in Intestinal-Specific Cftr Knockout Mice on Regimens Preventing Intestinal Obstruction.; Fecal dysbiosis and inflammation in intestinal-specific Cftr knockout mice on regimens preventing intestinal obstruction.; Prominent role of gut dysbiosis in the pathogenesis of cystic fibrosis-related liver disease in mice.",23788646;30546102;32326161;37546931;38073491;38554847,2,0.604,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E14,cystic fibrosis,dysbiosis,associated_with,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.; Cystic Fibrosis, CFTR, and Colorectal Cancer.",28155088;30546102;32326161,2,0.591,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E15,cystic fibrosis,inflammation,associated_with,"The cystic fibrosis intestine.; Defective CFTR- beta-catenin interaction promotes NF-kappaB nuclear translocation and intestinal inflammation in cystic fibrosis.; The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.",23788646;27588407;28155088,2,0.487,,,,
Q008,rare disease,What candidate mechanisms connect CFTR variants to intestinal inflammation?,Q008-E16,dysbiosis,cystic fibrosis,associated_with,"The Enigmatic Gut in Cystic Fibrosis: Linking Inflammation, Dysbiosis, and the Increased Risk of Malignancy.; Impact of CFTR modulation with Ivacaftor on Gut Microbiota and Intestinal Inflammation.; Cystic Fibrosis, CFTR, and Colorectal Cancer.",28155088;30546102;32326161,2,0.47,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E01,metformin,diabetes mellitus type 2,treats,Metformin and cancer: Between the bioenergetic disturbances and the antifolate activity.; Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; Metformin suppresses the esophageal carcinogenesis in rats treated with NMBzA through inhibiting AMPK/mTOR signaling pathway.,26277279;29662316;30445633,1,0.87,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E02,metformin,prkaa1,activates,Metformin induces apoptosis through AMPK-dependent inhibition of UPR signaling in ALL lymphoblasts.; Glioblastoma stem cells: a new target for metformin and arsenic trioxide.; Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.,24009772;24750786;29662316,1,0.785,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E03,metformin,neoplasms,treats,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Metformin in selected malignancies in women.,29662316;34062070;35072253,1,0.7,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E04,metformin,mtor,suppresses,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; Metformin in selected malignancies in women.,29662316;35072253,1,0.615,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E05,metformin,hif1a,suppresses,Metformin inhibits proliferation and cytotoxicity and induces apoptosis via AMPK pathway in CD19-chimeric antigen receptor-modified T cells.; Metformin in selected malignancies in women.,29662316;35072253,1,0.615,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E06,metformin,prkaa2,activates,The role of AMPK/mTOR signaling pathway in anticancer activity of metformin.; Combination of mTOR inhibitor PP242 and AMPK activator metformin exerts enhanced inhibitory effects on colorectal carcinoma cells in vitro by blocking multiple kinase pathways.,34062070;35731713,1,0.615,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E07,metformin,akt1,inhibits,Combination of mTOR inhibitor PP242 and AMPK activator metformin exerts enhanced inhibitory effects on colorectal carcinoma cells in vitro by blocking multiple kinase pathways.,35731713,1,0.53,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E08,metformin,bile duct neoplasms,inhibits,Metformin Induces Apoptosis and Inhibits Proliferation through the AMP-Activated Protein Kinase and Insulin-like Growth Factor 1 Receptor Pathways in the Bile Duct Cancer Cells.,31205529,1,0.53,,,,
Q011,oncology,What evidence links metformin to AMPK-mediated inhibition of mTOR signaling in cancer cells?,Q011-E09,metformin,diabetes mellitus,treats,Metformin transiently inhibits colorectal cancer cell proliferation as a result of either AMPK activation or increased ROS production.,29167573,1,0.53,,,,
