hypothesis_id,question_id,system,judge_count,novelty,novelty_mean,novelty_unanimous,plausibility,plausibility_mean,plausibility_unanimous,testability,testability_mean,testability_unanimous,research_value,research_value_mean,research_value_unanimous
Q001-A,Q001,netmedex_hybrid_rag,2,3,3.5,0,4,4.5,0,4,4.5,0,4,4,1
Q001-B,Q001,traditional_rag,2,3,3.5,0,4,4.5,0,4,4.5,0,4,4,1
Q004-A,Q004,traditional_rag,2,2,2.5,0,4,4.5,0,5,5,1,3,3,1
Q004-B,Q004,netmedex_hybrid_rag,2,2,2.5,0,5,5,1,5,5,1,3,3.5,0
Q008-A,Q008,traditional_rag,2,4,4,1,5,5,1,4,4.5,0,5,5,1
Q008-B,Q008,netmedex_hybrid_rag,2,4,4,1,5,5,1,5,5,1,5,5,1
Q011-A,Q011,traditional_rag,2,2,2,0,5,5,1,5,5,1,3,3,0
Q011-B,Q011,netmedex_hybrid_rag,2,3,3,0,5,5,1,5,5,1,4,4,0
Q015-A,Q015,netmedex_hybrid_rag,2,2,2.5,0,5,5,1,4,4.5,0,3,3.5,0
Q015-B,Q015,traditional_rag,2,3,3,0,4,4.5,0,4,4.5,0,3,3.5,0
Q016-A,Q016,netmedex_hybrid_rag,2,4,4,1,4,4.5,0,5,5,1,5,5,1
Q016-B,Q016,traditional_rag,2,3,3,1,4,4.5,0,4,4,1,4,4,1
Q018-A,Q018,traditional_rag,2,4,4,1,5,5,1,4,4.5,0,5,5,1
Q018-B,Q018,netmedex_hybrid_rag,2,4,4,1,5,5,1,5,5,1,5,5,1
Q022-A,Q022,netmedex_hybrid_rag,2,2,2,1,4,4.5,0,4,4,0,3,3,1
Q022-B,Q022,traditional_rag,2,2,2,1,4,4.5,0,4,4.5,0,3,3.5,0
Q023-A,Q023,netmedex_hybrid_rag,2,3,3,0,5,5,1,5,5,1,4,4.5,0
Q023-B,Q023,traditional_rag,2,3,3,0,5,5,1,5,5,1,4,4.5,0
Q025-A,Q025,traditional_rag,2,3,3.5,0,5,5,1,5,5,1,4,4,1
Q025-B,Q025,netmedex_hybrid_rag,2,3,3.5,0,5,5,1,5,5,1,5,5,1
Q028-A,Q028,traditional_rag,2,1,1.5,0,4,4.5,0,5,5,1,3,3,0
Q028-B,Q028,netmedex_hybrid_rag,2,1,1.5,0,4,4.5,0,4,4.5,0,2,2.5,0
Q029-A,Q029,netmedex_hybrid_rag,2,4,4,1,4,4.5,0,5,5,1,5,5,1
Q029-B,Q029,traditional_rag,2,2,2.5,0,4,4.5,0,3,3.5,0,3,3.5,0
Q031-A,Q031,traditional_rag,2,3,3,0,5,5,1,4,4,1,3,3.5,0
Q031-B,Q031,netmedex_hybrid_rag,2,3,3.5,0,5,5,1,4,4.5,0,4,4,1
Q034-A,Q034,netmedex_hybrid_rag,2,3,3,0,5,5,1,4,4,1,4,4,1
Q034-B,Q034,traditional_rag,2,3,3.5,0,5,5,1,5,5,1,5,5,1
Q035-A,Q035,traditional_rag,2,3,3,1,5,5,1,5,5,1,4,4,1
Q035-B,Q035,netmedex_hybrid_rag,2,4,4,1,4,4.5,0,4,4.5,0,4,4,1
Q037-A,Q037,traditional_rag,2,3,3,0,5,5,1,4,4.5,0,4,4.5,0
Q037-B,Q037,netmedex_hybrid_rag,2,3,3,0,5,5,1,4,4.5,0,4,4.5,0
Q040-A,Q040,traditional_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0
Q040-B,Q040,netmedex_hybrid_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0
Q048-A,Q048,traditional_rag,2,2,2.5,0,3,3,1,5,5,1,3,3,0
Q048-B,Q048,netmedex_hybrid_rag,2,2,2.5,0,3,3,1,5,5,1,3,3,0
Q050-A,Q050,netmedex_hybrid_rag,2,4,4,1,5,5,1,5,5,1,4,4.5,0
Q050-B,Q050,traditional_rag,2,4,4,1,4,4.5,0,4,4.5,0,4,4,1
