system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW008,1,23981576,0.58178703
netmedex_hybrid_rag,BW008,2,38962270,0.54818451
netmedex_hybrid_rag,BW008,3,39633459,0.54681775
netmedex_hybrid_rag,BW008,4,37879404,0.52297315
netmedex_hybrid_rag,BW008,5,28928275,0.52268431
netmedex_hybrid_rag,BW008,6,36519342,0.51773391
netmedex_hybrid_rag,BW008,7,41443982,0.50419989
netmedex_hybrid_rag,BW008,8,40928246,0.49845753
netmedex_hybrid_rag,BW008,9,34842182,0.49426475
netmedex_hybrid_rag,BW008,10,38311121,0.48448647
traditional_rag,BW008,1,23981576,0.58178703
traditional_rag,BW008,2,38962270,0.54818451
traditional_rag,BW008,3,39633459,0.54681775
traditional_rag,BW008,4,37879404,0.52297315
traditional_rag,BW008,5,28928275,0.52268431
traditional_rag,BW008,6,36519342,0.51773391
traditional_rag,BW008,7,41443982,0.50419989
traditional_rag,BW008,8,40928246,0.49845753
traditional_rag,BW008,9,34842182,0.49426475
traditional_rag,BW008,10,38311121,0.48448647
