question_id,run_id,claim_id,path_id,verdict,reasons
Q001,formal-v1-gpt-oss:120b-F_adaptive,HC-01,726c66af94dc377a,supported,
Q001,formal-v1-gpt-oss:120b-F_adaptive,HC-02,90b8236c9fc91254,supported,
Q003,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q004,formal-v1-gpt-oss:120b-F_adaptive,HC-01,365a23ddd1189115,supported,
Q006,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q008,formal-v1-gpt-oss:120b-F_adaptive,HC-01,3a03360fb323a847,supported,
Q008,formal-v1-gpt-oss:120b-F_adaptive,HC-02,daf58598d61d93bf,supported,
Q008,formal-v1-gpt-oss:120b-F_adaptive,HC-03,26bbe024eeb0b798,supported,
Q010,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q011,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q014,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q015,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q016,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q021,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q025,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q028,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q029,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q037,formal-v1-gpt-oss:120b-F_adaptive,HC-01,c37d8f7746362201,supported,
Q041,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q043,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q046,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q047,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
Q050,formal-v1-gpt-oss:120b-F_adaptive,,,no_path_citation,no_path_citations_detected
