system,arm,question_id,run_id,path_rank,path_id,path_signature,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,score,hop_count,path_text
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP001,formal-v1-gpt-oss:120b-F_adaptive,1,PP001-P01,90b8236c9fc91254,icariin,,osteogenic differentiation,promotes,,forward,undirected,38045146,1.0230,1,icariin ->[promotes] osteogenic differentiation
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP002,formal-v1-gpt-oss:120b-F_adaptive,1,PP002-P01,a48c9071e59e7e2d,curcumin,,apoptosis,induces,,forward,undirected,15810876,1.0290,1,curcumin ->[induces] apoptosis
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP003,formal-v1-gpt-oss:120b-F_adaptive,1,PP003-P01,31f26bea18c6474b,amyloid-beta,,mitochondrial toxicity,related_to,,undirected,undirected,33476985,0.7590,1,amyloid-beta --[related_to] mitochondrial toxicity
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP004,formal-v1-gpt-oss:120b-F_adaptive,1,PP004-P01,decd42689d2018ff,il-17,,autoimmune disease,promotes,,forward,undirected,27576555,1.0850,1,il-17 ->[promotes] autoimmune disease
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP005,formal-v1-gpt-oss:120b-F_adaptive,1,PP005-P01,6b5618526adbdfc6,metformin,,malignancy,associated_with,,undirected,undirected,26277279,0.8850,1,metformin --[associated_with] malignancy
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP006,formal-v1-gpt-oss:120b-F_adaptive,1,PP006-P01,726c66af94dc377a,icariin,ti,osteogenic differentiation,blocks,inhibits,forward,forward,29500883,0.6410,2,icariin ->[blocks] ti | ti ->[inhibits] osteogenic differentiation
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP007,formal-v1-gpt-oss:120b-F_adaptive,1,PP007-P01,365a23ddd1189115,curcumin,p53,apoptosis,upregulates,increases,forward,forward,30623450,0.6210,2,curcumin ->[upregulates] p53 | p53 ->[increases] apoptosis
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP008,formal-v1-gpt-oss:120b-F_adaptive,1,PP008-P01,6c6fb0bc25292607,dysbiosis,serotonin,bone diseases,decreases,treats,forward,forward,21320797;38474387,0.7300,2,dysbiosis ->[decreases] serotonin | serotonin ->[treats] bone diseases
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP009,formal-v1-gpt-oss:120b-F_adaptive,1,PP009-P01,08b1ba895a663928,cystic fibrosis transmembrane regulator protein,inflammation,intestinal inflammation,causes,associated_with,forward,undirected,23788646;28155088;37546931,0.5020,4,cystic fibrosis transmembrane regulator protein ->[causes] inflammation | inflammation --[associated_with] cf | cf ->[causes] cftr | cftr ->[induces] intestinal inflammation
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP010,formal-v1-gpt-oss:120b-F_adaptive,1,PP010-P01,3a03360fb323a847,cftr,dysbiosis,inflammation,induces,associated_with,forward,undirected,37546931;38554847,0.7340,2,cftr ->[induces] dysbiosis | dysbiosis --[associated_with] inflammation
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP011,formal-v1-gpt-oss:120b-F_adaptive,1,PP011-P01,499767e1e1703963,chronic hepatitis b virus (hbv) infection,liver fibrosis,hcc,leads_to,associated_with,forward,undirected,20485626;25646384;29052129;38064540,0.4740,4,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP012,formal-v1-gpt-oss:120b-F_adaptive,1,PP012-P01,904d67f239f8cb5b,chronic hepatitis b virus (hbv) infection,liver fibrosis,hepatocellular carcinoma,leads_to,associated_with,forward,undirected,29052129;30611768;38064540,0.4860,4,chronic hepatitis b virus (hbv) infection ->[leads_to] liver fibrosis | liver fibrosis --[associated_with] hbv | hbv ->[causes] hbv infection | hbv infection ->[causes] hepatocellular carcinoma
netmedex_hybrid_rag,H_evidence_gated_four_hop,PP013,formal-v1-gpt-oss:120b-F_adaptive,1,PP013-P01,c37d8f7746362201,chronic hepatitis b virus (hbv) infection,chronic liver inflammation,hcc,causes,promotes,forward,forward,20485626;29052129,0.6730,2,chronic hepatitis b virus (hbv) infection ->[causes] chronic liver inflammation | chronic liver inflammation ->[promotes] hcc
