question_id,domain,question,edge_id,source,target,relation_type,supporting_titles,supporting_abstracts,evidence_quotes,pmids,min_hop_count,max_path_score,rater_id,biologically_meaningful,relation_type_correct,notes,entity_valid,relation_exists,direction_correct,evidence_support,confidence,preferred_answer_id,preferred_hypothesis_id,pairwise_reason
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E01,icariin,runx2,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,"PMID 29904399: Osteoporosis has become one of the most serious public health problems. Icariin, miR-153 and Runt-related transcription factor 2 (Runx2) have been demonstrated to regulate cell proliferation and differentiation in multiple cells. The aim of the present experiments was to investigate the potential mechanism underlying osteoblast differentiation and cell proliferation of MC3T3-E1 cells treated with icariin. Cell Counting kit-8, alkaline phosphatase (ALP) activity and alizarin red S assays, as well as reverse transcription-quantitative polymerase chain reaction and western blot analysis, were performed to examine whether icariin promoted osteoblast differentiation and cell proliferation in MC3T3-E1 cells. Subsequently, miR-153 target and pathway prediction, and functional analysis were assessed. The results demonstrated that icariin promoted proliferation, mineral content and ALP activity in MC3T3-E1 cells. In addition, miR-153 and Runx2 expression levels were increased following treatment with icariin. Luciferase assay revealed that miR-153 significantly upregulate the luciferase activity of wild-type (Wt) Runx2 3'-untranslated region. Furthermore, the group treated with a combination of miR-153 mimics and icariin exhibited a significantly higher expression of Runx2 in comparison with the miR-153 mimic-treated alone group. Finally, icariin reversed the potential effect of miR-153 inhibitor in MC3T3-E1 cells. In conclusion, icariin exerted a strong osteoblast differentiation effect in MC3T3-E1 cells through the miR-153/Runx2 pathway. The current study provided evidence suggesting that icariin should be considered as an effective candidate for the management of osteoporosis.

PMID 38045146: Circular RNAs (circRNAs) regulate Jumonji domain-containing protein-3 (JMJD3) by sponging with microRNAs (miRNAs). This study aimed to investigate the role of icariin on specific circRNA/miRNA/JMJD3 axis in osteogenic differentiation of MC3T3-E1 cells. CircRNA sequencing was performed on the MC3T3-E1 cells induced by osteogenic differentiation medium for 1 d (negative control (NC) group) and 14 d (osteogenesis group). And mmu_circ_0000349 was verified using Sanger sequencing, ribonuclease R degradation, and actinomycin D assay. The function of mmu_circ_0000349 was validated by detecting the expressions of osteogenic differentiation markers, alkaline phosphatase (ALP), and runt-related transcription (RUNX2), via real-time quantitative PCR (qPCR) and Western blotting or ALP and alizarin red staining assay. Dual luciferase reporter gene assay confirmed the relationship between mmu_circ_0000349 and mmu-miR-138-5p (or mmu-miR-138-5p and JMJD3). Meanwhile, the JMJD3 binding to mmu_circ_0000349 was screened using an RNA pull-down assay. qPCR and Western blotting confirmed the effect of icariin on the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 axis and osteogenic differentiation. As MC3T3-E1 osteogenic differentiation progressed, the JMJD3 expression level increased. A total of 361 circRNAs exhibited differences between the NC and osteogenesis groups. After validation, mmu_circ_0000349 was further analyzed as it exhibited the largest expression. And mmu_circ_0000349 was identified as a stable circular structure. Overexpression of mmu_circ_0000349 increased the expression levels of ALP and RUNX2, enhanced ALP activity, and increased the number of mineralized nodules; contrarily, inhibition of mmu_circ_0000349 exerted opposite effects. The data also confirmed that mmu_circ_0000349 regulated JMJD3 by sponging with mmu-miR-138-5p. With the increase in icariin concentration and time for treatment, the expression levels of mmu_circ_0000349, JMJD3, ALP, and RUNX2 also increased, whereas that of mmu-miR-138-5p decreased. In conclusion, Icariin promoted osteogenic differentiation by regulating the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 pathway. Therefore, this provides a theoretical basis for the treatment of diseases related to osteogenic differentiation.",,29904399;38045146,1,0.817,openai:gpt-4.1,,1,"Both abstracts (PMID 29904399, 38045146) provide direct evidence that icariin upregulates RUNX2 expression in osteoblasts via miRNA-related mechanisms (miR-153 and mmu-miR-138-5p pathways). The direction and relation type are correct and well-supported.",1,1,1,1,3,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E02,icariin,osteoporosis,ameliorates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,"PMID 29904399: Osteoporosis has become one of the most serious public health problems. Icariin, miR-153 and Runt-related transcription factor 2 (Runx2) have been demonstrated to regulate cell proliferation and differentiation in multiple cells. The aim of the present experiments was to investigate the potential mechanism underlying osteoblast differentiation and cell proliferation of MC3T3-E1 cells treated with icariin. Cell Counting kit-8, alkaline phosphatase (ALP) activity and alizarin red S assays, as well as reverse transcription-quantitative polymerase chain reaction and western blot analysis, were performed to examine whether icariin promoted osteoblast differentiation and cell proliferation in MC3T3-E1 cells. Subsequently, miR-153 target and pathway prediction, and functional analysis were assessed. The results demonstrated that icariin promoted proliferation, mineral content and ALP activity in MC3T3-E1 cells. In addition, miR-153 and Runx2 expression levels were increased following treatment with icariin. Luciferase assay revealed that miR-153 significantly upregulate the luciferase activity of wild-type (Wt) Runx2 3'-untranslated region. Furthermore, the group treated with a combination of miR-153 mimics and icariin exhibited a significantly higher expression of Runx2 in comparison with the miR-153 mimic-treated alone group. Finally, icariin reversed the potential effect of miR-153 inhibitor in MC3T3-E1 cells. In conclusion, icariin exerted a strong osteoblast differentiation effect in MC3T3-E1 cells through the miR-153/Runx2 pathway. The current study provided evidence suggesting that icariin should be considered as an effective candidate for the management of osteoporosis.

PMID 35292240: BACKGROUND: The physical health and quality of life of the elderly are severely affected by osteoporosis (OP). METHODS: We explored the regulatory mechanism of ICA in vivo and in vitro by constructing OP rats and inducing osteogenic differentiation of BMSCs. First, we determined the expression of miR-335-5p in bone tissues of OP patients, bone tissues of OP rats, and osteogenic BMSCs by RT-qPCR. Alizarin red staining was employed to detect the formation of calcium nodules in the cells. MTT was used to detect cell viability. Finally, we detected the bone tissue changes in OP rats by overexpression of miR-335-5p or oral ICA. RESULTS: miR-335-5p was lowly expressed in bone tissues of OP patients and OP rats. ICA treatment reversed the inhibitory effect of miR-335-5p inhibitor on BMSCs matrix mineralization. Moreover, PTEN was verified to be a downstream effector of miR-335-5p. During ICA induction, overexpression of PTEN reversed the promotive effect of miR-335-5p mimics on the osteogenic differentiation of BMSCs. In vivo experiments also found that overexpression of miR-335-5p or ICA treatment improved the pathogenesis of OP in rats. CONCLUSION: ICA improved OP by up-regulating miR-335-5p to inhibit PTEN, thereby providing a new strategy for the prevention and treatment of OP.",,29904399;35292240,1,0.817,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E03,icariin,0409,associated_with,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.; Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,"PMID 29904399: Osteoporosis has become one of the most serious public health problems. Icariin, miR-153 and Runt-related transcription factor 2 (Runx2) have been demonstrated to regulate cell proliferation and differentiation in multiple cells. The aim of the present experiments was to investigate the potential mechanism underlying osteoblast differentiation and cell proliferation of MC3T3-E1 cells treated with icariin. Cell Counting kit-8, alkaline phosphatase (ALP) activity and alizarin red S assays, as well as reverse transcription-quantitative polymerase chain reaction and western blot analysis, were performed to examine whether icariin promoted osteoblast differentiation and cell proliferation in MC3T3-E1 cells. Subsequently, miR-153 target and pathway prediction, and functional analysis were assessed. The results demonstrated that icariin promoted proliferation, mineral content and ALP activity in MC3T3-E1 cells. In addition, miR-153 and Runx2 expression levels were increased following treatment with icariin. Luciferase assay revealed that miR-153 significantly upregulate the luciferase activity of wild-type (Wt) Runx2 3'-untranslated region. Furthermore, the group treated with a combination of miR-153 mimics and icariin exhibited a significantly higher expression of Runx2 in comparison with the miR-153 mimic-treated alone group. Finally, icariin reversed the potential effect of miR-153 inhibitor in MC3T3-E1 cells. In conclusion, icariin exerted a strong osteoblast differentiation effect in MC3T3-E1 cells through the miR-153/Runx2 pathway. The current study provided evidence suggesting that icariin should be considered as an effective candidate for the management of osteoporosis.

PMID 38045146: Circular RNAs (circRNAs) regulate Jumonji domain-containing protein-3 (JMJD3) by sponging with microRNAs (miRNAs). This study aimed to investigate the role of icariin on specific circRNA/miRNA/JMJD3 axis in osteogenic differentiation of MC3T3-E1 cells. CircRNA sequencing was performed on the MC3T3-E1 cells induced by osteogenic differentiation medium for 1 d (negative control (NC) group) and 14 d (osteogenesis group). And mmu_circ_0000349 was verified using Sanger sequencing, ribonuclease R degradation, and actinomycin D assay. The function of mmu_circ_0000349 was validated by detecting the expressions of osteogenic differentiation markers, alkaline phosphatase (ALP), and runt-related transcription (RUNX2), via real-time quantitative PCR (qPCR) and Western blotting or ALP and alizarin red staining assay. Dual luciferase reporter gene assay confirmed the relationship between mmu_circ_0000349 and mmu-miR-138-5p (or mmu-miR-138-5p and JMJD3). Meanwhile, the JMJD3 binding to mmu_circ_0000349 was screened using an RNA pull-down assay. qPCR and Western blotting confirmed the effect of icariin on the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 axis and osteogenic differentiation. As MC3T3-E1 osteogenic differentiation progressed, the JMJD3 expression level increased. A total of 361 circRNAs exhibited differences between the NC and osteogenesis groups. After validation, mmu_circ_0000349 was further analyzed as it exhibited the largest expression. And mmu_circ_0000349 was identified as a stable circular structure. Overexpression of mmu_circ_0000349 increased the expression levels of ALP and RUNX2, enhanced ALP activity, and increased the number of mineralized nodules; contrarily, inhibition of mmu_circ_0000349 exerted opposite effects. The data also confirmed that mmu_circ_0000349 regulated JMJD3 by sponging with mmu-miR-138-5p. With the increase in icariin concentration and time for treatment, the expression levels of mmu_circ_0000349, JMJD3, ALP, and RUNX2 also increased, whereas that of mmu-miR-138-5p decreased. In conclusion, Icariin promoted osteogenic differentiation by regulating the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 pathway. Therefore, this provides a theoretical basis for the treatment of diseases related to osteogenic differentiation.",,29904399;38045146,1,0.749,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E04,icariin,mir335,regulates,Preliminary study of icariin indicating prevention of steroid-induced osteonecrosis of femoral head by regulating abnormal expression of miRNA-335 and protecting the functions of bone microvascular endothelial cells in rats.,"PMID 32911026: BACKGROUND: The pathogenesis of osteonecrosis of the femoral head (ONFH) is unclear. Our previous study demonstrated that upregulated miR-335 in bone microvascular endothelial cells (BMECs) might be associated with the disease of steroid-induced ONFH. Here, we study the preventive effect of ICA on steroid-induced ONFH in rats. METHOD: 90 rats were separated into three groups: control group, methylprednisolone (MPS) group, and MPS + Icariin (ICA) group. Four weeks later, histological analyses were performed. Thrombomodulin (TM) and vascular endothelial growth factor (VEGF) were tested. MiRNA-335 expression was screened in the three groups using Agilent Gene Spring GX software. Target genes of miRNA-335 were detected by bioinformatics analysis. The functions of BMECs were analyzed by scratch, angiogenesis and cell survival rate. RESULTS: ICA can prevent the occurrence of steroid-associated ONFH in rats and reduce the amount of TM and VEGF in serum induced by glucocorticoids. ICA could regulate the overexpression of miRNA-335 induced by glucocorticoids. We predicted the Gene ontology (GO) and signaling pathways of target genes. At 24 hours, we found that ICA significantly promoted BMECs migration abilities. We also found that ICA could promote the angioplasty ability of BMECs. ICA could improve the survival rate of BMECs after steroid-induced injury. CONCLUSIONS: ICA is effective to prevent the occurrence of steroidinduced ONFH. ICA has a protective effect against steroid-induced BMECs injury. ICA regulated the imbalance of miRNA-335 expression induced by the glucocorticoid in BMECs, which provides a new viewpoint to explore the mechanism of ICA in preventing steroid-induced ONFH.",,32911026,1,0.624,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E05,icariin,kdm6b,upregulates,Icariin promotes osteogenic differentiation through the mmu_circ_0000349/mmu-miR-138-5p/Jumonji domain-containing protein-3 axis.,"PMID 38045146: Circular RNAs (circRNAs) regulate Jumonji domain-containing protein-3 (JMJD3) by sponging with microRNAs (miRNAs). This study aimed to investigate the role of icariin on specific circRNA/miRNA/JMJD3 axis in osteogenic differentiation of MC3T3-E1 cells. CircRNA sequencing was performed on the MC3T3-E1 cells induced by osteogenic differentiation medium for 1 d (negative control (NC) group) and 14 d (osteogenesis group). And mmu_circ_0000349 was verified using Sanger sequencing, ribonuclease R degradation, and actinomycin D assay. The function of mmu_circ_0000349 was validated by detecting the expressions of osteogenic differentiation markers, alkaline phosphatase (ALP), and runt-related transcription (RUNX2), via real-time quantitative PCR (qPCR) and Western blotting or ALP and alizarin red staining assay. Dual luciferase reporter gene assay confirmed the relationship between mmu_circ_0000349 and mmu-miR-138-5p (or mmu-miR-138-5p and JMJD3). Meanwhile, the JMJD3 binding to mmu_circ_0000349 was screened using an RNA pull-down assay. qPCR and Western blotting confirmed the effect of icariin on the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 axis and osteogenic differentiation. As MC3T3-E1 osteogenic differentiation progressed, the JMJD3 expression level increased. A total of 361 circRNAs exhibited differences between the NC and osteogenesis groups. After validation, mmu_circ_0000349 was further analyzed as it exhibited the largest expression. And mmu_circ_0000349 was identified as a stable circular structure. Overexpression of mmu_circ_0000349 increased the expression levels of ALP and RUNX2, enhanced ALP activity, and increased the number of mineralized nodules; contrarily, inhibition of mmu_circ_0000349 exerted opposite effects. The data also confirmed that mmu_circ_0000349 regulated JMJD3 by sponging with mmu-miR-138-5p. With the increase in icariin concentration and time for treatment, the expression levels of mmu_circ_0000349, JMJD3, ALP, and RUNX2 also increased, whereas that of mmu-miR-138-5p decreased. In conclusion, Icariin promoted osteogenic differentiation by regulating the mmu_circ_0000349/mmu-miR-138-5p/JMJD3 pathway. Therefore, this provides a theoretical basis for the treatment of diseases related to osteogenic differentiation.",,38045146,1,0.624,openai:gpt-4.1,,1,"PMID 38045146 provides clear evidence that icariin upregulates JMJD3 (KDM6B) expression via a circRNA/miRNA axis in osteogenic differentiation. The relation, direction, and type are correct and directly supported.",1,1,1,1,3,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E06,icariin,mitf,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,"PMID 39588260: Background: Infected bone defects pose a challenging clinical issue due to an imbalance of osteoclasts (OC) and osteoblasts (OB). Exosomes are crucial for intercellular signaling of OC and OB in bone repair. Icariin, has been shown to regulate the balance between OC and OB. However, the specific mechanisms by which icariin influences exosomes derived from osteoclasts, and subsequently impacts osteoblast activity, remain unclear. This study aims to investigate the effects of icariin-treated osteoclast-derived exosomes (ICA-OC-Exo) on osteoblast function and bone repair in cases of infected bone defects. Methods: We investigated the exosome profile and localization of multivesicular bodies (MVB) and quantification of intraluminal vesicles (ILVs) in osteoclasts by using transmission electron microscopy. Additionally, the expressions of Rab27A and MITF, which are associated with exosome release, were determined through immunofluorescence staining and Western blot. The profiling of exosomal miRNA expression was conducted via miRNA-sequencing. The effects of ICA-OC-Exo on osteoblast differentiation were determined using RT-qPCR, Western blot, alkaline phosphatase staining. Additionally, ICA-OC-Exo was administered into the localized bone defect of the infected bone rat models, and bone formation was assessed using Micro-CT. Results: Icariin increased the presence of MVBs in the cytoplasm through modulation of the MITF/Rab27A signaling pathway, resulting in higher number of ICA-OC-Exo compared to OC-Exo. Additionally, miR-331-3p expression in ICA-OC-Exo was found to be elevated compared to OC-Exo. ICA-OC-Exo was observed to stimulate osteoblast function by targeting FGF23, reducing DKK1, and subsequently upregulating ALP. In the in vivo study, ICA-OC-Exo exhibited the capacity to enhance bone healing at the site of a local bone defect following anti-infection treatment. Conclusion: Icariin enhanced the quantification of OC-Exo and the expression of miRNA-331-3p in OC-Exo, leading to the regulation of osteoblast function via activation of the miRNA-331-3p/FGF23/DKK1 pathway. ICA-OC-Exo demonstrated potential clinical applicability in bone repair of infected bone defects.",,39588260,1,0.624,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E07,icariin,mir153,upregulates,Icariin regulates the osteoblast differentiation and cell proliferation of MC3T3-E1 cells through microRNA-153 by targeting Runt-related transcription factor 2.,"PMID 29904399: Osteoporosis has become one of the most serious public health problems. Icariin, miR-153 and Runt-related transcription factor 2 (Runx2) have been demonstrated to regulate cell proliferation and differentiation in multiple cells. The aim of the present experiments was to investigate the potential mechanism underlying osteoblast differentiation and cell proliferation of MC3T3-E1 cells treated with icariin. Cell Counting kit-8, alkaline phosphatase (ALP) activity and alizarin red S assays, as well as reverse transcription-quantitative polymerase chain reaction and western blot analysis, were performed to examine whether icariin promoted osteoblast differentiation and cell proliferation in MC3T3-E1 cells. Subsequently, miR-153 target and pathway prediction, and functional analysis were assessed. The results demonstrated that icariin promoted proliferation, mineral content and ALP activity in MC3T3-E1 cells. In addition, miR-153 and Runx2 expression levels were increased following treatment with icariin. Luciferase assay revealed that miR-153 significantly upregulate the luciferase activity of wild-type (Wt) Runx2 3'-untranslated region. Furthermore, the group treated with a combination of miR-153 mimics and icariin exhibited a significantly higher expression of Runx2 in comparison with the miR-153 mimic-treated alone group. Finally, icariin reversed the potential effect of miR-153 inhibitor in MC3T3-E1 cells. In conclusion, icariin exerted a strong osteoblast differentiation effect in MC3T3-E1 cells through the miR-153/Runx2 pathway. The current study provided evidence suggesting that icariin should be considered as an effective candidate for the management of osteoporosis.",,29904399,1,0.624,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E08,icariin,mmp3,downregulates,miR-376c-3p mediates icariin's anti-osteoclastogenic effect by targeting Mmp3.,"PMID 41484919: BACKGROUND: MicroRNAs (miRNAs) are crucial regulators of osteoclast differentiation. Icariin (ICA), the primary active constituent of the traditional Chinese herb Epimedium, has been shown to inhibit osteoclastogenesis. However, whether ICA suppresses osteoclast differentiation via miRNA regulation remains to be elucidated. METHODS: We employed bioinformatic analysis coupled with in vivo validation to screen for and identify potential targets that mediate the effects of ICA on osteoclast formation. Subsequently, we carried out in vitro experiments involving the overexpression and knockdown of miR-376c-3p in bone marrow-derived macrophages (BMMs). Additionally, luciferase reporter assays and western blot analysis were utilized to ascertain the direct targets of miR-376c-3p. RESULTS: It was confirmed that miR-376c-3p plays a regulatory role in osteoclast differentiation within bone marrow-derived macrophages (BMMs). Notably, the knockdown of miR-376c-3p led to a partial reversal of the inhibitory effect that ICA exerts on osteoclastogenesis. Furthermore, matrix metalloproteinase-3 (Mmp3) was validated as a direct target of miR-376c-3p, providing evidence to suggest that ICA likely mediates its effects through the miR-376c-3p/Mmp3 signaling axis. CONCLUSION: Our findings demonstrate that ICA exerts its anti-osteoporotic effect by downregulating the miR-376c-3p-mediated Mmp3 expression. This study provides insights that potentially facilitate ICA's clinical application.",,41484919,1,0.624,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E09,icariin,pten,inhibits,Icariin triggers osteogenic differentiation of bone marrow stem cells by up-regulating miR-335-5p.,"PMID 35292240: BACKGROUND: The physical health and quality of life of the elderly are severely affected by osteoporosis (OP). METHODS: We explored the regulatory mechanism of ICA in vivo and in vitro by constructing OP rats and inducing osteogenic differentiation of BMSCs. First, we determined the expression of miR-335-5p in bone tissues of OP patients, bone tissues of OP rats, and osteogenic BMSCs by RT-qPCR. Alizarin red staining was employed to detect the formation of calcium nodules in the cells. MTT was used to detect cell viability. Finally, we detected the bone tissue changes in OP rats by overexpression of miR-335-5p or oral ICA. RESULTS: miR-335-5p was lowly expressed in bone tissues of OP patients and OP rats. ICA treatment reversed the inhibitory effect of miR-335-5p inhibitor on BMSCs matrix mineralization. Moreover, PTEN was verified to be a downstream effector of miR-335-5p. During ICA induction, overexpression of PTEN reversed the promotive effect of miR-335-5p mimics on the osteogenic differentiation of BMSCs. In vivo experiments also found that overexpression of miR-335-5p or ICA treatment improved the pathogenesis of OP in rats. CONCLUSION: ICA improved OP by up-regulating miR-335-5p to inhibit PTEN, thereby providing a new strategy for the prevention and treatment of OP.",,35292240,1,0.624,,,,,,,,,,,,
Q001,osteoporosis,How may icariin influence osteoblast differentiation through miRNA-related mechanisms?,Q001-E10,icariin,rab27a,regulates,Icariin-Enhanced Osteoclast-Derived Exosomes Promote Repair of Infected Bone Defects by Regulating Osteoclast and Osteoblast Communication.,"PMID 39588260: Background: Infected bone defects pose a challenging clinical issue due to an imbalance of osteoclasts (OC) and osteoblasts (OB). Exosomes are crucial for intercellular signaling of OC and OB in bone repair. Icariin, has been shown to regulate the balance between OC and OB. However, the specific mechanisms by which icariin influences exosomes derived from osteoclasts, and subsequently impacts osteoblast activity, remain unclear. This study aims to investigate the effects of icariin-treated osteoclast-derived exosomes (ICA-OC-Exo) on osteoblast function and bone repair in cases of infected bone defects. Methods: We investigated the exosome profile and localization of multivesicular bodies (MVB) and quantification of intraluminal vesicles (ILVs) in osteoclasts by using transmission electron microscopy. Additionally, the expressions of Rab27A and MITF, which are associated with exosome release, were determined through immunofluorescence staining and Western blot. The profiling of exosomal miRNA expression was conducted via miRNA-sequencing. The effects of ICA-OC-Exo on osteoblast differentiation were determined using RT-qPCR, Western blot, alkaline phosphatase staining. Additionally, ICA-OC-Exo was administered into the localized bone defect of the infected bone rat models, and bone formation was assessed using Micro-CT. Results: Icariin increased the presence of MVBs in the cytoplasm through modulation of the MITF/Rab27A signaling pathway, resulting in higher number of ICA-OC-Exo compared to OC-Exo. Additionally, miR-331-3p expression in ICA-OC-Exo was found to be elevated compared to OC-Exo. ICA-OC-Exo was observed to stimulate osteoblast function by targeting FGF23, reducing DKK1, and subsequently upregulating ALP. In the in vivo study, ICA-OC-Exo exhibited the capacity to enhance bone healing at the site of a local bone defect following anti-infection treatment. Conclusion: Icariin enhanced the quantification of OC-Exo and the expression of miRNA-331-3p in OC-Exo, leading to the regulation of osteoblast function via activation of the miRNA-331-3p/FGF23/DKK1 pathway. ICA-OC-Exo demonstrated potential clinical applicability in bone repair of infected bone defects.",,39588260,1,0.624,,,,,,,,,,,,
