system,question_id,run_id,output_source,answer
netmedex_hybrid_rag,Q001,seed-001,curated_seed_pending_system_rerun,"Icariin has direct osteogenic evidence through miR-153/Runx2 and PI3K-Akt-related osteoblast pathways. A miR-21/PTEN/PI3K-Akt link is biologically plausible but should be treated as indirect unless the selected NetMedEx graph contains edge-level PMIDs connecting icariin to miR-21 in osteoblasts."
traditional_rag,Q001,seed-001,curated_seed_pending_system_rerun,"Keyword retrieval finds icariin osteogenesis papers and miR-21/PTEN bone papers, but the mechanistic bridge requires manual synthesis."
general_llm,Q001,seed-001,curated_seed_pending_system_rerun,"Icariin may regulate osteoblast differentiation through miRNAs and PI3K/Akt signaling, but the specific miRNA path requires citation checking."
netmedex_hybrid_rag,Q002,seed-001,curated_seed_pending_system_rerun,"Seed miRNAs include miR-21, miR-23a/27a/24-2 cluster, and miR-153. Evidence should be stratified by osteoblast differentiation, osteoclast function, and osteoporosis phenotype."
traditional_rag,Q002,seed-001,curated_seed_pending_system_rerun,"Text retrieval highlights broad microRNA osteogenesis reviews plus individual miR-21 and miR-23a papers."
general_llm,Q002,seed-001,curated_seed_pending_system_rerun,"Likely candidates are miR-21, miR-23a, miR-29, miR-133, and miR-153; this answer needs PMID grounding."
netmedex_hybrid_rag,Q003,seed-001,curated_seed_pending_system_rerun,"Human evidence links insulin resistance with IL-6, TNF-alpha, CRP, adipose macrophage inflammation, and endotoxemia-induced inflammatory signaling."
traditional_rag,Q003,seed-001,curated_seed_pending_system_rerun,"Retrieval finds human studies associating IL-6/TNF/CRP with insulin resistance and systemic inflammation."
general_llm,Q003,seed-001,curated_seed_pending_system_rerun,"Inflammatory cytokines including IL-6 and TNF-alpha are associated with insulin resistance, especially in obesity."
netmedex_hybrid_rag,Q004,seed-001,curated_seed_pending_system_rerun,"Candidate 2-hop mediators between curcumin and apoptosis include NF-kB, PI3K/Akt, p53, Bcl-2 family proteins, caspases, and TRAIL death receptors; most evidence is cancer-cell or review-level."
traditional_rag,Q004,seed-001,curated_seed_pending_system_rerun,"Keyword retrieval identifies curcumin apoptosis reviews and TRAIL/prostate cancer experiments."
general_llm,Q004,seed-001,curated_seed_pending_system_rerun,"Curcumin can induce apoptosis through p53 activation, NF-kB inhibition, PI3K/Akt modulation, and caspase activation."
netmedex_hybrid_rag,Q005,seed-001,curated_seed_pending_system_rerun,"Oxidative stress supports a mechanistic bridge between amyloid beta and mitochondrial dysfunction, including ROS production, mitochondrial damage, and neuronal vulnerability."
traditional_rag,Q005,seed-001,curated_seed_pending_system_rerun,"Text retrieval finds amyloid beta mitochondrial dysfunction reviews and older oxidative stress experiments."
general_llm,Q005,seed-001,curated_seed_pending_system_rerun,"Amyloid beta is associated with oxidative stress and mitochondrial dysfunction in Alzheimer's disease."
netmedex_hybrid_rag,Q006,seed-001,curated_seed_pending_system_rerun,"Statin-endothelial evidence includes improved NO/eNOS biology, ROCK inhibition in humans, and flow-mediated dilation trials/meta-analysis."
traditional_rag,Q006,seed-001,curated_seed_pending_system_rerun,"Retrieval emphasizes statin endothelial function reviews and high-dose statin versus ezetimibe trials."
general_llm,Q006,seed-001,curated_seed_pending_system_rerun,"Statins may improve endothelial dysfunction through LDL lowering and pleiotropic NO/eNOS effects."
netmedex_hybrid_rag,Q007,seed-001,curated_seed_pending_system_rerun,"IL-17 autoimmune networks should include Th17 cells, gamma-delta T cells, alpha-beta T cells, and innate lymphoid cells, with disease-specific dominance noted."
traditional_rag,Q007,seed-001,curated_seed_pending_system_rerun,"Retrieval finds IL-17/IL-17 receptor and Th17 autoimmune disease reviews."
general_llm,Q007,seed-001,curated_seed_pending_system_rerun,"Th17 cells are the main IL-17 source in autoimmunity, with possible contribution from innate immune cells."
netmedex_hybrid_rag,Q008,seed-001,curated_seed_pending_system_rerun,"Candidate CFTR-intestinal inflammation mechanisms include epithelial CFTR loss causing IL-6/IL-8 and NF-kB activation, beta-catenin disruption, dysbiosis, and microbiome-derived metabolite changes."
traditional_rag,Q008,seed-001,curated_seed_pending_system_rerun,"Retrieval finds CFTR knockdown epithelial inflammation, ivacaftor microbiota/inflammation, and CF gut dysbiosis reviews."
general_llm,Q008,seed-001,curated_seed_pending_system_rerun,"CFTR variants may cause mucus dehydration, dysbiosis, epithelial barrier disruption, and inflammation."
netmedex_hybrid_rag,Q009,seed-001,curated_seed_pending_system_rerun,"Seed interventions include JAK/STAT inhibitors such as AG490 or C188-9 and sulforaphane activation of JAK2/STAT3 in muscle regeneration; context differs between differentiation and wasting."
traditional_rag,Q009,seed-001,curated_seed_pending_system_rerun,"Retrieval finds skeletal muscle JAK/STAT reviews and myogenic differentiation studies."
general_llm,Q009,seed-001,curated_seed_pending_system_rerun,"JAK inhibitors and STAT3 inhibitors may modulate skeletal muscle regeneration or wasting; exact compounds require retrieval."
netmedex_hybrid_rag,Q010,seed-001,curated_seed_pending_system_rerun,"天然物治療骨質疏鬆的 pilot 機制可聚焦於 icariin 促進 osteogenesis，並連結 miR-153/Runx2、miR-21/PTEN、PI3K/Akt 及 miR-23a 調控 OB-OC-MΦ 軸；回答需區分直接證據與假說。"
traditional_rag,Q010,seed-001,curated_seed_pending_system_rerun,"關鍵字檢索可找到 icariin、miRNA 與 osteoporosis 文獻，但需要人工整合天然物與 miRNA 機制。"
general_llm,Q010,seed-001,curated_seed_pending_system_rerun,"骨質疏鬆與天然物可能透過 miRNA、Runx2、PI3K/Akt 和抗發炎路徑影響骨生成；需補 PMID 支持。"
