answer_id,question_id,system
PP001-A,PP001,D1_all_safe_paths
PP001-B,PP001,Oracle_local_path_selection
PP001-C,PP001,D2_incremental_paths
PP001-D,PP001,C2_kg_expansion
PP001-E,PP001,D3_incremental_natural_fusion
PP001-F,PP001,C1_kg_reranking
PP001-G,PP001,B_traditional_rag
PP002-A,PP002,C1_kg_reranking
PP002-B,PP002,D2_incremental_paths
PP002-C,PP002,D3_incremental_natural_fusion
PP002-D,PP002,D1_all_safe_paths
PP002-E,PP002,Oracle_local_path_selection
PP002-F,PP002,B_traditional_rag
PP002-G,PP002,C2_kg_expansion
PP003-A,PP003,C1_kg_reranking
PP003-B,PP003,D3_incremental_natural_fusion
PP003-C,PP003,Oracle_local_path_selection
PP003-D,PP003,B_traditional_rag
PP003-E,PP003,D1_all_safe_paths
PP003-F,PP003,D2_incremental_paths
PP003-G,PP003,C2_kg_expansion
PP004-A,PP004,C2_kg_expansion
PP004-B,PP004,D1_all_safe_paths
PP004-C,PP004,B_traditional_rag
PP004-D,PP004,C1_kg_reranking
PP004-E,PP004,D2_incremental_paths
PP004-F,PP004,D3_incremental_natural_fusion
PP004-G,PP004,Oracle_local_path_selection
PP005-A,PP005,B_traditional_rag
PP005-B,PP005,C2_kg_expansion
PP005-C,PP005,D2_incremental_paths
PP005-D,PP005,Oracle_local_path_selection
PP005-E,PP005,C1_kg_reranking
PP005-F,PP005,D3_incremental_natural_fusion
PP005-G,PP005,D1_all_safe_paths
PP006-A,PP006,B_traditional_rag
PP006-B,PP006,C1_kg_reranking
PP006-C,PP006,D2_incremental_paths
PP006-D,PP006,Oracle_local_path_selection
PP006-E,PP006,D3_incremental_natural_fusion
PP006-F,PP006,D1_all_safe_paths
PP006-G,PP006,C2_kg_expansion
PP007-A,PP007,D2_incremental_paths
PP007-B,PP007,D1_all_safe_paths
PP007-C,PP007,B_traditional_rag
PP007-D,PP007,C2_kg_expansion
PP007-E,PP007,Oracle_local_path_selection
PP007-F,PP007,D3_incremental_natural_fusion
PP007-G,PP007,C1_kg_reranking
PP008-A,PP008,D3_incremental_natural_fusion
PP008-B,PP008,D1_all_safe_paths
PP008-C,PP008,C2_kg_expansion
PP008-D,PP008,B_traditional_rag
PP008-E,PP008,D2_incremental_paths
PP008-F,PP008,C1_kg_reranking
PP008-G,PP008,Oracle_local_path_selection
PP009-A,PP009,Oracle_local_path_selection
PP009-B,PP009,D3_incremental_natural_fusion
PP009-C,PP009,C1_kg_reranking
PP009-D,PP009,D2_incremental_paths
PP009-E,PP009,C2_kg_expansion
PP009-F,PP009,B_traditional_rag
PP009-G,PP009,D1_all_safe_paths
PP010-A,PP010,C2_kg_expansion
PP010-B,PP010,D2_incremental_paths
PP010-C,PP010,C1_kg_reranking
PP010-D,PP010,D3_incremental_natural_fusion
PP010-E,PP010,D1_all_safe_paths
PP010-F,PP010,B_traditional_rag
PP010-G,PP010,Oracle_local_path_selection
PP011-A,PP011,B_traditional_rag
