answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
Q001-A,Q001,kg_expansion_reranking_path_answer,3,4,4,0,4,4.3333,0,5,5,1,4,4.3333,0,4,4,0,4,4.3333,0
Q001-B,Q001,traditional_text_rag,3,4,4,0,4,4.3333,0,5,5,1,4,4.3333,0,4,4.3333,0,4,4.3333,0
Q001-C,Q001,closed_book_llm,3,2,2.6667,0,4,3.6667,0,4,4,1,2,2.3333,0,3,3.3333,0,3,3.3333,0
Q001-D,Q001,text_rag_kg_reranking,3,4,4,0,5,5,1,5,5,1,4,4.3333,0,4,4,0,5,4.6667,0
Q003-A,Q003,traditional_text_rag,3,5,4.6667,0,4,4,0,5,5,1,4,4,0,5,4.6667,0,5,4.3333,0
Q003-B,Q003,text_rag_kg_reranking,3,5,4.6667,0,5,4.6667,0,5,5,1,4,4,0,5,4.6667,0,5,4.6667,0
Q003-C,Q003,closed_book_llm,3,5,5,1,5,5,1,5,5,1,4,3.6667,0,5,5,1,5,5,1
Q003-D,Q003,kg_expansion_reranking_path_answer,3,5,4.6667,0,4,3.6667,0,5,5,1,4,4,0,5,4.6667,0,4,3.6667,0
Q004-A,Q004,traditional_text_rag,3,4,4.3333,0,4,4.3333,0,5,5,1,4,4,0,4,4.3333,0,4,4.3333,0
Q004-B,Q004,closed_book_llm,3,4,4.3333,0,5,4.6667,0,5,5,1,3,3.3333,0,5,4.6667,0,5,4.6667,0
Q004-C,Q004,kg_expansion_reranking_path_answer,3,4,3.6667,0,2,2,1,4,3.6667,0,4,4.3333,0,4,3.6667,0,3,2.6667,0
Q004-D,Q004,text_rag_kg_reranking,3,4,4.3333,0,4,4,0,5,5,1,4,4,0,4,4.3333,0,4,4.3333,0
Q006-A,Q006,text_rag_kg_reranking,3,5,4.6667,0,4,4.3333,0,5,5,1,4,4.3333,0,5,5,1,4,4.3333,0
Q006-B,Q006,closed_book_llm,3,4,3.6667,0,4,3.6667,0,5,5,1,2,2,0,5,4.3333,0,3,3,0
