answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
PP001-A,PP001,traditional_text_rag,2,4,4,1,3,3,1,5,5,1,4,4,1,4,4,1,3,3.5,0
PP001-B,PP001,structured_all_path_dv2,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP001-C,PP001,incremental_routed_dv3,2,5,5,1,4,4,1,5,5,1,5,5,1,5,5,1,4,4,1
PP002-A,PP002,structured_all_path_dv2,2,4,4.5,0,3,3.5,0,5,5,1,4,4,0,4,4.5,0,3,3.5,0
PP002-B,PP002,traditional_text_rag,2,5,5,1,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP002-C,PP002,incremental_routed_dv3,2,5,5,1,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4,1
PP003-A,PP003,structured_all_path_dv2,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP003-B,PP003,traditional_text_rag,2,4,4.5,0,3,3.5,0,5,5,1,4,4.5,0,4,4.5,0,3,3.5,0
PP003-C,PP003,incremental_routed_dv3,2,5,5,1,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP004-A,PP004,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4,0,4,4.5,0,4,4.5,0
PP004-B,PP004,structured_all_path_dv2,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP004-C,PP004,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,5,5,1
PP005-A,PP005,structured_all_path_dv2,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP005-B,PP005,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP005-C,PP005,traditional_text_rag,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,4,4.5,0,5,5,1
PP006-A,PP006,incremental_routed_dv3,2,5,5,1,4,4.5,0,5,5,1,5,5,1,5,5,1,4,4.5,0
PP006-B,PP006,structured_all_path_dv2,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4,1,4,4.5,0
PP006-C,PP006,traditional_text_rag,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP007-A,PP007,structured_all_path_dv2,2,4,4,0,3,3.5,0,4,4.5,0,4,4,0,3,3.5,0,3,3.5,0
PP007-B,PP007,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP007-C,PP007,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP008-A,PP008,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP008-B,PP008,structured_all_path_dv2,2,4,4,1,3,3.5,0,5,5,1,4,4,1,3,3.5,0,3,3.5,0
PP008-C,PP008,incremental_routed_dv3,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP009-A,PP009,structured_all_path_dv2,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP009-B,PP009,traditional_text_rag,2,4,4,1,3,3.5,0,5,5,1,4,4,1,4,4,1,4,4,1
PP009-C,PP009,incremental_routed_dv3,2,4,4,1,4,4,1,5,5,1,4,4,1,4,4.5,0,4,4,1
PP010-A,PP010,structured_all_path_dv2,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP010-B,PP010,incremental_routed_dv3,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP010-C,PP010,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,5,5,1
PP011-A,PP011,structured_all_path_dv2,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP011-B,PP011,incremental_routed_dv3,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP011-C,PP011,traditional_text_rag,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP012-A,PP012,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP012-B,PP012,structured_all_path_dv2,2,3,3.5,0,3,3.5,0,4,4.5,0,3,3.5,0,4,4,1,3,3.5,0
PP012-C,PP012,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP013-A,PP013,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP013-B,PP013,incremental_routed_dv3,2,4,4,1,4,4,1,5,5,1,3,3.5,0,4,4.5,0,4,4,1
PP013-C,PP013,structured_all_path_dv2,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP014-A,PP014,structured_all_path_dv2,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP014-B,PP014,traditional_text_rag,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP014-C,PP014,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP015-A,PP015,incremental_routed_dv3,2,4,4.5,0,4,4,0,4,4.5,0,4,4,0,4,4,0,4,4,0
PP015-B,PP015,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP015-C,PP015,structured_all_path_dv2,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP016-A,PP016,traditional_text_rag,2,4,4.5,0,3,3.5,0,5,5,1,4,4.5,0,4,4.5,0,3,3.5,0
PP016-B,PP016,incremental_routed_dv3,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP016-C,PP016,structured_all_path_dv2,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
