question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,3.203749656677246e-05,3.2813055366277695,7.1302056312561035e-06,,49.167415246367455,,52.93655128777027,0,0,0,[],9,4590,1833,6423
PP002,0.0,4.320591688156128e-05,1.8093432560563087,1.6652047634124756e-05,,24.812846340239048,,27.118287339806557,0,0,0,[],15,3626,888,4514
PP003,0.0,5.114823579788208e-05,1.8051327764987946,2.022087574005127e-05,,36.62405713647604,,38.965378642082214,0,0,0,[],15,3326,1385,4711
PP004,0.0,5.6684017181396484e-05,2.0849779918789864,1.9103288650512695e-05,,29.91642300784588,,32.510255843400955,0,0,0,[],15,3137,1115,4252
PP005,0.0,7.331371307373047e-05,1.8031626716256142,2.5875866413116455e-05,,27.470005862414837,,30.001726046204567,0,0,0,[],15,3955,985,4940
PP006,0.0,3.296881914138794e-05,1.280780091881752,1.420825719833374e-05,,26.71652676910162,,28.516821011900902,0,0,0,[],9,4596,928,5524
PP007,0.0,3.215670585632324e-05,1.9883165434002876,1.6845762729644775e-05,,28.666858337819576,,31.131988182663918,0,0,0,[],15,3773,1038,4811
PP008,0.0,6.283819675445557e-05,2.5083912387490273,1.808255910873413e-05,,31.352880842983723,,34.34604697674513,0,0,0,[],26,3967,1143,5110
PP009,0.0,7.690489292144775e-05,1.744276948273182,1.023709774017334e-05,,35.437047854065895,,37.65806523710489,0,0,0,[],15,4544,1286,5830
PP010,0.0,2.2716820240020752e-05,1.7305146157741547,1.5303492546081543e-05,,38.473643101751804,,40.700502164661884,0,0,0,[],15,4501,1411,5912
PP011,0.0,5.813688039779663e-05,1.7782031148672104,1.656264066696167e-05,,39.2125209197402,,41.48448625206947,0,0,0,[],11,3592,1478,5070
PP012,0.0,6.259232759475708e-05,1.4271768927574158,2.705305814743042e-05,,30.814876407384872,,32.91337829828262,0,0,0,[],11,3594,1135,4729
PP013,0.0,5.64083456993103e-05,1.6109314188361168,1.2531876564025879e-05,,30.844996251165867,,33.0246606618166,0,0,0,[],11,3586,1138,4724
PP014,0.0,5.1394104957580566e-05,2.5496567115187645,1.553446054458618e-05,,27.339862748980522,,30.395480804145336,0,0,0,[],26,3880,978,4858
PP015,0.0,5.909055471420288e-05,3.501856714487076,1.4901161193847656e-05,,25.76057517528534,,29.78745836019516,0,0,0,[],39,2713,943,3656
PP016,0.0,5.9232115745544434e-05,3.4872646555304527,1.6927719116210938e-05,,38.40383031219244,,42.44274963438511,0,0,0,[],39,4104,1420,5524
PP017,0.0,5.8673322200775146e-05,1.8863650113344193,1.706928014755249e-05,,34.31988889724016,,36.71759697794914,0,0,0,[],15,3905,1263,5168
PP018,0.0,6.222724914550781e-05,3.3462832793593407,1.8037855625152588e-05,,39.96513133496046,,43.85215117037296,0,0,0,[],42,3849,1498,5347
PP019,0.0,6.178021430969238e-05,3.6395245864987373,1.7695128917694092e-05,,33.060788840055466,,37.241889126598835,0,0,0,[],42,3306,1237,4543
PP020,0.0,5.7853758335113525e-05,3.707775242626667,1.9080936908721924e-05,,39.6309157833457,,43.90077608823776,0,0,0,[],42,3853,1483,5336
