system,question_id,rank,pmid,score
netmedex_hybrid_rag,PP001,1,27492554,0.63332781
netmedex_hybrid_rag,PP001,2,33743412,0.58623024
netmedex_hybrid_rag,PP001,3,29904399,0.57712820
netmedex_hybrid_rag,PP001,4,35292240,0.57417572
netmedex_hybrid_rag,PP001,5,29500883,0.55822813
netmedex_hybrid_rag,PP001,6,38045146,0.55801903
netmedex_hybrid_rag,PP001,7,41484919,0.53080687
netmedex_hybrid_rag,PP001,8,39588260,0.51730149
netmedex_hybrid_rag,PP001,9,32911026,0.50189991
traditional_rag,PP001,1,27492554,0.63332781
traditional_rag,PP001,2,33743412,0.58623024
traditional_rag,PP001,3,29904399,0.57712820
traditional_rag,PP001,4,35292240,0.57417572
traditional_rag,PP001,5,29500883,0.55822813
traditional_rag,PP001,6,38045146,0.55801903
traditional_rag,PP001,7,41484919,0.53080687
traditional_rag,PP001,8,39588260,0.51730149
traditional_rag,PP001,9,32911026,0.50189991
netmedex_hybrid_rag,PP002,1,15810876,0.68194097
netmedex_hybrid_rag,PP002,2,38031951,0.66721441
netmedex_hybrid_rag,PP002,3,30623450,0.64382168
netmedex_hybrid_rag,PP002,4,31590362,0.62956793
netmedex_hybrid_rag,PP002,5,32519340,0.61379633
netmedex_hybrid_rag,PP002,6,29693253,0.60685612
netmedex_hybrid_rag,PP002,7,30725357,0.60662845
netmedex_hybrid_rag,PP002,8,38699926,0.59872535
netmedex_hybrid_rag,PP002,9,38269517,0.57087679
netmedex_hybrid_rag,PP002,10,41252742,0.57013331
traditional_rag,PP002,1,15810876,0.68194097
traditional_rag,PP002,2,38031951,0.66721441
traditional_rag,PP002,3,30623450,0.64382168
traditional_rag,PP002,4,31590362,0.62956793
traditional_rag,PP002,5,32519340,0.61379633
traditional_rag,PP002,6,29693253,0.60685612
traditional_rag,PP002,7,30725357,0.60662845
traditional_rag,PP002,8,38699926,0.59872535
traditional_rag,PP002,9,38269517,0.57087679
traditional_rag,PP002,10,41252742,0.57013331
netmedex_hybrid_rag,PP003,1,22697066,0.60853945
netmedex_hybrid_rag,PP003,2,35522844,0.60195439
netmedex_hybrid_rag,PP003,3,27766447,0.56614671
netmedex_hybrid_rag,PP003,4,40023293,0.56028915
netmedex_hybrid_rag,PP003,5,40864415,0.54066137
netmedex_hybrid_rag,PP003,6,27809706,0.53796868
netmedex_hybrid_rag,PP003,7,33476985,0.53591195
netmedex_hybrid_rag,PP003,8,37597424,0.51724136
netmedex_hybrid_rag,PP003,9,32967303,0.51717475
netmedex_hybrid_rag,PP003,10,37956598,0.51493558
traditional_rag,PP003,1,22697066,0.60853945
traditional_rag,PP003,2,35522844,0.60195439
traditional_rag,PP003,3,27766447,0.56614671
traditional_rag,PP003,4,40023293,0.56028915
traditional_rag,PP003,5,40864415,0.54066137
traditional_rag,PP003,6,27809706,0.53796868
traditional_rag,PP003,7,33476985,0.53591195
traditional_rag,PP003,8,37597424,0.51724136
traditional_rag,PP003,9,32967303,0.51717475
traditional_rag,PP003,10,37956598,0.51493558
