system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW010,1,29302038,0.62858639
netmedex_hybrid_rag,BW010,2,30446387,0.57598106
netmedex_hybrid_rag,BW010,3,35430804,0.57105885
netmedex_hybrid_rag,BW010,4,33670115,0.53595952
netmedex_hybrid_rag,BW010,5,33651651,0.51842505
netmedex_hybrid_rag,BW010,6,38218095,0.51407406
netmedex_hybrid_rag,BW010,7,37224131,0.50744360
netmedex_hybrid_rag,BW010,8,38321650,0.50622727
netmedex_hybrid_rag,BW010,9,36421397,0.48436886
netmedex_hybrid_rag,BW010,10,33968085,0.48417177
traditional_rag,BW010,1,30446387,0.57598106
traditional_rag,BW010,2,29302038,0.56644060
traditional_rag,BW010,3,33670115,0.53595952
traditional_rag,BW010,4,33651651,0.51842505
traditional_rag,BW010,5,38218095,0.51407406
traditional_rag,BW010,6,37224131,0.50744360
traditional_rag,BW010,7,38321650,0.50622727
traditional_rag,BW010,8,36421397,0.48436886
traditional_rag,BW010,9,33968085,0.48417177
traditional_rag,BW010,10,40013938,0.47877953
